t,v
2014-01-01,94589
2014-01-02,135242
2014-01-03,141063
2014-01-04,115579
2014-01-05,134235
2014-01-06,176975
2014-01-07,140702
2014-01-08,145049
2014-01-09,132972
2014-01-10,124371
2014-01-11,128823
2014-01-12,114282
2014-01-13,150180
2014-01-14,129740
2014-01-15,130805
2014-01-16,130710
2014-01-17,128263
2014-01-18,106150
2014-01-19,108455
2014-01-20,178427
2014-01-21,157839
2014-01-22,150561
2014-01-23,149153
2014-01-24,140660
2014-01-25,124761
2014-01-26,124218
2014-01-27,169080
2014-01-28,156954
2014-01-29,138883
2014-01-30,149694
2014-01-31,147160
2014-02-01,133917
2014-02-02,132776
2014-02-03,170376
2014-02-04,167699
2014-02-05,154153
2014-02-06,160867
2014-02-07,163329
2014-02-08,147237
2014-02-09,126663
2014-02-10,169073
2014-02-11,152277
2014-02-12,213083
2014-02-13,162451
2014-02-14,174659
2014-02-15,149250
2014-02-16,126181
2014-02-17,179060
2014-02-18,155998
2014-02-19,174809
2014-02-20,178713
2014-02-21,177966
2014-02-22,153118
2014-02-23,161071
2014-02-24,213025
2014-02-25,208076
2014-02-26,200167
2014-02-27,182647
2014-02-28,195028
2014-03-01,180547
2014-03-02,158859
2014-03-03,235496
2014-03-04,231057
2014-03-05,200783
2014-03-06,194730
2014-03-07,179768
2014-03-08,170285
2014-03-09,172945
2014-03-10,207866
2014-03-11,188912
2014-03-12,202349
2014-03-13,192686
2014-03-14,192086
2014-03-15,146351
2014-03-16,139668
2014-03-17,187889
2014-03-18,141025
2014-03-19,163345
2014-03-20,165478
2014-03-21,187929
2014-03-22,168555
2014-03-23,147986
2014-03-24,192166
2014-03-25,166188
2014-03-26,168544
2014-03-27,181406
2014-03-28,181617
2014-03-29,143211
2014-03-30,166305
2014-03-31,169533
2014-04-01,178536
2014-04-02,178051
2014-04-03,168803
2014-04-04,176906
2014-04-05,152433
2014-04-06,183298
2014-04-07,158520
2014-04-08,164922
2014-04-09,177406
2014-04-10,180987
2014-04-11,167323
2014-04-12,130830
2014-04-13,170630
2014-04-14,181682
2014-04-15,197395
2014-04-16,183827
2014-04-17,156427
2014-04-18,147504
2014-04-19,139964
2014-04-20,163159
2014-04-21,140648
2014-04-22,182084
2014-04-23,154429
2014-04-24,165157
2014-04-25,180417
2014-04-26,133998
2014-04-27,171493
2014-04-28,166184
2014-04-29,168229
2014-04-30,165611
2014-05-01,152948
2014-05-02,142884
2014-05-03,115635
2014-05-04,155297
2014-05-05,147303
2014-05-06,167404
2014-05-07,160837
2014-05-08,166644
2014-05-09,161746
2014-05-10,134886
2014-05-11,164721
2014-05-12,153434
2014-05-13,147431
2014-05-14,159099
2014-05-15,175329
2014-05-16,153634
2014-05-17,147231
2014-05-18,175993
2014-05-19,184495
2014-05-20,189650
2014-05-21,156386
2014-05-22,161718
2014-05-23,174275
2014-05-24,123999
2014-05-25,186437
2014-05-26,170136
2014-05-27,178068
2014-05-28,183187
2014-05-29,171379
2014-05-30,151497
2014-05-31,146223
2014-06-01,190183
2014-06-02,174907
2014-06-03,185629
2014-06-04,169483
2014-06-05,181464
2014-06-06,173172
2014-06-07,138974
2014-06-08,172445
2014-06-09,165041
2014-06-10,177636
2014-06-11,172773
2014-06-12,174202
2014-06-13,173372
2014-06-14,148511
2014-06-15,175444
2014-06-16,176770
2014-06-17,184315
2014-06-18,166486
2014-06-19,157590
2014-06-20,154139
2014-06-21,152411
2014-06-22,182612
2014-06-23,162885
2014-06-24,174560
2014-06-25,174008
2014-06-26,158470
2014-06-27,166487
2014-06-28,142577
2014-06-29,172728
