t,v
2014-01-01,105176.404878049
2014-01-02,213055.417910448
2014-01-03,196643.043478261
2014-01-04,185009.418439716
2014-01-05,166161.165803109
2014-01-06,203092.994623656
2014-01-07,176517.604519774
2014-01-08,157901.797927461
2014-01-09,141840.526570048
2014-01-10,146732.79144385
2014-01-11,140351.338095238
2014-01-12,126423.487922705
2014-01-13,166477.449704142
2014-01-14,174550.462962963
2014-01-15,162223.956521739
2014-01-16,159538.340540541
2014-01-17,189940.947368421
2014-01-18,144555.442528736
2014-01-19,142592.378698225
2014-01-20,184311.702564103
2014-01-21,219995.355421687
2014-01-22,171825.963541667
2014-01-23,185492.423728814
2014-01-24,170937.063492063
2014-01-25,166226.660606061
2014-01-26,178053.625
2014-01-27,187405.557471264
2014-01-28,215825.512987013
2014-01-29,192529.302631579
2014-01-30,174558.835227273
2014-01-31,167553.793478261
2014-02-01,151615.502645503
2014-02-02,158543.182795699
2014-02-03,180838.668508287
2014-02-04,221137.540697674
2014-02-05,220943.660714286
2014-02-06,210022.994505495
2014-02-07,245162.929032258
2014-02-08,186857.175824176
2014-02-09,210512.224637681
2014-02-10,210632.833333333
2014-02-11,199333.37195122
2014-02-12,250903.438202247
2014-02-13,217723.741573034
2014-02-14,224743.87434555
2014-02-15,180134.802139037
2014-02-16,145525.533333333
2014-02-17,216751.290322581
2014-02-18,225585.846625767
2014-02-19,205789.575
2014-02-20,226498.519774011
2014-02-21,255513.848684211
2014-02-22,184972.0
2014-02-23,210501.642857143
2014-02-24,225952.884816754
2014-02-25,281647.242236025
2014-02-26,233025.989130435
2014-02-27,207854.723404255
2014-02-28,236634.674033149
2014-03-01,261243.555555556
2014-03-02,239263.707142857
2014-03-03,332402.277027027
2014-03-04,357354.906040268
2014-03-05,283470.570512821
2014-03-06,245072.768786127
2014-03-07,249044.168674699
2014-03-08,211094.428571429
2014-03-09,199771.955307263
2014-03-10,278178.805369128
2014-03-11,251411.607142857
2014-03-12,239561.873626374
2014-03-13,256820.777777778
2014-03-14,305855.962406015
2014-03-15,186097.206060606
2014-03-16,167490.450292398
2014-03-17,211539.801242236
2014-03-18,175493.143835616
2014-03-19,222877.025
2014-03-20,216654.920903955
2014-03-21,234227.494623656
2014-03-22,243031.941176471
2014-03-23,144914.570093458
2014-03-24,217301.29787234
2014-03-25,246535.318471338
2014-03-26,243738.761006289
2014-03-27,238861.942196532
2014-03-28,220066.586206897
2014-03-29,172981.057142857
2014-03-30,232450.457142857
2014-03-31,209477.883333333
2014-04-01,218021.321637427
2014-04-02,196244.868020305
2014-04-03,175201.87254902
2014-04-04,198059.953846154
2014-04-05,192057.456140351
2014-04-06,212449.854304636
2014-04-07,243702.105960265
2014-04-08,292680.171641791
2014-04-09,243824.236024845
2014-04-10,254416.335483871
2014-04-11,223737.786982249
2014-04-12,170046.229813665
2014-04-13,162342.14973262
2014-04-14,216129.829015544
2014-04-15,241621.071428571
2014-04-16,271066.333333333
2014-04-17,223713.349112426
2014-04-18,205560.26875
2014-04-19,193319.125786164
2014-04-20,169593.011235955
2014-04-21,190698.409356725
2014-04-22,288122.519480519
2014-04-23,242034.896969697
2014-04-24,279837.377483444
2014-04-25,226678.675824176
2014-04-26,180042.809815951
2014-04-27,181005.920903955
2014-04-28,238974.052631579
2014-04-29,227226.83625731
2014-04-30,270333.350364964
2014-05-01,191978.852272727
2014-05-02,211548.310559006
2014-05-03,203527.063380282
2014-05-04,201563.052980132
2014-05-05,299039.512
2014-05-06,219220.350515464
2014-05-07,244229.037735849
2014-05-08,231275.491017964
2014-05-09,217087.770588235
2014-05-10,170755.251396648
2014-05-11,217980.046052632
2014-05-12,256592.359756098
2014-05-13,231819.092592593
2014-05-14,263311.986666667
2014-05-15,247333.789473684
2014-05-16,210022.596685083
2014-05-17,189017.300578035
2014-05-18,185464.156976744
2014-05-19,240639.095238095
2014-05-20,248944.480225989
2014-05-21,236798.091428571
2014-05-22,244774.88372093
2014-05-23,251024.818181818
2014-05-24,192923.597402597
2014-05-25,219349.217391304
2014-05-26,249870.411392405
2014-05-27,296760.823529412
2014-05-28,249080.710059172
2014-05-29,271797.602836879
2014-05-30,220130.371257485
2014-05-31,208395.544217687
2014-06-01,205033.92
2014-06-02,199626.906735751
2014-06-03,234821.741573034
2014-06-04,204431.082872928
2014-06-05,262957.598684211
2014-06-06,273251.352517986
2014-06-07,184429.664516129
2014-06-08,228370.227941176
2014-06-09,232621.698717949
2014-06-10,239050.365269461
2014-06-11,251775.746575342
2014-06-12,230417.889534884
2014-06-13,231058.26993865
2014-06-14,175539.230337079
2014-06-15,171801.721052632
2014-06-16,216450.079787234
2014-06-17,214619.630434783
2014-06-18,234856.905063291
2014-06-19,226365.461077844
2014-06-20,178434.682795699
2014-06-21,168137.698924731
2014-06-22,176881.305555556
2014-06-23,204360.852272727
2014-06-24,202052.718085106
2014-06-25,203568.347593583
2014-06-26,205764.573099415
2014-06-27,184046.842639594
2014-06-28,178338.983516484
2014-06-29,196855.681528662
2014-06-30,325750.590909091
2014-07-01,329402.015037594
2014-07-02,291681.109489051
2014-07-03,267267.525179856
2014-07-04,197773.548192771
2014-07-05,184142.802631579
2014-07-06,232487.38028169
2014-07-07,254280.333333333
2014-07-08,285394.313333333
2014-07-09,256588.240963855
2014-07-10,253822.691275168
2014-07-11,233474.307692308
2014-07-12,193903.025477707
2014-07-13,212885.65
2014-07-14,263035.459259259
2014-07-15,258661.333333333
2014-07-16,259492.319444444
2014-07-17,226245.488372093
2014-07-18,224514.389534884
2014-07-19,191394.677966102
2014-07-20,214038.096774194
2014-07-21,243837.64516129
2014-07-22,271551.11971831
2014-07-23,260616.226027397
2014-07-24,270031.258741259
2014-07-25,230668.024539877
2014-07-26,228282.335820896
2014-07-27,218658.405228758
2014-07-28,254153.033333333
2014-07-29,241562.812080537
2014-07-30,230701.029069767
2014-07-31,265432.181818182
2014-08-01,243288.789808917
2014-08-02,190202.331288344
2014-08-03,198484.785714286
2014-08-04,301305.5234375
2014-08-05,323926.340740741
2014-08-06,287597.859756098
2014-08-07,249787.05625
2014-08-08,252674.879746835
2014-08-09,191162.340659341
2014-08-10,206576.146892655
2014-08-11,247431.351648352
2014-08-12,256543.862068966
2014-08-13,316760.731034483
2014-08-14,259322.994444444
2014-08-15,258699.381818182
2014-08-16,310691.873417722
2014-08-17,212323.729411765
2014-08-18,210609.96969697
2014-08-19,221730.553763441
2014-08-20,243004.124260355
2014-08-21,251583.545454545
2014-08-22,247983.343949045
2014-08-23,195526.308641975
2014-08-24,242154.417808219
2014-08-25,290531.518248175
2014-08-26,244666.50867052
2014-08-27,253810.017751479
2014-08-28,224507.930635838
2014-08-29,211672.1
2014-08-30,186332.362637363
2014-08-31,179603.420212766
2014-09-01,296362.691176471
2014-09-02,282462.034013605
2014-09-03,238546.461538462
2014-09-04,249913.601265823
2014-09-05,272765.565517241
2014-09-06,195681.61452514
2014-09-07,252389.335483871
