t,v
2014-01-01,21561163
2014-01-02,28549426
2014-01-03,31659530
2014-01-04,26086328
2014-01-05,32069105
2014-01-06,37775297
2014-01-07,31243616
2014-01-08,30475047
2014-01-09,29360989
2014-01-10,27439032
2014-01-11,29473781
2014-01-12,26169662
2014-01-13,28134689
2014-01-14,28277175
2014-01-15,29849208
2014-01-16,29514593
2014-01-17,28871024
2014-01-18,25152647
2014-01-19,24098112
2014-01-20,35940782
2014-01-21,36519229
2014-01-22,32990585
2014-01-23,32832159
2014-01-24,32307105
2014-01-25,27427399
2014-01-26,27064151
2014-01-27,32608567
2014-01-28,33237129
2014-01-29,29264454
2014-01-30,30722355
2014-01-31,30829898
2014-02-01,28655330
2014-02-02,29489032
2014-02-03,32731799
2014-02-04,38035657
2014-02-05,37118535
2014-02-06,38224185
2014-02-07,38000254
2014-02-08,34008006
2014-02-09,29050687
2014-02-10,32858722
2014-02-11,32690673
2014-02-12,44660812
2014-02-13,38754826
2014-02-14,42926080
2014-02-15,33685208
2014-02-16,28377479
2014-02-17,33596450
2014-02-18,36770493
2014-02-19,41157915
2014-02-20,40090238
2014-02-21,38838105
2014-02-22,33294960
2014-02-23,35364276
2014-02-24,43157001
2014-02-25,45345206
2014-02-26,42876782
2014-02-27,39076688
2014-02-28,42830876
2014-03-01,37619072
2014-03-02,33496919
2014-03-03,49195537
2014-03-04,53245881
2014-03-05,44221409
2014-03-06,42397589
2014-03-07,41341332
2014-03-08,35463864
2014-03-09,35759180
2014-03-10,41448642
2014-03-11,42237150
2014-03-12,43600261
2014-03-13,41604966
2014-03-14,40678843
2014-03-15,30706039
2014-03-16,28640867
2014-03-17,34057908
2014-03-18,25621999
2014-03-19,35660324
2014-03-20,38347921
2014-03-21,43566314
2014-03-22,41315430
2014-03-23,31011718
2014-03-24,40852644
2014-03-25,38706045
2014-03-26,38754463
2014-03-27,41323116
2014-03-28,38291586
2014-03-29,30271685
2014-03-30,32543064
2014-03-31,37706019
2014-04-01,37281646
2014-04-02,38660239
2014-04-03,35741182
2014-04-04,38621691
2014-04-05,32841825
2014-04-06,32079928
2014-04-07,36799018
2014-04-08,39219143
2014-04-09,39255702
2014-04-10,39434532
2014-04-11,37811686
2014-04-12,27377443
2014-04-13,30357982
2014-04-14,41713057
2014-04-15,43975035
2014-04-16,43099547
2014-04-17,37807556
2014-04-18,32889643
2014-04-19,30737741
2014-04-20,30187556
2014-04-21,32609428
2014-04-22,44370868
2014-04-23,39935758
2014-04-24,42255444
2014-04-25,41255519
2014-04-26,29346978
2014-04-27,32038048
2014-04-28,36324056
2014-04-29,38855789
2014-04-30,37035669
2014-05-01,33788278
2014-05-02,34059278
2014-05-03,28900843
2014-05-04,30436021
2014-05-05,37379939
2014-05-06,42528748
2014-05-07,38832417
2014-05-08,38623007
2014-05-09,36904921
2014-05-10,30565190
2014-05-11,33132967
2014-05-12,42081147
2014-05-13,37554693
2014-05-14,39496798
2014-05-15,42294078
2014-05-16,38014090
2014-05-17,32699993
2014-05-18,31899835
2014-05-19,40427368
2014-05-20,44063173
2014-05-21,41439666
2014-05-22,42101280
2014-05-23,41419095
2014-05-24,29710234
2014-05-25,35315224
2014-05-26,39479525
2014-05-27,40359472
2014-05-28,42094640
2014-05-29,38323462
2014-05-30,36761772
2014-05-31,30634145
2014-06-01,35880936
2014-06-02,38527993
2014-06-03,41798270
2014-06-04,37002026
2014-06-05,39969555
2014-06-06,37981938
2014-06-07,28586598
2014-06-08,31058351
2014-06-09,36288985
2014-06-10,39921411
2014-06-11,36759259
2014-06-12,39631877
2014-06-13,37662498
2014-06-14,31245983
2014-06-15,32642327
2014-06-16,40692615
2014-06-17,39490012
2014-06-18,37107391
2014-06-19,37803032
2014-06-20,33188851
2014-06-21,31273612
2014-06-22,31838635
2014-06-23,35967510
2014-06-24,37985911
2014-06-25,38067281
2014-06-26,35185742
2014-06-27,36257228
2014-06-28,32457695
2014-06-29,30906342
2014-06-30,42999078
2014-07-01,43810468
2014-07-02,39960312
2014-07-03,37150186
2014-07-04,32830409
2014-07-05,27989706
2014-07-06,33013208
2014-07-07,38142050
2014-07-08,42809147
2014-07-09,42593648
2014-07-10,37819581
2014-07-11,36421992
2014-07-12,30442775
2014-07-13,34061704
2014-07-14,35509787
2014-07-15,41127152
2014-07-16,37366894
2014-07-17,38914224
2014-07-18,38616475
2014-07-19,33876858
2014-07-20,33175905
2014-07-21,37794835
2014-07-22,38560259
2014-07-23,38049969
2014-07-24,38614470
2014-07-25,37598888
2014-07-26,30589833
2014-07-27,33454736
2014-07-28,38122955
2014-07-29,35992859
2014-07-30,39680577
2014-07-31,40876556
2014-08-01,38196340
2014-08-02,31002980
2014-08-03,30566657
2014-08-04,38567107
2014-08-05,43730056
2014-08-06,47166049
2014-08-07,39965929
2014-08-08,39922631
2014-08-09,34791546
2014-08-10,36563978
2014-08-11,45032506
2014-08-12,44638632
2014-08-13,45930306
2014-08-14,46678139
2014-08-15,42685398
2014-08-16,49089316
2014-08-17,36095034
2014-08-18,41700774
2014-08-19,41241883
2014-08-20,41067697
2014-08-21,41511285
2014-08-22,38933385
2014-08-23,31675262
2014-08-24,35354545
2014-08-25,39802818
2014-08-26,42327306
2014-08-27,42893893
2014-08-28,38839872
2014-08-29,35984257
2014-08-30,33912490
2014-08-31,33765443
2014-09-01,40305326
2014-09-02,41521919
2014-09-03,40314352
2014-09-04,39486349
2014-09-05,39551007
2014-09-06,35027009
2014-09-07,39120347
2014-09-08,42734923
2014-09-09,51472708
2014-09-10,48206629
2014-09-11,36777972
2014-09-12,37327246
2014-09-13,32824276
2014-09-14,43421818
2014-09-15,45662377
2014-09-16,50669464
2014-09-17,44760020
2014-09-18,42369830
2014-09-19,37851339
2014-09-20,36678699
2014-09-21,35751388
2014-09-22,43745235
2014-09-23,46436390
2014-09-24,44539444
2014-09-25,48775233
2014-09-26,41555404
2014-09-27,39185073
2014-09-28,42717018
2014-09-29,44207962
2014-09-30,45464057
2014-10-01,46536326
2014-10-02,41255004
2014-10-03,42476843
2014-10-04,42630732
2014-10-05,45323784
2014-10-06,45085909
2014-10-07,45195172
2014-10-08,44388022
2014-10-09,44482813
2014-10-10,44239923
2014-10-11,35839903
2014-10-12,42358708
2014-10-13,45940157
2014-10-14,48600178
2014-10-15,44864976
2014-10-16,42171841
2014-10-17,41246013
