t,v
2014-01-01,205
2014-01-02,134
2014-01-03,161
2014-01-04,141
2014-01-05,193
2014-01-06,186
2014-01-07,177
2014-01-08,193
2014-01-09,207
2014-01-10,187
2014-01-11,210
2014-01-12,207
2014-01-13,169
2014-01-14,162
2014-01-15,184
2014-01-16,185
2014-01-17,152
2014-01-18,174
2014-01-19,169
2014-01-20,195
2014-01-21,166
2014-01-22,192
2014-01-23,177
2014-01-24,189
2014-01-25,165
2014-01-26,152
2014-01-27,174
2014-01-28,154
2014-01-29,152
2014-01-30,176
2014-01-31,184
2014-02-01,189
2014-02-02,186
2014-02-03,181
2014-02-04,172
2014-02-05,168
2014-02-06,182
2014-02-07,155
2014-02-08,182
2014-02-09,138
2014-02-10,156
2014-02-11,164
2014-02-12,178
2014-02-13,178
2014-02-14,191
2014-02-15,187
2014-02-16,195
2014-02-17,155
2014-02-18,163
2014-02-19,200
2014-02-20,177
2014-02-21,152
2014-02-22,180
2014-02-23,168
2014-02-24,191
2014-02-25,161
2014-02-26,184
2014-02-27,188
2014-02-28,181
2014-03-01,144
2014-03-02,140
2014-03-03,148
2014-03-04,149
2014-03-05,156
2014-03-06,173
2014-03-07,166
2014-03-08,168
2014-03-09,179
2014-03-10,149
2014-03-11,168
2014-03-12,182
2014-03-13,162
2014-03-14,133
2014-03-15,165
2014-03-16,171
2014-03-17,161
2014-03-18,146
2014-03-19,160
2014-03-20,177
2014-03-21,186
2014-03-22,170
2014-03-23,214
2014-03-24,188
2014-03-25,157
2014-03-26,159
2014-03-27,173
2014-03-28,174
2014-03-29,175
2014-03-30,140
2014-03-31,180
2014-04-01,171
2014-04-02,197
2014-04-03,204
2014-04-04,195
2014-04-05,171
2014-04-06,151
2014-04-07,151
2014-04-08,134
2014-04-09,161
2014-04-10,155
2014-04-11,169
2014-04-12,161
2014-04-13,187
2014-04-14,193
2014-04-15,182
2014-04-16,159
2014-04-17,169
2014-04-18,160
2014-04-19,159
2014-04-20,178
2014-04-21,171
2014-04-22,154
2014-04-23,165
2014-04-24,151
2014-04-25,182
2014-04-26,163
2014-04-27,177
2014-04-28,152
2014-04-29,171
2014-04-30,137
2014-05-01,176
2014-05-02,161
2014-05-03,142
2014-05-04,151
2014-05-05,125
2014-05-06,194
2014-05-07,159
2014-05-08,167
2014-05-09,170
2014-05-10,179
2014-05-11,152
2014-05-12,164
2014-05-13,162
2014-05-14,150
2014-05-15,171
2014-05-16,181
2014-05-17,173
2014-05-18,172
2014-05-19,168
2014-05-20,177
2014-05-21,175
2014-05-22,172
2014-05-23,165
2014-05-24,154
2014-05-25,161
2014-05-26,158
2014-05-27,136
2014-05-28,169
2014-05-29,141
2014-05-30,167
2014-05-31,147
2014-06-01,175
2014-06-02,193
2014-06-03,178
2014-06-04,181
2014-06-05,152
2014-06-06,139
2014-06-07,155
2014-06-08,136
2014-06-09,156
2014-06-10,167
2014-06-11,146
2014-06-12,172
2014-06-13,163
2014-06-14,178
2014-06-15,190
2014-06-16,188
2014-06-17,184
2014-06-18,158
2014-06-19,167
2014-06-20,186
2014-06-21,186
2014-06-22,180
2014-06-23,176
2014-06-24,188
2014-06-25,187
2014-06-26,171
2014-06-27,197
2014-06-28,182
2014-06-29,157
2014-06-30,132
2014-07-01,133
2014-07-02,137
2014-07-03,139
2014-07-04,166
2014-07-05,152
2014-07-06,142
2014-07-07,150
2014-07-08,150
2014-07-09,166
2014-07-10,149
2014-07-11,156
2014-07-12,157
2014-07-13,160
2014-07-14,135
2014-07-15,159
2014-07-16,144
2014-07-17,172
2014-07-18,172
2014-07-19,177
2014-07-20,155
2014-07-21,155
2014-07-22,142
2014-07-23,146
2014-07-24,143
2014-07-25,163
2014-07-26,134
2014-07-27,153
2014-07-28,150
2014-07-29,149
2014-07-30,172
2014-07-31,154
2014-08-01,157
2014-08-02,163
2014-08-03,154
2014-08-04,128
2014-08-05,135
2014-08-06,164
2014-08-07,160
2014-08-08,158
2014-08-09,182
2014-08-10,177
2014-08-11,182
2014-08-12,174
2014-08-13,145
2014-08-14,180
2014-08-15,165
2014-08-16,158
2014-08-17,170
2014-08-18,198
2014-08-19,186
2014-08-20,169
2014-08-21,165
2014-08-22,157
2014-08-23,162
2014-08-24,146
2014-08-25,137
2014-08-26,173
2014-08-27,169
2014-08-28,173
2014-08-29,170
2014-08-30,182
2014-08-31,188
2014-09-01,136
2014-09-02,147
2014-09-03,169
2014-09-04,158
2014-09-05,145
2014-09-06,179
2014-09-07,155
2014-09-08,144
2014-09-09,146
2014-09-10,157
2014-09-11,170
2014-09-12,154
2014-09-13,181
2014-09-14,158
2014-09-15,158
2014-09-16,171
2014-09-17,186
2014-09-18,179
2014-09-19,171
2014-09-20,176
