t,v
2014-01-01,278200
2014-01-02,278334
2014-01-03,278495
2014-01-04,278636
2014-01-05,278829
2014-01-06,279015
2014-01-07,279192
2014-01-08,279385
2014-01-09,279592
2014-01-10,279779
2014-01-11,279989
2014-01-12,280196
2014-01-13,280365
2014-01-14,280527
2014-01-15,280711
2014-01-16,280896
2014-01-17,281048
2014-01-18,281222
2014-01-19,281391
2014-01-20,281586
2014-01-21,281752
2014-01-22,281944
2014-01-23,282121
2014-01-24,282310
2014-01-25,282475
2014-01-26,282627
2014-01-27,282801
2014-01-28,282955
2014-01-29,283107
2014-01-30,283283
2014-01-31,283467
2014-02-01,283656
2014-02-02,283842
2014-02-03,284023
2014-02-04,284195
2014-02-05,284363
2014-02-06,284545
2014-02-07,284700
2014-02-08,284882
2014-02-09,285020
2014-02-10,285176
2014-02-11,285340
2014-02-12,285518
2014-02-13,285696
2014-02-14,285887
2014-02-15,286074
2014-02-16,286269
2014-02-17,286424
2014-02-18,286587
2014-02-19,286787
2014-02-20,286964
2014-02-21,287116
2014-02-22,287297
2014-02-23,287464
2014-02-24,287655
2014-02-25,287816
2014-02-26,288001
2014-02-27,288188
2014-02-28,288369
2014-03-01,288513
2014-03-02,288653
2014-03-03,288801
2014-03-04,288950
2014-03-05,289106
2014-03-06,289279
2014-03-07,289445
2014-03-08,289613
2014-03-09,289792
2014-03-10,289941
2014-03-11,290109
2014-03-12,290291
2014-03-13,290453
2014-03-14,290586
2014-03-15,290751
2014-03-16,290922
2014-03-17,291083
2014-03-18,291229
2014-03-19,291389
2014-03-20,291566
2014-03-21,291752
2014-03-22,291922
2014-03-23,292136
2014-03-24,292324
2014-03-25,292481
2014-03-26,292640
2014-03-27,292813
2014-03-28,292987
2014-03-29,293163
2014-03-30,293303
2014-03-31,293482
2014-04-01,293653
2014-04-02,293851
2014-04-03,294054
2014-04-04,294249
2014-04-05,294420
2014-04-06,294571
2014-04-07,294722
2014-04-08,294856
2014-04-09,295017
2014-04-10,295172
2014-04-11,295341
2014-04-12,295502
2014-04-13,295689
2014-04-14,295882
2014-04-15,296064
2014-04-16,296223
2014-04-17,296392
2014-04-18,296552
2014-04-19,296711
2014-04-20,296889
2014-04-21,297060
2014-04-22,297214
2014-04-23,297379
2014-04-24,297530
2014-04-25,297712
2014-04-26,297875
2014-04-27,298052
2014-04-28,298204
2014-04-29,298376
2014-04-30,298512
2014-05-01,298688
2014-05-02,298849
2014-05-03,298991
2014-05-04,299142
2014-05-05,299267
2014-05-06,299461
2014-05-07,299620
2014-05-08,299787
2014-05-09,299957
2014-05-10,300136
2014-05-11,300288
2014-05-12,300452
2014-05-13,300614
2014-05-14,300764
2014-05-15,300935
2014-05-16,301116
2014-05-17,301289
2014-05-18,301461
2014-05-19,301629
2014-05-20,301806
2014-05-21,301981
2014-05-22,302153
2014-05-23,302318
2014-05-24,302472
2014-05-25,302633
2014-05-26,302791
2014-05-27,302927
2014-05-28,303096
2014-05-29,303237
2014-05-30,303404
2014-05-31,303551
2014-06-01,303726
2014-06-02,303919
2014-06-03,304098
2014-06-04,304278
2014-06-05,304430
2014-06-06,304569
2014-06-07,304724
2014-06-08,304860
2014-06-09,305016
2014-06-10,305183
2014-06-11,305329
2014-06-12,305501
2014-06-13,305664
2014-06-14,305842
2014-06-15,306032
2014-06-16,306220
2014-06-17,306404
2014-06-18,306562
2014-06-19,306729
2014-06-20,306915
2014-06-21,307101
2014-06-22,307281
2014-06-23,307457
2014-06-24,307645
2014-06-25,307832
2014-06-26,308003
2014-06-27,308200
2014-06-28,308382
2014-06-29,308539
2014-06-30,308671
2014-07-01,308804
2014-07-02,308941
2014-07-03,309080
2014-07-04,309246
2014-07-05,309398
2014-07-06,309540
2014-07-07,309690
2014-07-08,309840
2014-07-09,310006
2014-07-10,310155
2014-07-11,310311
2014-07-12,310468
2014-07-13,310628
2014-07-14,310763
2014-07-15,310922
2014-07-16,311066
2014-07-17,311238
2014-07-18,311410
2014-07-19,311587
2014-07-20,311742
2014-07-21,311897
2014-07-22,312039
2014-07-23,312185
2014-07-24,312328
2014-07-25,312491
2014-07-26,312625
2014-07-27,312778
2014-07-28,312928
2014-07-29,313077
2014-07-30,313249
2014-07-31,313403
2014-08-01,313560
2014-08-02,313723
2014-08-03,313877
2014-08-04,314005
2014-08-05,314140
2014-08-06,314304
2014-08-07,314464
2014-08-08,314626
2014-08-09,314804
2014-08-10,314981
2014-08-11,315163
2014-08-12,315337
2014-08-13,315482
2014-08-14,315662
2014-08-15,315827
2014-08-16,315985
2014-08-17,316155
2014-08-18,316353
2014-08-19,316539
2014-08-20,316708
2014-08-21,316873
2014-08-22,317030
2014-08-23,317192
2014-08-24,317338
2014-08-25,317475
2014-08-26,317648
2014-08-27,317817
2014-08-28,317990
2014-08-29,318160
2014-08-30,318342
2014-08-31,318530
2014-09-01,318666
2014-09-02,318813
2014-09-03,318982
2014-09-04,319140
2014-09-05,319285
2014-09-06,319464
2014-09-07,319619
2014-09-08,319763
2014-09-09,319909
2014-09-10,320066
2014-09-11,320236
2014-09-12,320390
2014-09-13,320571
2014-09-14,320729
2014-09-15,320887
2014-09-16,321058
2014-09-17,321244
2014-09-18,321423
2014-09-19,321594
2014-09-20,321770
2014-09-21,321934
2014-09-22,322102
2014-09-23,322252
2014-09-24,322408
2014-09-25,322580
2014-09-26,322714
2014-09-27,322849
2014-09-28,322978
2014-09-29,323115
2014-09-30,323268
2014-10-01,323423
2014-10-02,323562
2014-10-03,323707
2014-10-04,323861
2014-10-05,324030
2014-10-06,324191
2014-10-07,324325
2014-10-08,324469
2014-10-09,324617
2014-10-10,324772
2014-10-11,324916
2014-10-12,325064
2014-10-13,325219
2014-10-14,325351
2014-10-15,325502
2014-10-16,325650
2014-10-17,325792
2014-10-18,325956
2014-10-19,326089
2014-10-20,326226
2014-10-21,326379
2014-10-22,326538
2014-10-23,326689
2014-10-24,326848
2014-10-25,327003
2014-10-26,327128
2014-10-27,327287
2014-10-28,327425
2014-10-29,327580
2014-10-30,327750
2014-10-31,327938
2014-11-01,328097
2014-11-02,328252
2014-11-03,328421
2014-11-04,328583
2014-11-05,328721
2014-11-06,328876
2014-11-07,329025
2014-11-08,329178
2014-11-09,329328
2014-11-10,329475
2014-11-11,329604
2014-11-12,329751
2014-11-13,329896
2014-11-14,330050
2014-11-15,330190
2014-11-16,330340
2014-11-17,330484
2014-11-18,330638
2014-11-19,330779
2014-11-20,330917
2014-11-21,331044
