t,v
2014-01-01,318
2014-01-02,479
2014-01-03,354
2014-01-04,442
2014-01-05,328
2014-01-06,301
2014-01-07,353
2014-01-08,280
2014-01-09,287
2014-01-10,365
2014-01-11,295
2014-01-12,283
2014-01-13,346
2014-01-14,394
2014-01-15,312
2014-01-16,324
2014-01-17,421
2014-01-18,341
2014-01-19,412
2014-01-20,355
2014-01-21,391
2014-01-22,305
2014-01-23,327
2014-01-24,325
2014-01-25,368
2014-01-26,443
2014-01-27,311
2014-01-28,355
2014-01-29,437
2014-01-30,362
2014-01-31,318
2014-02-01,329
2014-02-02,387
2014-02-03,375
2014-02-04,336
2014-02-05,434
2014-02-06,337
2014-02-07,417
2014-02-08,333
2014-02-09,468
2014-02-10,410
2014-02-11,383
2014-02-12,381
2014-02-13,308
2014-02-14,364
2014-02-15,368
2014-02-16,318
2014-02-17,366
2014-02-18,367
2014-02-19,263
2014-02-20,355
2014-02-21,421
2014-02-22,294
2014-02-23,364
2014-02-24,321
2014-02-25,396
2014-02-26,328
2014-02-27,367
2014-02-28,350
2014-03-01,428
2014-03-02,445
2014-03-03,380
2014-03-04,410
2014-03-05,413
2014-03-06,312
2014-03-07,413
2014-03-08,372
2014-03-09,365
2014-03-10,391
2014-03-11,326
2014-03-12,375
2014-03-13,404
2014-03-14,493
2014-03-15,367
2014-03-16,347
2014-03-17,418
2014-03-18,429
2014-03-19,351
2014-03-20,362
2014-03-21,343
2014-03-22,391
2014-03-23,295
2014-03-24,264
2014-03-25,404
2014-03-26,435
2014-03-27,307
2014-03-28,347
2014-03-29,335
2014-03-30,537
2014-03-31,360
2014-04-01,376
2014-04-02,324
2014-04-03,340
2014-04-04,309
2014-04-05,359
2014-04-06,380
2014-04-07,377
2014-04-08,404
2014-04-09,456
2014-04-10,396
2014-04-11,363
2014-04-12,368
2014-04-13,266
2014-04-14,353
2014-04-15,305
2014-04-16,394
2014-04-17,394
2014-04-18,295
2014-04-19,391
2014-04-20,328
2014-04-21,425
2014-04-22,406
2014-04-23,370
2014-04-24,377
2014-04-25,347
2014-04-26,399
2014-04-27,265
2014-04-28,503
2014-04-29,368
2014-04-30,416
2014-05-01,346
2014-05-02,392
2014-05-03,462
2014-05-04,434
2014-05-05,469
2014-05-06,311
2014-05-07,356
2014-05-08,279
2014-05-09,390
2014-05-10,336
2014-05-11,365
2014-05-12,361
2014-05-13,391
2014-05-14,472
2014-05-15,354
2014-05-16,312
2014-05-17,301
2014-05-18,393
2014-05-19,359
2014-05-20,364
2014-05-21,417
2014-05-22,365
2014-05-23,399
2014-05-24,344
2014-05-25,336
2014-05-26,450
2014-05-27,499
2014-05-28,370
2014-05-29,509
2014-05-30,327
2014-05-31,366
2014-06-01,373
2014-06-02,344
2014-06-03,394
2014-06-04,373
2014-06-05,426
2014-06-06,523
2014-06-07,413
2014-06-08,466
2014-06-09,423
2014-06-10,298
2014-06-11,436
2014-06-12,351
2014-06-13,372
2014-06-14,353
2014-06-15,300
2014-06-16,304
2014-06-17,358
2014-06-18,325
2014-06-19,366
2014-06-20,382
2014-06-21,317
2014-06-22,280
2014-06-23,340
2014-06-24,313
2014-06-25,332
2014-06-26,395
2014-06-27,327
2014-06-28,378
2014-06-29,337
2014-06-30,510
2014-07-01,492
2014-07-02,430
2014-07-03,392
2014-07-04,362
2014-07-05,349
2014-07-06,414
2014-07-07,386
2014-07-08,385
2014-07-09,414
2014-07-10,408
2014-07-11,413
2014-07-12,405
2014-07-13,455
2014-07-14,445
2014-07-15,466
2014-07-16,443
2014-07-17,392
2014-07-18,311
2014-07-19,379
2014-07-20,408
2014-07-21,411
2014-07-22,359
2014-07-23,410
2014-07-24,473
2014-07-25,421
2014-07-26,477
2014-07-27,370
2014-07-28,465
2014-07-29,482
2014-07-30,344
2014-07-31,359
2014-08-01,442
2014-08-02,368
2014-08-03,420
2014-08-04,527
2014-08-05,390
2014-08-06,406
2014-08-07,330
2014-08-08,426
2014-08-09,346
2014-08-10,282
2014-08-11,381
2014-08-12,339
2014-08-13,338
2014-08-14,335
2014-08-15,386
2014-08-16,413
2014-08-17,394
2014-08-18,344
2014-08-19,341
2014-08-20,377
2014-08-21,389
2014-08-22,379
2014-08-23,337
2014-08-24,440
2014-08-25,406
2014-08-26,330
2014-08-27,366
2014-08-28,397
2014-08-29,404
2014-08-30,322
2014-08-31,303
2014-09-01,447
2014-09-02,410
2014-09-03,363
2014-09-04,421
2014-09-05,370
2014-09-06,359
2014-09-07,398
2014-09-08,461
2014-09-09,461
2014-09-10,403
2014-09-11,389
2014-09-12,396
2014-09-13,351
2014-09-14,355
2014-09-15,421
2014-09-16,370
2014-09-17,316
2014-09-18,383
2014-09-19,312
2014-09-20,388
2014-09-21,374
2014-09-22,348
2014-09-23,417
2014-09-24,368
2014-09-25,352
2014-09-26,516
2014-09-27,516
2014-09-28,470
2014-09-29,458
2014-09-30,452
2014-10-01,357
2014-10-02,490
2014-10-03,460
2014-10-04,360
2014-10-05,407
2014-10-06,385
2014-10-07,427
2014-10-08,451
2014-10-09,419
2014-10-10,378
2014-10-11,440
2014-10-12,408
2014-10-13,407
2014-10-14,474
2014-10-15,434
2014-10-16,475
2014-10-17,527
2014-10-18,399
2014-10-19,477
2014-10-20,457
2014-10-21,404
2014-10-22,387
2014-10-23,405
2014-10-24,410
2014-10-25,356
2014-10-26,489
2014-10-27,369
2014-10-28,524
2014-10-29,447
2014-10-30,353
2014-10-31,377
2014-11-01,402
2014-11-02,464
2014-11-03,364
2014-11-04,422
2014-11-05,469
2014-11-06,348
2014-11-07,449
2014-11-08,365
2014-11-09,374
2014-11-10,456
2014-11-11,514
2014-11-12,431
2014-11-13,471
2014-11-14,499
2014-11-15,521
2014-11-16,371
2014-11-17,463
2014-11-18,398
2014-11-19,442
2014-11-20,445
2014-11-21,498
2014-11-22,432
2014-11-23,478
2014-11-24,425
2014-11-25,510
2014-11-26,469
2014-11-27,480
2014-11-28,374
2014-11-29,323
2014-11-30,371
2014-12-01,445
2014-12-02,397
2014-12-03,557
2014-12-04,441
2014-12-05,442
2014-12-06,467
2014-12-07,506
2014-12-08,375
2014-12-09,386
2014-12-10,392
2014-12-11,374
2014-12-12,465
2014-12-13,400
2014-12-14,407
2014-12-15,434
2014-12-16,416
2014-12-17,501
2014-12-18,465
2014-12-19,377
2014-12-20,473
2014-12-21,537
2014-12-22,311
2014-12-23,350
2014-12-24,376
2014-12-25,466
2014-12-26,374
2014-12-27,426
2014-12-28,378
2014-12-29,385
2014-12-30,369
2014-12-31,374
2015-01-01,318
2015-01-02,397
2015-01-03,366
2015-01-04,345
2015-01-05,441
2015-01-06,389
2015-01-07,493
2015-01-08,408
2015-01-09,491
2015-01-10,430
2015-01-11,416
2015-01-12,443
2015-01-13,492
2015-01-14,399
2015-01-15,432
2015-01-16,486
2015-01-17,453
2015-01-18,400
2015-01-19,447
2015-01-20,505
2015-01-21,364
2015-01-22,538
2015-01-23,518
2015-01-24,463
2015-01-25,455
2015-01-26,509
2015-01-27,404
2015-01-28,390
2015-01-29,346
2015-01-30,404
2015-01-31,356
2015-02-01,404
2015-02-02,384
2015-02-03,449
2015-02-04,398
2015-02-05,445
2015-02-06,321
2015-02-07,382
2015-02-08,469
2015-02-09,387
2015-02-10,438
2015-02-11,417
2015-02-12,552
2015-02-13,379
2015-02-14,347
2015-02-15,439
2015-02-16,430
2015-02-17,506
2015-02-18,429
2015-02-19,426
2015-02-20,456
2015-02-21,461
2015-02-22,401
2015-02-23,493
2015-02-24,494
2015-02-25,375
2015-02-26,378
2015-02-27,422
2015-02-28,459
2015-03-01,467
2015-03-02,372
2015-03-03,387
2015-03-04,412
2015-03-05,432
2015-03-06,423
2015-03-07,451
2015-03-08,403
2015-03-09,474
2015-03-10,350
2015-03-11,440
2015-03-12,529
2015-03-13,425
2015-03-14,522
2015-03-15,389
2015-03-16,452
2015-03-17,548
2015-03-18,445
2015-03-19,497
2015-03-20,484
2015-03-21,452
2015-03-22,423
2015-03-23,461
2015-03-24,396
2015-03-25,356
2015-03-26,455
2015-03-27,320
2015-03-28,414
2015-03-29,373
2015-03-30,366
2015-03-31,407
2015-04-01,476
2015-04-02,399
2015-04-03,471
2015-04-04,464
2015-04-05,490
2015-04-06,487
2015-04-07,426
2015-04-08,497
2015-04-09,432
2015-04-10,479
2015-04-11,501
2015-04-12,466
2015-04-13,464
2015-04-14,433
2015-04-15,491
2015-04-16,491
2015-04-17,531
2015-04-18,454
2015-04-19,422
2015-04-20,383
2015-04-21,401
2015-04-22,358
2015-04-23,484
2015-04-24,571
2015-04-25,341
2015-04-26,399
2015-04-27,494
2015-04-28,396
2015-04-29,530
2015-04-30,431
2015-05-01,374
2015-05-02,497
2015-05-03,484
2015-05-04,415
2015-05-05,387
2015-05-06,406
2015-05-07,436
2015-05-08,478
2015-05-09,462
2015-05-10,465
2015-05-11,419
2015-05-12,389
2015-05-13,345
2015-05-14,413
2015-05-15,391
2015-05-16,490
2015-05-17,379
2015-05-18,402
2015-05-19,454
2015-05-20,407
2015-05-21,377
2015-05-22,525
2015-05-23,495
