t,v
2014-01-01,9094710546.051924
2014-01-02,9246616007.058975
2014-01-03,9723235596.968317
2014-01-04,9906245826.21101
2014-01-05,10580344016.278189
2014-01-06,11469286993.48176
2014-01-07,10850158134.420969
2014-01-08,9969196617.357233
2014-01-09,10055931837.266924
2014-01-10,10089637058.52388
2014-01-11,10757937017.382921
2014-01-12,10603165616.947327
2014-01-13,10037131306.947397
2014-01-14,10094053913.474024
2014-01-15,10235439891.29606
2014-01-16,10234172676.843412
2014-01-17,9834091888.758448
2014-01-18,9921368587.419853
2014-01-19,10007708744.016314
2014-01-20,10229041762.64488
2014-01-21,10108459837.489878
2014-01-22,10052125546.197083
2014-01-23,10021840651.4006
2014-01-24,9709306778.338678
2014-01-25,9799024066.74525
2014-01-26,10002226890.942434
2014-01-27,9870359455.646276
2014-01-28,9592716291.27363
2014-01-29,9788894516.834145
2014-01-30,9766499881.196913
2014-01-31,9891729048.241802
2014-02-01,10021323391.051973
2014-02-02,10107410828.078686
2014-02-03,9997208910.185205
2014-02-04,9947008627.593277
2014-02-05,9914337243.257105
2014-02-06,9644954900.624964
2014-02-07,8915953108.229565
2014-02-08,8733661194.378702
2014-02-09,8587189016.978965
2014-02-10,8332995941.077914
2014-02-11,8532482158.5589
2014-02-12,8206292664.524542
2014-02-13,7969302148.006986
2014-02-14,7823122693.183743
2014-02-15,8088917681.737723
2014-02-16,7928304102.339089
2014-02-17,7862361867.442469
2014-02-18,7840777659.199935
2014-02-19,7783773064.848912
2014-02-20,7457022582.924373
2014-02-21,7057549020.615862
2014-02-22,7249312475.123479
2014-02-23,7724991457.235346
2014-02-24,7065465442.987072
2014-02-25,6211460368.958005
2014-02-26,7158251866.47344
2014-02-27,7272950527.078542
2014-02-28,7120012798.40249
2014-03-01,7009878358.970197
2014-03-02,7031524094.776207
2014-03-03,7585682692.809751
2014-03-04,8477823948.51159
2014-03-05,8306537789.440667
2014-03-06,8308426681.305493
2014-03-07,8041540850.16883
2014-03-08,7762110342.720236
2014-03-09,7859756533.14149
2014-03-10,7886856543.353547
2014-03-11,7840186227.866358
2014-03-12,7993870377.701224
2014-03-13,8033489395.5613165
2014-03-14,7952455278.830604
2014-03-15,7926061168.071221
2014-03-16,7940550864.7820425
2014-03-17,7855289585.623814
2014-03-18,7698361633.722369
2014-03-19,7692279582.819344
2014-03-20,7474443710.230244
2014-03-21,7301159268.342699
2014-03-22,7061636385.582875
2014-03-23,7080933474.2467
2014-03-24,7075611467.125054
2014-03-25,7260873110.0478115
2014-03-26,7292659671.874593
2014-03-27,6823806319.433859
2014-03-28,6322041960.336388
2014-03-29,6281017792.410624
2014-03-30,5890741734.852049
2014-03-31,5741674346.8347
2014-04-01,5984209625.912943
2014-04-02,5871835422.7124815
2014-04-03,5486436035.815874
2014-04-04,5607680311.736067
2014-04-05,5697274837.725681
2014-04-06,5785966548.812846
2014-04-07,5742041642.138537
2014-04-08,5719486433.124713
2014-04-09,5663979614.114114
2014-04-10,5159314549.3172865
2014-04-11,5108051632.782451
2014-04-12,5389730933.996509
2014-04-13,5278062048.198697
2014-04-14,5654647178.459337
2014-04-15,6169005312.655653
2014-04-16,6557515222.135956
2014-04-17,6416762662.6784315
2014-04-18,6185027182.390634
2014-04-19,6257159149.009489
2014-04-20,6394452030.950034
2014-04-21,6364378852.192202
2014-04-22,6282871322.214401
2014-04-23,6218188768.255727
2014-04-24,6214323442.563743
2014-04-25,5912830220.691428
2014-04-26,5821529078.587929
2014-04-27,5753486002.43807
2014-04-28,5566147859.125604
2014-04-29,5659009694.600601
2014-04-30,5670528285.711485
2014-05-01,5804224171.463392
2014-05-02,5747569085.655509
2014-05-03,5629625153.172458
2014-05-04,5557856945.670843
2014-05-05,5514918001.294778
2014-05-06,5465128167.093171
2014-05-07,5588320368.808849
2014-05-08,5661665235.701578
2014-05-09,5708132148.788977
2014-05-10,5778036374.272003
2014-05-11,5679889854.543143
2014-05-12,5612482587.877055
2014-05-13,5601038049.014684
2014-05-14,5663084121.916127
2014-05-15,5729416324.255792
2014-05-16,5727414421.428067
2014-05-17,5742806871.482535
2014-05-18,5727064367.114512
2014-05-19,5714924349.211869
2014-05-20,5992170257.465179
2014-05-21,6330962553.559361
2014-05-22,6554229803.7631
2014-05-23,6803834959.893221
2014-05-24,6692593051.575357
2014-05-25,7215590913.837823
2014-05-26,7467326633.275754
2014-05-27,7382542067.131852
2014-05-28,7372520360.270841
2014-05-29,7310607600.50006
2014-05-30,7630994117.882495
2014-05-31,7985700145.606455
2014-06-01,8297690078.021048
2014-06-02,8191628451.706927
2014-06-03,8564979365.577501
2014-06-04,8268863130.96109
2014-06-05,8402361099.024015
2014-06-06,8453181602.396341
2014-06-07,8398346029.3742485
2014-06-08,8438510649.759269
2014-06-09,8366111733.938666
2014-06-10,8367689446.679621
2014-06-11,8235589556.278748
2014-06-12,7957167597.681427
2014-06-13,7600028139.59367
