t,v
2014-01-01,-0.351988244156595
2014-01-02,-0.32543223493912304
2014-01-03,-0.305103261174887
2014-01-04,-0.28718710643740303
2014-01-05,-0.22180661012309302
2014-01-06,-0.21094973943220102
2014-01-07,-0.32086253800617703
2014-01-08,-0.292245467598283
2014-01-09,-0.28966378004882604
2014-01-10,-0.265082733010207
2014-01-11,-0.23133400959837902
2014-01-12,-0.27468056262658
2014-01-13,-0.292533170256756
2014-01-14,-0.29815279374436104
2014-01-15,-0.27740836385663303
2014-01-16,-0.299443446778466
2014-01-17,-0.31661948977031
2014-01-18,-0.302125812861454
2014-01-19,-0.276254720325866
2014-01-20,-0.288949953569198
2014-01-21,-0.290515917674437
2014-01-22,-0.29597030637280003
2014-01-23,-0.30256310889340504
2014-01-24,-0.32964304099372105
2014-01-25,-0.307049897904559
2014-01-26,-0.299141639134602
2014-01-27,-0.35777405379791904
2014-01-28,-0.32399600904796805
2014-01-29,-0.31698802670395804
2014-01-30,-0.312322094363906
2014-01-31,-0.30933275916033104
2014-02-01,-0.30059286549254305
2014-02-02,-0.299068025682574
2014-02-03,-0.30460088475497804
2014-02-04,-0.310714777215364
2014-02-05,-0.32832486204653605
2014-02-06,-0.34375216148827603
2014-02-07,-0.39072712364003503
2014-02-08,-0.41548789547990905
2014-02-09,-0.40883412574744804
2014-02-10,-0.407884452680492
2014-02-11,-0.419330264330639
2014-02-12,-0.43874095430840904
2014-02-13,-0.47891177340455904
2014-02-14,-0.423720450530004
2014-02-15,-0.43639619800548
2014-02-16,-0.46618022648307605
2014-02-17,-0.45599667421111206
2014-02-18,-0.458881097208771
2014-02-19,-0.46257034967455
2014-02-20,-0.5161109444368971
2014-02-21,-0.500026076868185
2014-02-22,-0.47399768855509605
2014-02-23,-0.47688195106822906
2014-02-24,-0.538241656259113
2014-02-25,-0.538799306217513
2014-02-26,-0.49639046525386904
2014-02-27,-0.498506376540199
2014-02-28,-0.5257119675565171
2014-03-01,-0.512529682957059
2014-03-02,-0.515504485387382
2014-03-03,-0.41786014114983405
2014-03-04,-0.42081217797291004
2014-03-05,-0.423633585230755
2014-03-06,-0.42439708566468903
2014-03-07,-0.45614494642776504
2014-03-08,-0.46619433437908003
2014-03-09,-0.450889624532809
2014-03-10,-0.458662107667109
2014-03-11,-0.453796698111735
2014-03-12,-0.45481493092580805
2014-03-13,-0.44815105653243703
2014-03-14,-0.458272448430442
2014-03-15,-0.451752764648827
2014-03-16,-0.45399333881427806
2014-03-17,-0.46428482794888704
2014-03-18,-0.47151478699048205
2014-03-19,-0.474304974144638
2014-03-20,-0.49515550903397804
2014-03-21,-0.5097267693454111
2014-03-22,-0.514428674973272
2014-03-23,-0.5186046558117461
2014-03-24,-0.496911578029317
2014-03-25,-0.49782888326838404
2014-03-26,-0.50192115052326
2014-03-27,-0.593903828753503
2014-03-28,-0.569002121593719
2014-03-29,-0.5768706360808551
2014-03-30,-0.605403258690983
2014-03-31,-0.6069093685927981
2014-04-01,-0.587738598801349
2014-04-02,-0.6218725582229281
2014-04-03,-0.6133464305407641
2014-04-04,-0.6113157169943461
2014-04-05,-0.6012309136622771
2014-04-06,-0.606169639572126
2014-04-07,-0.6138490597229841
2014-04-08,-0.610080749071795
2014-04-09,-0.618917918771686
2014-04-10,-0.6870479612339351
2014-04-11,-0.635818025631376
2014-04-12,-0.635856026770093
2014-04-13,-0.641450492386323
2014-04-14,-0.6051251118605271
2014-04-15,-0.550768803127853
2014-04-16,-0.546130396656155
2014-04-17,-0.571349725441201
2014-04-18,-0.585198379016697
2014-04-19,-0.565779899232226
2014-04-20,-0.569604806599991
2014-04-21,-0.572308575309682
2014-04-22,-0.5785521750064221
2014-04-23,-0.576825770314717
2014-04-24,-0.56803462451938
2014-04-25,-0.5984258459974671
2014-04-26,-0.603450201869817
2014-04-27,-0.6263898214192211
2014-04-28,-0.6191256693803611
2014-04-29,-0.61467062012397
2014-04-30,-0.613897019813059
2014-05-01,-0.603746134795717
2014-05-02,-0.60920408308088
2014-05-03,-0.6216615299543811
2014-05-04,-0.62332929782375
2014-05-05,-0.627572273468034
2014-05-06,-0.6318642234804921
2014-05-07,-0.620759953810715
2014-05-08,-0.622341639301326
2014-05-09,-0.6116869540100881
2014-05-10,-0.607321848573218
2014-05-11,-0.6222862832507401
2014-05-12,-0.619432628974366
2014-05-13,-0.6223193919844571
2014-05-14,-0.6166019814319811
2014-05-15,-0.61610122013565
2014-05-16,-0.6152988035708621
2014-05-17,-0.6129454198119261
2014-05-18,-0.6156184615896471
2014-05-19,-0.614516591162072
2014-05-20,-0.579239315345027
2014-05-21,-0.575368373171671
2014-05-22,-0.544573509663946
2014-05-23,-0.549739585013536
2014-05-24,-0.545677317998983
2014-05-25,-0.507093756543554
2014-05-26,-0.49807558330966006
2014-05-27,-0.506997270636226
2014-05-28,-0.5009067552956531
2014-05-29,-0.5094361343475591
2014-05-30,-0.46571673171564304
2014-05-31,-0.460388904587998
2014-06-01,-0.45825499071476006
2014-06-02,-0.43053341654123306
2014-06-03,-0.42377944003709606
2014-06-04,-0.44750185007881205
2014-06-05,-0.43105428973125903
2014-06-06,-0.44170776304290105
2014-06-07,-0.43480237531372906
2014-06-08,-0.43409009079842403
2014-06-09,-0.442375446912443
2014-06-10,-0.44217556998497903
2014-06-11,-0.46457907197955506
2014-06-12,-0.508871510937152
2014-06-13,-0.49082861221161406
2014-06-14,-0.5112891465020231
2014-06-15,-0.49218526735531504
2014-06-16,-0.49513210900771004
2014-06-17,-0.478391978204437
2014-06-18,-0.477913094676897
2014-06-19,-0.489853236677292
2014-06-20,-0.49343728187978303
2014-06-21,-0.49336343514178005
2014-06-22,-0.483899096340185
2014-06-23,-0.494088343935204
2014-06-24,-0.5068746094933481
2014-06-25,-0.517912702027979
2014-06-26,-0.501460546522638
2014-06-27,-0.48399439279076506
2014-06-28,-0.49202275496802805
2014-06-29,-0.48402847836198304
2014-06-30,-0.450659206489868
2014-07-01,-0.45025384838723503
2014-07-02,-0.44086708687111303
2014-07-03,-0.44379504780190804
2014-07-04,-0.46048835689851
2014-07-05,-0.45748748652622606
2014-07-06,-0.45690590840635603
2014-07-07,-0.464345612186054
2014-07-08,-0.46303466361612006
2014-07-09,-0.46512032420663
2014-07-10,-0.46950472239058205
2014-07-11,-0.454578580207235
2014-07-12,-0.452568702163522
2014-07-13,-0.45766180724978806
2014-07-14,-0.46698864246460803
2014-07-15,-0.46367028564198404
2014-07-16,-0.47024893355228004
2014-07-17,-0.463493898512212
2014-07-18,-0.45690162249431804
2014-07-19,-0.458366229750418
2014-07-20,-0.46170293668404405
2014-07-21,-0.465157542722455
2014-07-22,-0.46710353279717903
2014-07-23,-0.46679446297778904
2014-07-24,-0.480647488089297
2014-07-25,-0.48145568129368005
2014-07-26,-0.487411284265423
2014-07-27,-0.490849351399176
2014-07-28,-0.49307002528557103
2014-07-29,-0.49674559839494303
2014-07-30,-0.5154594365863481
2014-07-31,-0.49938339589363806
2014-08-01,-0.48548206463874805
2014-08-02,-0.493131884961555
2014-08-03,-0.49555437808836106
2014-08-04,-0.493842911216454
2014-08-05,-0.5008427816063591
2014-08-06,-0.49905758569393205
2014-08-07,-0.49699679064397506
2014-08-08,-0.493577315394767
2014-08-09,-0.493186883973506
2014-08-10,-0.491859078688188
2014-08-11,-0.506334137238306
2014-08-12,-0.511602568926398
2014-08-13,-0.527119700031006
2014-08-14,-0.5635912390009751
2014-08-15,-0.568880294618419
2014-08-16,-0.550378991866705
2014-08-17,-0.571471032951212
2014-08-18,-0.592982331278723
2014-08-19,-0.577679915957095
2014-08-20,-0.5544422170526461
2014-08-21,-0.5524061115027641
2014-08-22,-0.5572196643057861
2014-08-23,-0.5732216850996631
2014-08-24,-0.5633701202375331
2014-08-25,-0.5672053315055811
2014-08-26,-0.558228695301169
2014-08-27,-0.5598022705510141
2014-08-28,-0.564321316767841
2014-08-29,-0.562164733084712
2014-08-30,-0.569083238270604
2014-08-31,-0.588111390576414
2014-09-01,-0.5911495217527021
2014-09-02,-0.592476879061651
2014-09-03,-0.591839688598992
2014-09-04,-0.579743729476148
2014-09-05,-0.5891751075586731
2014-09-06,-0.587369251874381
2014-09-07,-0.590484539320788
2014-09-08,-0.597442198876023
2014-09-09,-0.5928446931982331
2014-09-10,-0.589205014225886
2014-09-11,-0.589371438686904
2014-09-12,-0.592137974943002
2014-09-13,-0.589617783394285
2014-09-14,-0.5917862565341251
2014-09-15,-0.5961167316524071
2014-09-16,-0.601595462424802
2014-09-17,-0.610947135692772
2014-09-18,-0.633878055378651
2014-09-19,-0.6596219674580921
2014-09-20,-0.6467396961164681
2014-09-21,-0.6555556054071611
2014-09-22,-0.6567006375470601
2014-09-23,-0.6220541003029051
2014-09-24,-0.635684791865698
2014-09-25,-0.647916017308212
2014-09-26,-0.6520216053808281
2014-09-27,-0.6553654329536831
2014-09-28,-0.6771979237916641
2014-09-29,-0.6783268422120741
2014-09-30,-0.664396078062765
2014-10-01,-0.6697660683405681
2014-10-02,-0.677034774922812
2014-10-03,-0.6926284473135701
2014-10-04,-0.719051473513297
2014-10-05,-0.7221370494188171
2014-10-06,-0.7178415511179661
2014-10-07,-0.712375513079863
2014-10-08,-0.6938074287711871
2014-10-09,-0.6864414626795581
2014-10-10,-0.6895529584573431
2014-10-11,-0.6882679451315661
2014-10-12,-0.6735501247027661
2014-10-13,-0.6625568214360691
2014-10-14,-0.6538670711879491
2014-10-15,-0.6610353072698011
2014-10-16,-0.670504431580177
2014-10-17,-0.670525386996009
