t,v
2014-01-01,82318
2014-01-02,111466
2014-01-03,119835
2014-01-04,98656
2014-01-05,111911
2014-01-06,149404
2014-01-07,119141
2014-01-08,125419
2014-01-09,115338
2014-01-10,105597
2014-01-11,109870
2014-01-12,97266
2014-01-13,131532
2014-01-14,108158
2014-01-15,113328
2014-01-16,106566
2014-01-17,112740
2014-01-18,91960
2014-01-19,94822
2014-01-20,151257
2014-01-21,135121
2014-01-22,129551
2014-01-23,123289
2014-01-24,121269
2014-01-25,105654
2014-01-26,108327
2014-01-27,149779
2014-01-28,133051
2014-01-29,119661
2014-01-30,129402
2014-01-31,129210
2014-02-01,118947
2014-02-02,112696
2014-02-03,149452
2014-02-04,145385
2014-02-05,131561
2014-02-06,140916
2014-02-07,139892
2014-02-08,127968
2014-02-09,107807
2014-02-10,149880
2014-02-11,127095
2014-02-12,121949
2014-02-13,128072
2014-02-14,141390
2014-02-15,127095
2014-02-16,106091
2014-02-17,146838
2014-02-18,130110
2014-02-19,151269
2014-02-20,157383
2014-02-21,155686
2014-02-22,132800
2014-02-23,142142
2014-02-24,190962
2014-02-25,182576
2014-02-26,169110
2014-02-27,156467
2014-02-28,143813
2014-03-01,151870
2014-03-02,133821
2014-03-03,205583
2014-03-04,199475
2014-03-05,170807
2014-03-06,168333
2014-03-07,155705
2014-03-08,148302
2014-03-09,149440
2014-03-10,171161
2014-03-11,153258
2014-03-12,165693
2014-03-13,162689
2014-03-14,135123
2014-03-15,120218
2014-03-16,119582
2014-03-17,160469
2014-03-18,116362
2014-03-19,139639
2014-03-20,135847
2014-03-21,155522
2014-03-22,134108
2014-03-23,125338
2014-03-24,168768
2014-03-25,143186
2014-03-26,146031
2014-03-27,158826
2014-03-28,156826
2014-03-29,125358
2014-03-30,147451
2014-03-31,147105
2014-04-01,154262
2014-04-02,153006
2014-04-03,125028
2014-04-04,153428
2014-04-05,129774
2014-04-06,166792
2014-04-07,136281
2014-04-08,142122
2014-04-09,152089
2014-04-10,157347
2014-04-11,146012
2014-04-12,111111
2014-04-13,154862
2014-04-14,156527
2014-04-15,154789
2014-04-16,148979
2014-04-17,130890
2014-04-18,126924
2014-04-19,117894
2014-04-20,146305
2014-04-21,120499
2014-04-22,161285
2014-04-23,133912
2014-04-24,134130
2014-04-25,155313
2014-04-26,113677
2014-04-27,147866
2014-04-28,145025
2014-04-29,140455
2014-04-30,137811
2014-05-01,131387
2014-05-02,121799
2014-05-03,96635
2014-05-04,135541
2014-05-05,126093
2014-05-06,143378
2014-05-07,138663
2014-05-08,140068
2014-05-09,135686
2014-05-10,115389
2014-05-11,145110
2014-05-12,127248
2014-05-13,124062
2014-05-14,135151
2014-05-15,148135
2014-05-16,121868
2014-05-17,108880
2014-05-18,149633
2014-05-19,136181
2014-05-20,160642
2014-05-21,129809
2014-05-22,136679
2014-05-23,148813
2014-05-24,102233
2014-05-25,164850
2014-05-26,142183
2014-05-27,149754
2014-05-28,155024
2014-05-29,144830
2014-05-30,127112
2014-05-31,123361
2014-06-01,166893
2014-06-02,148797
2014-06-03,159228
2014-06-04,146403
2014-06-05,152672
2014-06-06,142568
2014-06-07,119540
2014-06-08,152292
2014-06-09,136115
2014-06-10,145151
2014-06-11,143947
2014-06-12,145189
2014-06-13,146038
2014-06-14,127312
2014-06-15,155519
2014-06-16,150481
2014-06-17,160690
2014-06-18,142985
2014-06-19,131381
2014-06-20,132077
2014-06-21,128748
2014-06-22,162019
2014-06-23,136379
2014-06-24,147389
2014-06-25,148965
2014-06-26,136096
2014-06-27,142836
2014-06-28,118501
2014-06-29,153221
2014-06-30,153632
2014-07-01,157039
2014-07-02,151188
2014-07-03,135320
2014-07-04,121494
2014-07-05,109822
2014-07-06,162031
2014-07-07,158864
2014-07-08,183749
2014-07-09,156366
2014-07-10,146775
2014-07-11,144366
2014-07-12,134430
2014-07-13,168351
2014-07-14,137631
2014-07-15,153115
2014-07-16,142413
2014-07-17,146462
2014-07-18,139816
2014-07-19,130030
2014-07-20,169241
2014-07-21,133651
2014-07-22,140755
2014-07-23,150445
2014-07-24,148770
2014-07-25,151212
2014-07-26,119027
2014-07-27,161057
2014-07-28,146702
2014-07-29,141398
2014-07-30,154940
2014-07-31,147683
2014-08-01,150136
2014-08-02,120051
2014-08-03,150361
2014-08-04,133403
2014-08-05,168292
2014-08-06,172193
2014-08-07,150703
2014-08-08,148206
2014-08-09,129362
2014-08-10,173881
2014-08-11,169221
2014-08-12,173277
2014-08-13,168903
2014-08-14,163465
2014-08-15,157791
2014-08-16,145374
2014-08-17,179005
2014-08-18,166732
2014-08-19,160918
2014-08-20,162611
2014-08-21,169011
2014-08-22,156008
2014-08-23,126867
2014-08-24,184071
2014-08-25,153351
2014-08-26,162465
2014-08-27,156546
2014-08-28,166133
2014-08-29,139970
2014-08-30,140536
2014-08-31,170211
2014-09-01,166831
2014-09-02,154970
2014-09-03,145247
2014-09-04,153336
2014-09-05,155478
2014-09-06,133089
2014-09-07,211605
2014-09-08,160404
2014-09-09,173097
2014-09-10,155074
2014-09-11,148369
2014-09-12,145747
2014-09-13,131761
2014-09-14,212634
2014-09-15,159704
2014-09-16,181652
2014-09-17,162684
2014-09-18,164643
2014-09-19,142421
2014-09-20,139288
2014-09-21,182287
2014-09-22,170533
2014-09-23,162749
2014-09-24,163153
2014-09-25,167784
2014-09-26,153702
2014-09-27,140916
2014-09-28,212742
2014-09-29,158480
2014-09-30,184059
2014-10-01,183941
2014-10-02,155358
2014-10-03,149302
2014-10-04,139568
2014-10-05,218829
2014-10-06,156634
2014-10-07,170579
2014-10-08,160939
2014-10-09,158346
2014-10-10,170716
2014-10-11,137920
2014-10-12,210092
2014-10-13,180902
2014-10-14,171529
2014-10-15,179691
2014-10-16,158043
2014-10-17,156635
2014-10-18,146885
2014-10-19,207505
2014-10-20,165865
2014-10-21,172834
2014-10-22,169820
2014-10-23,163237
2014-10-24,156815
2014-10-25,184027
2014-10-26,183722
2014-10-27,188579
2014-10-28,173199
2014-10-29,173341
2014-10-30,175632
2014-10-31,169749
2014-11-01,142863
2014-11-02,236652
2014-11-03,172315
2014-11-04,171448
2014-11-05,170478
2014-11-06,176994
2014-11-07,160364
2014-11-08,133353
2014-11-09,224772
2014-11-10,174343
2014-11-11,169518
2014-11-12,195380
2014-11-13,183121
2014-11-14,195620
2014-11-15,149840
2014-11-16,221588
2014-11-17,176660
2014-11-18,179070
2014-11-19,171504
2014-11-20,178336
2014-11-21,170383
2014-11-22,153822
2014-11-23,223460
2014-11-24,172827
2014-11-25,174886
2014-11-26,169988
2014-11-27,181015
2014-11-28,176901
2014-11-29,154945
2014-11-30,245732
2014-12-01,181175
2014-12-02,208828
2014-12-03,193988
2014-12-04,186466
2014-12-05,194003
2014-12-06,157405
2014-12-07,228798
2014-12-08,198270
2014-12-09,187088
2014-12-10,188825
2014-12-11,182221
2014-12-12,189795
