t,v
2014-01-01,59230
2014-01-02,89943
2014-01-03,95517
2014-01-04,73856
2014-01-05,89692
2014-01-06,111416
2014-01-07,90145
2014-01-08,86936
2014-01-09,84598
2014-01-10,81600
2014-01-11,83544
2014-01-12,72280
2014-01-13,80125
2014-01-14,84231
2014-01-15,83146
2014-01-16,85205
2014-01-17,75462
2014-01-18,66529
2014-01-19,67774
2014-01-20,105733
2014-01-21,107748
2014-01-22,97883
2014-01-23,97271
2014-01-24,90362
2014-01-25,78536
2014-01-26,78767
2014-01-27,93989
2014-01-28,104242
2014-01-29,87647
2014-01-30,96581
2014-01-31,95879
2014-02-01,85815
2014-02-02,87949
2014-02-03,98446
2014-02-04,114458
2014-02-05,102764
2014-02-06,105628
2014-02-07,113249
2014-02-08,94775
2014-02-09,79658
2014-02-10,92230
2014-02-11,98243
2014-02-12,160342
2014-02-13,111682
2014-02-14,119106
2014-02-15,100776
2014-02-16,79096
2014-02-17,101955
2014-02-18,104456
2014-02-19,122980
2014-02-20,124160
2014-02-21,125674
2014-02-22,104030
2014-02-23,113053
2014-02-24,134120
2014-02-25,147215
2014-02-26,138695
2014-02-27,119191
2014-02-28,139764
2014-03-01,123434
2014-03-02,102204
2014-03-03,147505
2014-03-04,162398
2014-03-05,143936
2014-03-06,134232
2014-03-07,125239
2014-03-08,113499
2014-03-09,106845
2014-03-10,121995
2014-03-11,126964
2014-03-12,139660
2014-03-13,125121
2014-03-14,136926
2014-03-15,93569
2014-03-16,83638
2014-03-17,104855
2014-03-18,85262
2014-03-19,95590
2014-03-20,107266
2014-03-21,131533
2014-03-22,111946
2014-03-23,91711
2014-03-24,110620
2014-03-25,112636
2014-03-26,113706
2014-03-27,130082
2014-03-28,124289
2014-03-29,90094
2014-03-30,81793
2014-03-31,116444
2014-04-01,121850
2014-04-02,122784
2014-04-03,112306
2014-04-04,124280
2014-04-05,105120
2014-04-06,96758
2014-04-07,110540
2014-04-08,111798
2014-04-09,124767
2014-04-10,125600
2014-04-11,117841
2014-04-12,90616
2014-04-13,87998
2014-04-14,130612
2014-04-15,142817
2014-04-16,128887
2014-04-17,107997
2014-04-18,100950
2014-04-19,97350
2014-04-20,84545
2014-04-21,95057
2014-04-22,123838
2014-04-23,101816
2014-04-24,111960
2014-04-25,120366
2014-04-26,88332
2014-04-27,88194
2014-04-28,110468
2014-04-29,118344
2014-04-30,116314
2014-05-01,102307
2014-05-02,94588
2014-05-03,72056
2014-05-04,73197
2014-05-05,95642
2014-05-06,113719
2014-05-07,109695
2014-05-08,117033
2014-05-09,110561
2014-05-10,88517
2014-05-11,77815
2014-05-12,102199
2014-05-13,97699
2014-05-14,108341
2014-05-15,122707
2014-05-16,103561
2014-05-17,101589
2014-05-18,92881
2014-05-19,131919
2014-05-20,133257
2014-05-21,105661
2014-05-22,111010
2014-05-23,122741
2014-05-24,77767
2014-05-25,101474
2014-05-26,116348
2014-05-27,124100
2014-05-28,134172
2014-05-29,119799
2014-05-30,101741
2014-05-31,95884
2014-06-01,106724
2014-06-02,121439
2014-06-03,131781
2014-06-04,116236
2014-06-05,128494
2014-06-06,122533
2014-06-07,91526
2014-06-08,91237
2014-06-09,114996
2014-06-10,123652
2014-06-11,119408
2014-06-12,118785
2014-06-13,120039
2014-06-14,98653
2014-06-15,85566
2014-06-16,123358
2014-06-17,123627
2014-06-18,114043
2014-06-19,105841
2014-06-20,103493
2014-06-21,101338
2014-06-22,92772
2014-06-23,106298
2014-06-24,120799
2014-06-25,120436
2014-06-26,107479
2014-06-27,114838
2014-06-28,94931
2014-06-29,83323
2014-06-30,123834
2014-07-01,131838
2014-07-02,127287
2014-07-03,110474
2014-07-04,91510
2014-07-05,76297
2014-07-06,92649
2014-07-07,119259
2014-07-08,143518
2014-07-09,126697
2014-07-10,121955
2014-07-11,120149
2014-07-12,90949
2014-07-13,98773
2014-07-14,108005
2014-07-15,124366
2014-07-16,112592
2014-07-17,120705
2014-07-18,120455
2014-07-19,100956
2014-07-20,93881
