t,v
2014-01-01,126484
2014-01-02,153861
2014-01-03,166839
2014-01-04,140143
2014-01-05,160553
2014-01-06,200229
2014-01-07,171949
2014-01-08,178553
2014-01-09,163842
2014-01-10,154089
2014-01-11,160323
2014-01-12,146657
2014-01-13,179728
2014-01-14,153584
2014-01-15,169579
2014-01-16,159016
2014-01-17,167279
2014-01-18,139214
2014-01-19,132389
2014-01-20,208019
2014-01-21,193816
2014-01-22,185141
2014-01-23,177189
2014-01-24,179847
2014-01-25,150854
2014-01-26,148573
2014-01-27,200613
2014-01-28,181141
2014-01-29,164994
2014-01-30,175024
2014-01-31,177338
2014-02-01,165634
2014-02-02,157863
2014-02-03,197060
2014-02-04,208265
2014-02-05,203498
2014-02-06,210441
2014-02-07,198934
2014-02-08,191722
2014-02-09,163716
2014-02-10,198792
2014-02-11,172507
2014-02-12,172168
2014-02-13,196981
2014-02-14,222479
2014-02-15,181290
2014-02-16,156984
2014-02-17,201453
2014-02-18,196240
2014-02-19,221129
2014-02-20,218667
2014-02-21,212994
2014-02-22,185688
2014-02-23,194251
2014-02-24,256989
2014-02-25,240548
2014-02-26,227926
2014-02-27,221110
2014-02-28,207522
2014-03-01,203479
2014-03-02,185198
2014-03-03,275669
2014-03-04,272021
2014-03-05,229409
2014-03-06,228184
2014-03-07,220926
2014-03-08,199405
2014-03-09,207368
2014-03-10,238452
2014-03-11,226425
2014-03-12,230676
2014-03-13,227736
2014-03-14,193216
2014-03-15,167088
2014-03-16,167380
2014-03-17,209277
2014-03-18,146773
2014-03-19,197577
2014-03-20,199417
2014-03-21,214166
2014-03-22,193262
2014-03-23,181968
2014-03-24,237775
2014-03-25,206907
2014-03-26,207076
2014-03-27,214499
2014-03-28,210541
2014-03-29,178362
2014-03-30,209870
2014-03-31,199380
2014-04-01,203308
2014-04-02,206956
2014-04-03,177115
2014-04-04,206928
2014-04-05,178344
2014-04-06,212204
2014-04-07,197692
2014-04-08,204145
2014-04-09,207249
2014-04-10,208849
2014-04-11,199899
2014-04-12,146658
2014-04-13,203419
2014-04-14,213443
2014-04-15,215599
2014-04-16,210738
2014-04-17,196351
2014-04-18,178850
2014-04-19,161652
2014-04-20,198712
2014-04-21,174653
2014-04-22,242759
2014-04-23,214057
2014-04-24,218028
2014-04-25,224867
2014-04-26,155167
2014-04-27,206760
2014-04-28,202643
2014-04-29,202127
2014-04-30,193179
2014-05-01,187433
2014-05-02,185918
2014-05-03,155202
2014-05-04,204636
2014-05-05,200897
2014-05-06,224144
2014-05-07,208586
2014-05-08,201923
2014-05-09,197638
2014-05-10,168595
2014-05-11,222897
2014-05-12,210802
2014-05-13,200082
2014-05-14,208062
2014-05-15,221217
2014-05-16,193788
2014-05-17,161377
2014-05-18,202663
2014-05-19,195047
2014-05-20,226140
2014-05-21,205246
2014-05-22,211790
2014-05-23,213055
2014-05-24,155791
2014-05-25,216166
2014-05-26,199531
2014-05-27,203852
2014-05-28,213511
2014-05-29,199386
2014-05-30,189753
2014-05-31,163731
2014-06-01,215344
2014-06-02,197679
2014-06-03,213202
2014-06-04,199372
2014-06-05,206870
2014-06-06,194912
2014-06-07,158544
2014-06-08,198457
2014-06-09,187694
2014-06-10,203121
2014-06-11,192758
2014-06-12,202643
2014-06-13,200965
2014-06-14,173965
2014-06-15,221635
2014-06-16,210423
2014-06-17,222335
2014-06-18,197866
2014-06-19,194640
2014-06-20,181765
2014-06-21,172269
2014-06-22,213009
2014-06-23,193983
2014-06-24,199175
2014-06-25,204444
2014-06-26,191104
2014-06-27,196694
2014-06-28,170152
