t,v
2014-01-01,0.036000000000000004
2014-01-02,0.04111414
2014-01-03,0.0478
2014-01-04,0.04
2014-01-05,0.04199605
2014-01-06,0.03
2014-01-07,0.0359
2014-01-08,0.03019612
2014-01-09,0.037568370000000004
2014-01-10,0.03359572
2014-01-11,0.034
2014-01-12,0.03
2014-01-13,0.0178
2014-01-14,0.03399528
2014-01-15,0.03733242
2014-01-16,0.0353941
2014-01-17,0.02979684
2014-01-18,0.0333
2014-01-19,0.03158444
2014-01-20,0.02209948
2014-01-21,0.03567461
2014-01-22,0.036500000000000005
2014-01-23,0.03439506
2014-01-24,0.04007696
2014-01-25,0.03459574
2014-01-26,0.038
2014-01-27,0.02417586
2014-01-28,0.04193168
2014-01-29,0.03925
2014-01-30,0.03399291
2014-01-31,0.0393764
2014-02-01,0.03967629
2014-02-02,0.03904234
2014-02-03,0.0222
2014-02-04,0.04299235
2014-02-05,0.0432
2014-02-06,0.04439295
2014-02-07,0.05
2014-02-08,0.042493420000000004
2014-02-09,0.0344
2014-02-10,0.02464496
2014-02-11,0.041800000000000004
2014-02-12,0.038491399999999995
2014-02-13,0.05
2014-02-14,0.04926913
2014-02-15,0.03815118
2014-02-16,0.03299622
2014-02-17,0.02169676
2014-02-18,0.04325412
2014-02-19,0.0499
2014-02-20,0.051587970000000004
2014-02-21,0.05435544
2014-02-22,0.043504640000000004
2014-02-23,0.047900000000000005
2014-02-24,0.03423762
2014-02-25,0.06439397
2014-02-26,0.053744099999999996
2014-02-27,0.03648094
2014-02-28,0.04645172
2014-03-01,0.04454681
2014-03-02,0.038283160000000004
2014-03-03,0.03280592
2014-03-04,0.05
2014-03-05,0.04865315
2014-03-06,0.03698252
2014-03-07,0.040936310000000004
2014-03-08,0.0468
2014-03-09,0.03718672
2014-03-10,0.026000000000000002
2014-03-11,0.03974126
2014-03-12,0.0442587
2014-03-13,0.03191868
2014-03-14,0.026195
2014-03-15,0.02573232
2014-03-16,0.01610701
2014-03-17,0.01359961
2014-03-18,0.02136898
2014-03-19,0.02
2014-03-20,0.030983
2014-03-21,0.03633144
2014-03-22,0.025312499999999998
2014-03-23,0.0225694
2014-03-24,0.02
2014-03-25,0.04504088
2014-03-26,0.0422855
2014-03-27,0.049
2014-03-28,0.0305661
2014-03-29,0.02767502
2014-03-30,0.0154
2014-03-31,0.050284999999999996
2014-04-01,0.04986728
2014-04-02,0.04964875
2014-04-03,0.03
2014-04-04,0.05033000000000001
2014-04-05,0.0368
2014-04-06,0.0135155
2014-04-07,0.046
2014-04-08,0.050710000000000005
2014-04-09,0.047740000000000005
2014-04-10,0.05
2014-04-11,0.0521977
2014-04-12,0.04
2014-04-13,0.01295745
2014-04-14,0.0526
2014-04-15,0.047
2014-04-16,0.044688
2014-04-17,0.042
2014-04-18,0.043000000000000003
2014-04-19,0.03278607
2014-04-20,0.01206889
2014-04-21,0.028900000000000002
2014-04-22,0.0320128
2014-04-23,0.02696569
2014-04-24,0.0334
2014-04-25,0.029750000000000002
2014-04-26,0.031
2014-04-27,0.012150000000000001
2014-04-28,0.03495714
2014-04-29,0.0364
2014-04-30,0.04240108
2014-05-01,0.03227609
2014-05-02,0.033
2014-05-03,0.027
2014-05-04,0.01086669
2014-05-05,0.035
2014-05-06,0.0346
2014-05-07,0.03973237
2014-05-08,0.0340136
2014-05-09,0.031100000000000003
2014-05-10,0.025821260000000002
2014-05-11,0.01069355
2014-05-12,0.03528258
2014-05-13,0.0339
2014-05-14,0.036000000000000004
2014-05-15,0.0298
2014-05-16,0.031136399999999998
2014-05-17,0.032
2014-05-18,0.01103924
2014-05-19,0.03719115
2014-05-20,0.045
2014-05-21,0.044383030000000004
2014-05-22,0.040816
2014-05-23,0.045
2014-05-24,0.03779379
2014-05-25,0.01240622
2014-05-26,0.03922167
2014-05-27,0.0432
2014-05-28,0.04725000000000001
2014-05-29,0.039400000000000004
2014-05-30,0.04154
2014-05-31,0.02777172
2014-06-01,0.012223330000000001
2014-06-02,0.042343650000000004
2014-06-03,0.04063256
2014-06-04,0.03888991
2014-06-05,0.0385
2014-06-06,0.028747699999999998
2014-06-07,0.03
2014-06-08,0.010064130000000001
2014-06-09,0.03320144
2014-06-10,0.0296
2014-06-11,0.036650550000000004
2014-06-12,0.037547330000000004
2014-06-13,0.031200000000000002
2014-06-14,0.0253
2014-06-15,0.01
2014-06-16,0.02861119
2014-06-17,0.02784814
2014-06-18,0.03489665
2014-06-19,0.03258834
2014-06-20,0.03126332
2014-06-21,0.0255192
2014-06-22,0.01
2014-06-23,0.031451480000000004
2014-06-24,0.03572
2014-06-25,0.035
2014-06-26,0.03177611
2014-06-27,0.033
2014-06-28,0.025935490000000002
2014-06-29,0.00886421
2014-06-30,0.03003
2014-07-01,0.035278250000000004
2014-07-02,0.0328
2014-07-03,0.0229
2014-07-04,0.0189
2014-07-05,0.0112
2014-07-06,0.00423469
2014-07-07,0.01737811
2014-07-08,0.01668983
2014-07-09,0.023993999999999998
2014-07-10,0.0348997
2014-07-11,0.03665634
2014-07-12,0.01495281
2014-07-13,0.00969906
2014-07-14,0.03
2014-07-15,0.029400000000000003
2014-07-16,0.02814531
2014-07-17,0.028300000000000002
2014-07-18,0.029900000000000003
2014-07-19,0.01540754
2014-07-20,0.008
2014-07-21,0.026150000000000003
2014-07-22,0.03314715
2014-07-23,0.0364666
2014-07-24,0.028900000000000002
2014-07-25,0.03
2014-07-26,0.02087986
2014-07-27,0.008
2014-07-28,0.0329
2014-07-29,0.0344
2014-07-30,0.04
2014-07-31,0.03076119
2014-08-01,0.03
2014-08-02,0.02499651
2014-08-03,0.006784999999999999
2014-08-04,0.0207
2014-08-05,0.03227829
2014-08-06,0.0245
2014-08-07,0.025370000000000004
2014-08-08,0.026250000000000002
2014-08-09,0.02236817
2014-08-10,0.0099
2014-08-11,0.0256
2014-08-12,0.028
2014-08-13,0.034169899999999996
2014-08-14,0.0274
2014-08-15,0.02477247
2014-08-16,0.02329442
2014-08-17,0.00894226
2014-08-18,0.0375
2014-08-19,0.04584075
2014-08-20,0.04135034
2014-08-21,0.02985676
2014-08-22,0.03531495
2014-08-23,0.03
2014-08-24,0.00682902
2014-08-25,0.03386454
2014-08-26,0.04360629
2014-08-27,0.04
2014-08-28,0.021500000000000002
2014-08-29,0.0354
2014-08-30,0.018600000000000002
2014-08-31,0.01
2014-09-01,0.01881422
2014-09-02,0.035
2014-09-03,0.04179
2014-09-04,0.045
2014-09-05,0.03075702
2014-09-06,0.02752179
2014-09-07,0.00111891
2014-09-08,0.036000000000000004
2014-09-09,0.039
2014-09-10,0.04028165
2014-09-11,0.03556485
2014-09-12,0.04663746
2014-09-13,0.0318
2014-09-14,0.00217488
2014-09-15,0.03977
2014-09-16,0.0336181
2014-09-17,0.046
2014-09-18,0.05
2014-09-19,0.058100000000000006
2014-09-20,0.03259055
2014-09-21,0.00157488
2014-09-22,0.037200000000000004
2014-09-23,0.03724
2014-09-24,0.02516544
2014-09-25,0.020300000000000002
2014-09-26,0.0317
2014-09-27,0.013235140000000001
2014-09-28,0.00112486
2014-09-29,0.05246008
2014-09-30,0.03500274
2014-10-01,0.025
2014-10-02,0.05172669
2014-10-03,0.01078143
2014-10-04,0.01170986
2014-10-05,0.0014
2014-10-06,0.04737567
2014-10-07,0.05
2014-10-08,0.0604
2014-10-09,0.059337999999999995
2014-10-10,0.042
2014-10-11,0.03446137
2014-10-12,0.00116454
2014-10-13,0.0316
2014-10-14,0.057800000000000004
2014-10-15,0.05
2014-10-16,0.055331
2014-10-17,0.055348760000000004
2014-10-18,0.02613644
2014-10-19,0.0015699800000000001
2014-10-20,0.04950661
2014-10-21,0.05696545
2014-10-22,0.049100160000000004
2014-10-23,0.05710544
2014-10-24,0.04560016
2014-10-25,0.01026088
2014-10-26,0.01001129
2014-10-27,0.03297863
2014-10-28,0.045
2014-10-29,0.05
2014-10-30,0.04700283
2014-10-31,0.04325251
2014-11-01,0.037
2014-11-02,0.00142
2014-11-03,0.04215297
2014-11-04,0.0499
2014-11-05,0.0574031
2014-11-06,0.042
2014-11-07,0.04253109
2014-11-08,0.032
2014-11-09,0.0012892700000000001
2014-11-10,0.04227269
2014-11-11,0.0453
2014-11-12,0.05267911
2014-11-13,0.051000000000000004
2014-11-14,0.03
2014-11-15,0.0324724
2014-11-16,0.00175337
2014-11-17,0.0419
2014-11-18,0.04326547
2014-11-19,0.049655330000000004
2014-11-20,0.04986
2014-11-21,0.04244241
2014-11-22,0.02840813
2014-11-23,0.00142453
2014-11-24,0.0318
2014-11-25,0.05669409
2014-11-26,0.056768110000000004
2014-11-27,0.04
2014-11-28,0.042752
2014-11-29,0.04
2014-11-30,0.002
2014-12-01,0.03948927
2014-12-02,0.06
2014-12-03,0.05116891
2014-12-04,0.05
2014-12-05,0.02063139
2014-12-06,0.036121020000000004
2014-12-07,0.00123101
2014-12-08,0.04406029
2014-12-09,0.055900000000000005
2014-12-10,0.05360118
2014-12-11,0.05
2014-12-12,0.03
2014-12-13,0.05
2014-12-14,0.00250503
2014-12-15,0.05
2014-12-16,0.06874000000000001
2014-12-17,0.072916
2014-12-18,0.06333667
2014-12-19,0.044
2014-12-20,0.01673412
2014-12-21,0.010050000000000002
2014-12-22,0.05
2014-12-23,0.05369219
2014-12-24,0.04764694
2014-12-25,0.02718499
2014-12-26,0.02763225
2014-12-27,0.01696654
2014-12-28,0.00124291
2014-12-29,0.04383174
2014-12-30,0.0298
2014-12-31,0.03614245
2015-01-01,0.0238
2015-01-02,0.01331058
2015-01-03,0.0097
2015-01-04,0.0119905
2015-01-05,0.02468
2015-01-06,0.04495159
2015-01-07,0.050350000000000006
2015-01-08,0.0349
2015-01-09,0.02
2015-01-10,0.00660814
2015-01-11,0.01
2015-01-12,0.036586
2015-01-13,0.05578681
2015-01-14,0.061230770000000004
2015-01-15,0.055
2015-01-16,0.04213997
2015-01-17,0.00713163
2015-01-18,0.01083157
2015-01-19,0.024
2015-01-20,0.044955499999999995
2015-01-21,0.049800000000000004
2015-01-22,0.05022663
2015-01-23,0.04
2015-01-24,0.02164408
2015-01-25,0.00110822
2015-01-26,0.039
2015-01-27,0.04
2015-01-28,0.03628
2015-01-29,0.032
2015-01-30,0.0481912
2015-01-31,0.0042062
2015-02-01,0.01
2015-02-02,0.03851811
2015-02-03,0.04519927
2015-02-04,0.04805321
2015-02-05,0.0578266
2015-02-06,0.02131553
2015-02-07,0.03502746
2015-02-08,0.00081152
2015-02-09,0.025
2015-02-10,0.03157562
2015-02-11,0.02447242
2015-02-12,0.01000372
2015-02-13,0.0006900000000000001
2015-02-14,0.00612095
2015-02-15,0.00053203
2015-02-16,0.01084888
2015-02-17,0.003
2015-02-18,0.02284367
2015-02-19,0.025
2015-02-20,0.02044073
2015-02-21,0.00635783
2015-02-22,0.004580000000000001
2015-02-23,0.014610940000000001
2015-02-24,0.039333
2015-02-25,0.03097718
2015-02-26,0.03381234
2015-02-27,0.03189143
2015-02-28,0.00347993
2015-03-01,0.0059
2015-03-02,0.029553450000000002
2015-03-03,0.04343738
2015-03-04,0.03411125
2015-03-05,0.037707040000000004
2015-03-06,0.03642191
2015-03-07,0.00957935
2015-03-08,0.0055165100000000005
2015-03-09,0.01999
2015-03-10,0.045
2015-03-11,0.037
2015-03-12,0.04079999
2015-03-13,0.02484014
2015-03-14,0.01
2015-03-15,0.00440444
2015-03-16,0.015
2015-03-17,0.028627399999999997
2015-03-18,0.026567
2015-03-19,0.02
2015-03-20,0.018602360000000002
2015-03-21,0.009785
2015-03-22,0.00446217
2015-03-23,0.01579683
2015-03-24,0.039212
2015-03-25,0.037208
2015-03-26,0.02267914
2015-03-27,0.03
2015-03-28,0.01001401
2015-03-29,0.00288
2015-03-30,0.02548316
2015-03-31,0.026150399999999997
2015-04-01,0.04591346
2015-04-02,0.02560622
2015-04-03,0.023200000000000002
2015-04-04,0.005575999999999999
