t,v
2014-01-01,101942
2014-01-02,139673
2014-01-03,154563
2014-01-04,126915
2014-01-05,158361
2014-01-06,185877
2014-01-07,150998
2014-01-08,144667
2014-01-09,140668
2014-01-10,131574
2014-01-11,142772
2014-01-12,126268
2014-01-13,131320
2014-01-14,137344
2014-01-15,142269
2014-01-16,143769
2014-01-17,136139
2014-01-18,120471
2014-01-19,116456
2014-01-20,174145
2014-01-21,178293
2014-01-22,158345
2014-01-23,159781
2014-01-24,155011
2014-01-25,132616
2014-01-26,131601
2014-01-27,153224
2014-01-28,160591
2014-01-29,139680
2014-01-30,147000
2014-01-31,146384
2014-02-01,136316
2014-02-02,144436
2014-02-03,155195
2014-02-04,184337
2014-02-05,180056
2014-02-06,184750
2014-02-07,186878
2014-02-08,163108
2014-02-09,140213
2014-02-10,155835
2014-02-11,158840
2014-02-12,228119
2014-02-13,189409
2014-02-14,211716
2014-02-15,163798
2014-02-16,137176
2014-02-17,161121
2014-02-18,179441
2014-02-19,201294
2014-02-20,194475
2014-02-21,187100
2014-02-22,160422
2014-02-23,171817
2014-02-24,205057
2014-02-25,220885
2014-02-26,210122
2014-02-27,187669
2014-02-28,215820
2014-03-01,183478
2014-03-02,162773
2014-03-03,237511
2014-03-04,262453
2014-03-05,218087
2014-03-06,206685
2014-03-07,201159
2014-03-08,170552
2014-03-09,170857
2014-03-10,199035
2014-03-11,205219
2014-03-12,212978
2014-03-13,201694
2014-03-14,207441
2014-03-15,149011
2014-03-16,136993
2014-03-17,161591
2014-03-18,124719
2014-03-19,171970
2014-03-20,188422
2014-03-21,214517
2014-03-22,203834
2014-03-23,147950
2014-03-24,196063
2014-03-25,188877
2014-03-26,189389
2014-03-27,204190
2014-03-28,187041
2014-03-29,144573
2014-03-30,152200
2014-03-31,184842
2014-04-01,181513
2014-04-02,189225
2014-04-03,175438
2014-04-04,187938
2014-04-05,159121
2014-04-06,148464
2014-04-07,178430
2014-04-08,192375
2014-04-09,191172
2014-04-10,193491
2014-04-11,185039
2014-04-12,133817
2014-04-13,139632
2014-04-14,206567
2014-04-15,220610
2014-04-16,215874
2014-04-17,185558
2014-04-18,159789
2014-04-19,150650
2014-04-20,139236
2014-04-21,158846
2014-04-22,214630
2014-04-23,194678
2014-04-24,208943
2014-04-25,200779
2014-04-26,143949
2014-04-27,149847
2014-04-28,175237
2014-04-29,191730
2014-04-30,182825
2014-05-01,163563
2014-05-02,164902
2014-05-03,140037
2014-05-04,140278
2014-05-05,181780
2014-05-06,207076
2014-05-07,188767
2014-05-08,189231
2014-05-09,179464
2014-05-10,147579
2014-05-11,152736
2014-05-12,207554
2014-05-13,183067
2014-05-14,193510
2014-05-15,208188
2014-05-16,188198
2014-05-17,164318
2014-05-18,150492
2014-05-19,204728
2014-05-20,218441
2014-05-21,207210
2014-05-22,209340
2014-05-23,204740
2014-05-24,145691
2014-05-25,168022
2014-05-26,195787
2014-05-27,200229
2014-05-28,208842
2014-05-29,188151
2014-05-30,180888
2014-05-31,150167
2014-06-01,171743
2014-06-02,190207
2014-06-03,206405
2014-06-04,180539
2014-06-05,196391
2014-06-06,187479
2014-06-07,137794
2014-06-08,145679
2014-06-09,177877
2014-06-10,196537
2014-06-11,179651
2014-06-12,196139
2014-06-13,183140
2014-06-14,151476
2014-06-15,150769
2014-06-16,201412
2014-06-17,190376
2014-06-18,180424
2014-06-19,186764
2014-06-20,161272
2014-06-21,151891
2014-06-22,147563
2014-06-23,175915
2014-06-24,187128
2014-06-25,185618
2014-06-26,171343
2014-06-27,176465
2014-06-28,159731
2014-06-29,141133
2014-06-30,214385
2014-07-01,220345
2014-07-02,197933
2014-07-03,182187
2014-07-04,159930
2014-07-05,134555
2014-07-06,151434
2014-07-07,184523
2014-07-08,206873
2014-07-09,211929
2014-07-10,186158
2014-07-11,179844
2014-07-12,144632
2014-07-13,158150
2014-07-14,173466
2014-07-15,200280
2014-07-16,182447
2014-07-17,189716
2014-07-18,192747
2014-07-19,163949
2014-07-20,150928
2014-07-21,185530
2014-07-22,190834
2014-07-23,186179
2014-07-24,189594
2014-07-25,183823
2014-07-26,147895
2014-07-27,154852
2014-07-28,187481
2014-07-29,175765
2014-07-30,195860
2014-07-31,201961
2014-08-01,185346
2014-08-02,150581
2014-08-03,138867
2014-08-04,192975
2014-08-05,214806
2014-08-06,230643
2014-08-07,196361
2014-08-08,196979
2014-08-09,169835
2014-08-10,170137
2014-08-11,219912
2014-08-12,217520
2014-08-13,228952
2014-08-14,234382
2014-08-15,210097
2014-08-16,245456
2014-08-17,165128
2014-08-18,204186
2014-08-19,201353
2014-08-20,200933
2014-08-21,203017
2014-08-22,192042
2014-08-23,154379
2014-08-24,162084
2014-08-25,195519
2014-08-26,210165
2014-08-27,214951
2014-08-28,186925
2014-08-29,175115
2014-08-30,163093
2014-08-31,156724
2014-09-01,193522
2014-09-02,205341
2014-09-03,199799
2014-09-04,193406
2014-09-05,194525
2014-09-06,170587
2014-09-07,172221
2014-09-08,210110
2014-09-09,259632
2014-09-10,246338
2014-09-11,179431
2014-09-12,182754
2014-09-13,159001
2014-09-14,198300
2014-09-15,229331
2014-09-16,249545
2014-09-17,220396
2014-09-18,208518
2014-09-19,186790
2014-09-20,180452
2014-09-21,159534
2014-09-22,216665
2014-09-23,229914
2014-09-24,216230
2014-09-25,238840
2014-09-26,203735
2014-09-27,192122
2014-09-28,193807
2014-09-29,220705
2014-09-30,222469
2014-10-01,224054
2014-10-02,203313
2014-10-03,201469
2014-10-04,210554
2014-10-05,207390
2014-10-06,222473
2014-10-07,223631
2014-10-08,220171
2014-10-09,219631
2014-10-10,215549
