t,v
2014-01-01,0.04308366
2014-01-02,0.039232710000000004
2014-01-03,0.05469136
2014-01-04,0.05
2014-01-05,0.05
2014-01-06,0.047403390000000004
2014-01-07,0.0487
2014-01-08,0.05
2014-01-09,0.04861000000000001
2014-01-10,0.04115739
2014-01-11,0.04603017
2014-01-12,0.0297
2014-01-13,0.045
2014-01-14,0.05
2014-01-15,0.04898
2014-01-16,0.04478728
2014-01-17,0.041490000000000006
2014-01-18,0.03763682
2014-01-19,0.03925808
2014-01-20,0.035932
2014-01-21,0.039900000000000005
2014-01-22,0.03922569
2014-01-23,0.04433618
2014-01-24,0.04931718
2014-01-25,0.045
2014-01-26,0.042555420000000004
2014-01-27,0.04247315
2014-01-28,0.050317
2014-01-29,0.0444
2014-01-30,0.05
2014-01-31,0.05
2014-02-01,0.04681237
2014-02-02,0.039900000000000005
2014-02-03,0.045186250000000004
2014-02-04,0.05
2014-02-05,0.0499
2014-02-06,0.054400000000000004
2014-02-07,0.0600823
2014-02-08,0.05
2014-02-09,0.0452606
2014-02-10,0.04966496
2014-02-11,0.0465
2014-02-12,0.03593212
2014-02-13,0.04615739
2014-02-14,0.055
2014-02-15,0.0495
2014-02-16,0.04
2014-02-17,0.03139581
2014-02-18,0.048438999999999996
2014-02-19,0.05992432
2014-02-20,0.06903183
2014-02-21,0.0714
2014-02-22,0.05982986
2014-02-23,0.06410305
2014-02-24,0.07
2014-02-25,0.0811
2014-02-26,0.06349206
2014-02-27,0.05410822
2014-02-28,0.03159622
2014-03-01,0.05901345
2014-03-02,0.05
2014-03-03,0.05781737
2014-03-04,0.06310002
2014-03-05,0.05553
2014-03-06,0.052028410000000004
2014-03-07,0.05
2014-03-08,0.05678971
2014-03-09,0.05190649
2014-03-10,0.05
2014-03-11,0.05
2014-03-12,0.061371720000000005
2014-03-13,0.05003471
2014-03-14,0.0233238
2014-03-15,0.02688988
2014-03-16,0.0229
2014-03-17,0.025
2014-03-18,0.0247
2014-03-19,0.03155
2014-03-20,0.039900000000000005
2014-03-21,0.033347999999999996
2014-03-22,0.0222
2014-03-23,0.03
2014-03-24,0.04033318
2014-03-25,0.054
2014-03-26,0.05
2014-03-27,0.052657699999999995
2014-03-28,0.04550625
2014-03-29,0.047260460000000004
