t,v
2014-01-01,12205025.0
2014-01-02,12208375.0
2014-01-03,12212400.0
2014-01-04,12215925.0
2014-01-05,12220750.0
2014-01-06,12225375.0
2014-01-07,12229825.0
2014-01-08,12234650.0
2014-01-09,12239825.0
2014-01-10,12244500.0
2014-01-11,12249750.0
2014-01-12,12254900.0
2014-01-13,12259125.0
2014-01-14,12263200.0
2014-01-15,12267800.0
2014-01-16,12272425.0
2014-01-17,12276225.0
2014-01-18,12280575.0
2014-01-19,12284800.0
2014-01-20,12289675.0
2014-01-21,12293800.0
2014-01-22,12298625.0
2014-01-23,12303050.0
2014-01-24,12307775.0
2014-01-25,12311900.0
2014-01-26,12315675.0
2014-01-27,12320050.0
2014-01-28,12323900.0
2014-01-29,12327700.0
2014-01-30,12332100.0
2014-01-31,12336700.0
2014-02-01,12341425.0
2014-02-02,12346075.0
2014-02-03,12350600.0
2014-02-04,12354900.0
2014-02-05,12359100.0
2014-02-06,12363650.0
2014-02-07,12367525.0
2014-02-08,12372050.0
2014-02-09,12375525.0
2014-02-10,12379425.0
2014-02-11,12383500.0
2014-02-12,12387975.0
2014-02-13,12392425.0
2014-02-14,12397200.0
2014-02-15,12401875.0
2014-02-16,12406750.0
2014-02-17,12410625.0
2014-02-18,12414700.0
2014-02-19,12419700.0
2014-02-20,12424125.0
2014-02-21,12427925.0
2014-02-22,12432450.0
2014-02-23,12436625.0
2014-02-24,12441375.0
2014-02-25,12445425.0
2014-02-26,12450050.0
2014-02-27,12454725.0
2014-02-28,12459250.0
2014-03-01,12462850.0
2014-03-02,12466350.0
2014-03-03,12470050.0
2014-03-04,12473775.0
2014-03-05,12477650.0
2014-03-06,12482000.0
2014-03-07,12486150.0
2014-03-08,12490350.0
2014-03-09,12494825.0
2014-03-10,12498550.0
2014-03-11,12502750.0
2014-03-12,12507300.0
2014-03-13,12511350.0
2014-03-14,12514675.0
2014-03-15,12518800.0
2014-03-16,12523075.0
2014-03-17,12527100.0
2014-03-18,12530750.0
2014-03-19,12534750.0
2014-03-20,12539100.0
2014-03-21,12543825.0
2014-03-22,12548075.0
2014-03-23,12553425.0
2014-03-24,12558125.0
2014-03-25,12562050.0
2014-03-26,12566025.0
2014-03-27,12570350.0
2014-03-28,12574700.0
2014-03-29,12579100.0
2014-03-30,12582600.0
2014-03-31,12587075.0
2014-04-01,12591350.0
2014-04-02,12596300.0
2014-04-03,12601375.0
2014-04-04,12606225.0
2014-04-05,12610525.0
2014-04-06,12614300.0
2014-04-07,12618075.0
2014-04-08,12621425.0
2014-04-09,12625450.0
2014-04-10,12629325.0
2014-04-11,12633525.0
2014-04-12,12637575.0
2014-04-13,12642250.0
2014-04-14,12647075.0
2014-04-15,12651600.0
2014-04-16,12655600.0
2014-04-17,12659825.0
2014-04-18,12663825.0
2014-04-19,12667800.0
2014-04-20,12672250.0
2014-04-21,12676525.0
2014-04-22,12680375.0
2014-04-23,12684500.0
2014-04-24,12688275.0
2014-04-25,12692825.0
2014-04-26,12696875.0
2014-04-27,12701325.0
2014-04-28,12705100.0
2014-04-29,12709375.0
2014-04-30,12712825.0
2014-05-01,12717225.0
2014-05-02,12721250.0
2014-05-03,12724800.0
2014-05-04,12728575.0
2014-05-05,12731700.0
2014-05-06,12736550.0
2014-05-07,12740525.0
2014-05-08,12744700.0
2014-05-09,12748950.0
2014-05-10,12753425.0
2014-05-11,12757225.0
2014-05-12,12761325.0
2014-05-13,12765375.0
2014-05-14,12769100.0
2014-05-15,12773400.0
2014-05-16,12777925.0
2014-05-17,12782250.0
2014-05-18,12786550.0
2014-05-19,12790750.0
2014-05-20,12795175.0
2014-05-21,12799525.0
2014-05-22,12803850.0
2014-05-23,12807975.0
2014-05-24,12811825.0
2014-05-25,12815850.0
2014-05-26,12819800.0
2014-05-27,12823200.0
2014-05-28,12827425.0
2014-05-29,12830950.0
2014-05-30,12835125.0
2014-05-31,12838800.0
2014-06-01,12843175.0
2014-06-02,12848000.0
2014-06-03,12852425.0
2014-06-04,12856975.0
2014-06-05,12860775.0
2014-06-06,12864250.0
2014-06-07,12868125.0
2014-06-08,12871525.0
2014-06-09,12875425.0
2014-06-10,12879575.0
2014-06-11,12883250.0
2014-06-12,12887550.0
2014-06-13,12891625.0
2014-06-14,12896075.0
2014-06-15,12900825.0
2014-06-16,12905525.0
2014-06-17,12910125.0
2014-06-18,12914075.0
2014-06-19,12918250.0
2014-06-20,12922900.0
2014-06-21,12927550.0
2014-06-22,12932050.0
2014-06-23,12936450.0
2014-06-24,12941150.0
2014-06-25,12945825.0
2014-06-26,12950100.0
2014-06-27,12955000.0
2014-06-28,12959575.0
2014-06-29,12963475.0
2014-06-30,12966800.0
2014-07-01,12970125.0
2014-07-02,12973550.0
2014-07-03,12977025.0
2014-07-04,12981175.0
2014-07-05,12984975.0
2014-07-06,12988525.0
2014-07-07,12992275.0
2014-07-08,12996025.0
2014-07-09,13000175.0
2014-07-10,13003900.0
2014-07-11,13007800.0
2014-07-12,13011725.0
2014-07-13,13015725.0
2014-07-14,13019100.0
2014-07-15,13023075.0
2014-07-16,13026675.0
2014-07-17,13030975.0
2014-07-18,13035275.0
2014-07-19,13039700.0
2014-07-20,13043575.0
2014-07-21,13047450.0
2014-07-22,13051000.0
2014-07-23,13054650.0
2014-07-24,13058225.0
2014-07-25,13062300.0
2014-07-26,13065650.0
2014-07-27,13069475.0
2014-07-28,13073225.0
2014-07-29,13076950.0
2014-07-30,13081250.0
2014-07-31,13085100.0
2014-08-01,13089025.0
2014-08-02,13093100.0
2014-08-03,13096950.0
2014-08-04,13100150.0
2014-08-05,13103525.0
2014-08-06,13107625.0
2014-08-07,13111625.0
2014-08-08,13115675.0
2014-08-09,13120125.0
2014-08-10,13124550.0
2014-08-11,13129100.0
2014-08-12,13133450.0
2014-08-13,13137075.0
2014-08-14,13141575.0
2014-08-15,13145700.0
2014-08-16,13149650.0
2014-08-17,13153900.0
2014-08-18,13158850.0
2014-08-19,13163500.0
2014-08-20,13167725.0
2014-08-21,13171850.0
2014-08-22,13175775.0
2014-08-23,13179825.0
2014-08-24,13183475.0
2014-08-25,13186900.0
2014-08-26,13191225.0
2014-08-27,13195450.0
2014-08-28,13199775.0
2014-08-29,13204025.0
2014-08-30,13208575.0
2014-08-31,13213275.0
2014-09-01,13216675.0
2014-09-02,13220325.0
2014-09-03,13224550.0
2014-09-04,13228525.0
2014-09-05,13232150.0
2014-09-06,13236625.0
2014-09-07,13240500.0
2014-09-08,13244100.0
2014-09-09,13247750.0
2014-09-10,13251675.0
2014-09-11,13255925.0
2014-09-12,13259775.0
2014-09-13,13264300.0
2014-09-14,13268250.0
2014-09-15,13272200.0
2014-09-16,13276475.0
2014-09-17,13281125.0
2014-09-18,13285600.0
2014-09-19,13289875.0
2014-09-20,13294275.0
2014-09-21,13298375.0
2014-09-22,13302575.0
2014-09-23,13306325.0
2014-09-24,13310225.0
2014-09-25,13314525.0
2014-09-26,13317875.0
2014-09-27,13321250.0
2014-09-28,13324475.0
2014-09-29,13327900.0
2014-09-30,13331725.0
2014-10-01,13335600.0
2014-10-02,13339075.0
2014-10-03,13342700.0
2014-10-04,13346550.0
2014-10-05,13350775.0
2014-10-06,13354800.0
2014-10-07,13358150.0
2014-10-08,13361750.0
2014-10-09,13365450.0
2014-10-10,13369325.0
2014-10-11,13372900.0
2014-10-12,13376625.0
2014-10-13,13380500.0
2014-10-14,13383800.0
2014-10-15,13387575.0
2014-10-16,13391275.0
2014-10-17,13394825.0
2014-10-18,13398925.0
2014-10-19,13402250.0
2014-10-20,13405650.0
2014-10-21,13409500.0
2014-10-22,13413475.0
2014-10-23,13417250.0
2014-10-24,13421225.0
2014-10-25,13425050.0
2014-10-26,13428225.0
2014-10-27,13432200.0
2014-10-28,13435650.0
2014-10-29,13439525.0
2014-10-30,13443775.0
2014-10-31,13448475.0
2014-11-01,13452450.0
2014-11-02,13456325.0
2014-11-03,13460550.0
2014-11-04,13464600.0
2014-11-05,13468050.0
2014-11-06,13471925.0
2014-11-07,13475650.0
2014-11-08,13479475.0
2014-11-09,13483200.0
2014-11-10,13486900.0
2014-11-11,13490125.0
2014-11-12,13493800.0
2014-11-13,13497425.0
2014-11-14,13501250.0
2014-11-15,13504775.0
2014-11-16,13508525.0
2014-11-17,13512125.0
2014-11-18,13515975.0
2014-11-19,13519500.0
2014-11-20,13522950.0
2014-11-21,13526125.0
2014-11-22,13529975.0
2014-11-23,13533525.0
2014-11-24,13537200.0
2014-11-25,13540500.0
2014-11-26,13543925.0
2014-11-27,13547450.0
2014-11-28,13551150.0
2014-11-29,13555075.0
2014-11-30,13559075.0
2014-12-01,13562325.0
2014-12-02,13566075.0
2014-12-03,13568975.0
2014-12-04,13572625.0
2014-12-05,13576525.0
2014-12-06,13579875.0
2014-12-07,13583075.0
2014-12-08,13587175.0
2014-12-09,13590725.0
2014-12-10,13594300.0
2014-12-11,13598000.0
2014-12-12,13601525.0
2014-12-13,13605175.0
2014-12-14,13608700.0
2014-12-15,13612225.0
2014-12-16,13615800.0
2014-12-17,13619000.0
2014-12-18,13622225.0
2014-12-19,13625650.0
2014-12-20,13628975.0
2014-12-21,13632300.0
2014-12-22,13636400.0
2014-12-23,13640150.0
2014-12-24,13643975.0
2014-12-25,13647925.0
2014-12-26,13651700.0
2014-12-27,13655525.0
2014-12-28,13659750.0
2014-12-29,13663850.0
2014-12-30,13667725.0
2014-12-31,13671525.0
2015-01-01,13675650.0
2015-01-02,13679775.0
2015-01-03,13683825.0
2015-01-04,13688125.0
2015-01-05,13692025.0
2015-01-06,13695975.0
2015-01-07,13699475.0
2015-01-08,13703150.0
2015-01-09,13706650.0
2015-01-10,13710325.0
2015-01-11,13714200.0
2015-01-12,13717750.0
2015-01-13,13720900.0
2015-01-14,13724550.0
2015-01-15,13728325.0
2015-01-16,13731800.0
2015-01-17,13735250.0
2015-01-18,13739075.0
2015-01-19,13742675.0
2015-01-20,13745625.0
2015-01-21,13749350.0
2015-01-22,13752725.0
2015-01-23,13755825.0
2015-01-24,13758975.0
2015-01-25,13762100.0
2015-01-26,13765275.0
2015-01-27,13768975.0
2015-01-28,13773100.0
2015-01-29,13777200.0
2015-01-30,13780650.0
2015-01-31,13784800.0
2015-02-01,13788675.0
2015-02-02,13792650.0
2015-02-03,13795825.0
2015-02-04,13799800.0
2015-02-05,13803775.0
2015-02-06,13808200.0
2015-02-07,13812175.0
2015-02-08,13815475.0
2015-02-09,13819500.0
2015-02-10,13823100.0
2015-02-11,13827050.0
2015-02-12,13830025.0
2015-02-13,13833650.0
2015-02-14,13837675.0
2015-02-15,13841175.0
2015-02-16,13845100.0
2015-02-17,13848825.0
2015-02-18,13853000.0
2015-02-19,13857150.0
2015-02-20,13861100.0
2015-02-21,13864650.0
2015-02-22,13868425.0
2015-02-23,13871975.0
2015-02-24,13875200.0
2015-02-25,13879175.0
2015-02-26,13882925.0
