t,v
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,1085
2015-08-08,800
2015-08-09,731
2015-08-10,997
2015-08-11,2339
2015-08-12,904
2015-08-13,1273
2015-08-14,1592
2015-08-15,1309
2015-08-16,1202
2015-08-17,1249
2015-08-18,1294
2015-08-19,1349
2015-08-20,1166
2015-08-21,1423
2015-08-22,1413
2015-08-23,1569
2015-08-24,1436
2015-08-25,1576
2015-08-26,1527
2015-08-27,1590
2015-08-28,1530
2015-08-29,1375
2015-08-30,1624
2015-08-31,1514
2015-09-01,1551
2015-09-02,1514
2015-09-03,1447
2015-09-04,1446
2015-09-05,1476
2015-09-06,1585
2015-09-07,1631
2015-09-08,1540
2015-09-09,1543
2015-09-10,1539
2015-09-11,1701
2015-09-12,1543
2015-09-13,1598
2015-09-14,1622
2015-09-15,1486
2015-09-16,1509
2015-09-17,1516
2015-09-18,1459
2015-09-19,1367
2015-09-20,1466
2015-09-21,1520
2015-09-22,1533
2015-09-23,1732
2015-09-24,1568
2015-09-25,1536
2015-09-26,1420
2015-09-27,1414
2015-09-28,1545
2015-09-29,1532
2015-09-30,1490
2015-10-01,1472
2015-10-02,1375
2015-10-03,1389
2015-10-04,1393
2015-10-05,1395
2015-10-06,1415
2015-10-07,1373
2015-10-08,1330
2015-10-09,1366
2015-10-10,1266
2015-10-11,1300
2015-10-12,1327
2015-10-13,1475
2015-10-14,1565
2015-10-15,1496
2015-10-16,1366
2015-10-17,1353
2015-10-18,1340
2015-10-19,1450
2015-10-20,1311
2015-10-21,1520
2015-10-22,1386
2015-10-23,1502
2015-10-24,1635
2015-10-25,1494
2015-10-26,1648
2015-10-27,1694
2015-10-28,1699
2015-10-29,1971
2015-10-30,2208
2015-10-31,1976
2015-11-01,2128
2015-11-02,2031
2015-11-03,2063
2015-11-04,2038
2015-11-05,1911
2015-11-06,1802
2015-11-07,2058
2015-11-08,2262
2015-11-09,2060
2015-11-10,1822
2015-11-11,2033
2015-11-12,1805
2015-11-13,1804
2015-11-14,1794
2015-11-15,1758
2015-11-16,1864
2015-11-17,1901
2015-11-18,1859
2015-11-19,1862
2015-11-20,1763
2015-11-21,1710
2015-11-22,2015
2015-11-23,1738
2015-11-24,1820
2015-11-25,1709
2015-11-26,1804
2015-11-27,1660
2015-11-28,1651
2015-11-29,1666
2015-11-30,1782
2015-12-01,1762
2015-12-02,1673
2015-12-03,1755
2015-12-04,1741
2015-12-05,1713
2015-12-06,2001
2015-12-07,1952
2015-12-08,1753
2015-12-09,1747
2015-12-10,1778
2015-12-11,1784
2015-12-12,2152
2015-12-13,1960
2015-12-14,2177
2015-12-15,2164
2015-12-16,2150
2015-12-17,2402
2015-12-18,2184
2015-12-19,2187
2015-12-20,2207
2015-12-21,2312
2015-12-22,2311
2015-12-23,2215
2015-12-24,2234
2015-12-25,2158
2015-12-26,2282
2015-12-27,2214
2015-12-28,2422
2015-12-29,2392
2015-12-30,2360
2015-12-31,2578
2016-01-01,2350
2016-01-02,2410
2016-01-03,2454
2016-01-04,2537
2016-01-05,2533
2016-01-06,2645
2016-01-07,2683
2016-01-08,2610
2016-01-09,2624
2016-01-10,2797
2016-01-11,2950
2016-01-12,2985
2016-01-13,2815
2016-01-14,2751
2016-01-15,3123
2016-01-16,2662
2016-01-17,2578
2016-01-18,3050
2016-01-19,2844
2016-01-20,3349
2016-01-21,2900
2016-01-22,2976
2016-01-23,3408
2016-01-24,3820
2016-01-25,4035
2016-01-26,4326
2016-01-27,4051
2016-01-28,4459
2016-01-29,4313
2016-01-30,4335
2016-01-31,4390
