t,v
2015-07-30,6911
2015-07-31,6863
2015-08-01,5293
2015-08-02,5358
2015-08-03,5280
2015-08-04,5368
2015-08-05,5235
2015-08-06,5116
2015-08-07,5189
2015-08-08,5256
2015-08-09,5123
2015-08-10,5255
2015-08-11,5280
2015-08-12,5124
2015-08-13,5286
2015-08-14,5809
2015-08-15,5382
2015-08-16,5132
2015-08-17,5347
2015-08-18,4948
2015-08-19,5192
2015-08-20,4024
2015-08-21,5088
2015-08-22,5271
2015-08-23,5013
2015-08-24,5184
2015-08-25,5097
2015-08-26,5003
2015-08-27,4708
2015-08-28,4653
2015-08-29,4329
2015-08-30,4155
2015-08-31,4122
2015-09-01,3938
2015-09-02,3577
2015-09-03,3383
2015-09-04,4443
2015-09-05,4921
2015-09-06,4978
2015-09-07,4834
2015-09-08,4923
2015-09-09,5035
2015-09-10,5003
2015-09-11,5141
2015-09-12,5026
2015-09-13,4971
2015-09-14,4851
2015-09-15,4842
2015-09-16,4956
2015-09-17,4808
2015-09-18,4889
2015-09-19,5078
2015-09-20,5305
2015-09-21,5075
2015-09-22,5051
2015-09-23,5165
2015-09-24,5021
2015-09-25,5126
2015-09-26,4930
2015-09-27,4773
2015-09-28,4738
2015-09-29,4640
2015-09-30,4757
2015-10-01,5210
2015-10-02,5143
2015-10-03,5077
2015-10-04,4886
2015-10-05,5009
2015-10-06,4806
2015-10-07,5004
2015-10-08,5152
2015-10-09,4905
2015-10-10,4896
2015-10-11,5073
2015-10-12,5148
2015-10-13,5108
2015-10-14,4934
2015-10-15,4926
2015-10-16,4883
2015-10-17,5056
2015-10-18,4945
2015-10-19,4975
2015-10-20,4990
2015-10-21,4990
2015-10-22,4835
2015-10-23,5263
2015-10-24,5171
2015-10-25,5096
2015-10-26,4908
2015-10-27,5220
2015-10-28,4967
2015-10-29,5158
2015-10-30,5232
2015-10-31,5129
2015-11-01,5158
2015-11-02,5024
2015-11-03,5085
2015-11-04,5125
2015-11-05,5103
2015-11-06,5142
2015-11-07,4922
2015-11-08,5021
2015-11-09,5024
2015-11-10,5053
2015-11-11,5028
2015-11-12,5079
2015-11-13,5119
2015-11-14,5127
2015-11-15,5195
2015-11-16,5039
2015-11-17,5163
2015-11-18,5075
2015-11-19,4977
2015-11-20,4721
2015-11-21,5035
2015-11-22,5049
2015-11-23,5089
2015-11-24,5001
2015-11-25,4940
2015-11-26,4940
2015-11-27,5174
2015-11-28,5008
2015-11-29,5050
2015-11-30,5080
2015-12-01,5078
2015-12-02,4824
2015-12-03,5205
2015-12-04,5008
2015-12-05,5006
2015-12-06,4913
2015-12-07,4971
2015-12-08,4911
2015-12-09,5208
2015-12-10,5144
2015-12-11,5062
2015-12-12,5076
2015-12-13,5280
2015-12-14,4999
2015-12-15,5070
2015-12-16,4982
2015-12-17,5060
2015-12-18,5020
2015-12-19,5038
2015-12-20,4947
2015-12-21,4976
2015-12-22,5129
2015-12-23,5112
2015-12-24,5018
2015-12-25,5080
2015-12-26,5004
2015-12-27,5018
2015-12-28,5081
2015-12-29,4981
2015-12-30,5028
2015-12-31,5040
2016-01-01,4885
2016-01-02,5095
2016-01-03,5134
2016-01-04,5096
2016-01-05,5126
2016-01-06,5090
2016-01-07,4981
2016-01-08,5176
2016-01-09,5099
2016-01-10,5093
2016-01-11,5107
2016-01-12,4930
2016-01-13,5002
2016-01-14,5090
2016-01-15,5084
2016-01-16,5046
2016-01-17,5036
2016-01-18,5072
2016-01-19,4972
2016-01-20,5038
2016-01-21,4963
2016-01-22,5007
2016-01-23,4928
2016-01-24,5168
2016-01-25,4881
2016-01-26,5152
2016-01-27,4983
2016-01-28,5059
2016-01-29,4981
2016-01-30,5017
2016-01-31,4872
2016-02-01,5015
2016-02-02,4955
2016-02-03,5199
2016-02-04,5062
2016-02-05,5046
2016-02-06,4987
2016-02-07,5087
2016-02-08,5071
2016-02-09,5055
2016-02-10,4961
2016-02-11,5019
2016-02-12,5033
2016-02-13,5093
2016-02-14,4990
2016-02-15,4975
2016-02-16,5025
2016-02-17,4857
2016-02-18,4999
2016-02-19,5033
2016-02-20,5051
2016-02-21,5055
2016-02-22,5103
2016-02-23,4969
2016-02-24,5029
2016-02-25,5128
2016-02-26,5055
2016-02-27,4992
2016-02-28,5029
2016-02-29,4820
