t,v
2015-07-30,6911
2015-07-31,13774
2015-08-01,19067
2015-08-02,24425
2015-08-03,29705
2015-08-04,35073
2015-08-05,40308
2015-08-06,45424
2015-08-07,50613
2015-08-08,55869
2015-08-09,60992
2015-08-10,66247
2015-08-11,71527
2015-08-12,76651
2015-08-13,81937
2015-08-14,87746
2015-08-15,93128
2015-08-16,98260
2015-08-17,103607
2015-08-18,108555
2015-08-19,113747
2015-08-20,117771
2015-08-21,122859
2015-08-22,128130
2015-08-23,133143
2015-08-24,138327
2015-08-25,143424
2015-08-26,148427
2015-08-27,153135
2015-08-28,157788
2015-08-29,162117
2015-08-30,166272
2015-08-31,170394
2015-09-01,174332
2015-09-02,177909
2015-09-03,181292
2015-09-04,185735
2015-09-05,190656
2015-09-06,195634
2015-09-07,200468
2015-09-08,205391
2015-09-09,210426
2015-09-10,215429
2015-09-11,220570
2015-09-12,225596
2015-09-13,230567
2015-09-14,235418
2015-09-15,240260
2015-09-16,245216
2015-09-17,250024
2015-09-18,254913
2015-09-19,259991
2015-09-20,265296
2015-09-21,270371
2015-09-22,275422
2015-09-23,280587
2015-09-24,285608
2015-09-25,290734
2015-09-26,295664
2015-09-27,300437
2015-09-28,305175
2015-09-29,309815
2015-09-30,314572
2015-10-01,319782
2015-10-02,324925
2015-10-03,330002
2015-10-04,334888
2015-10-05,339897
2015-10-06,344703
2015-10-07,349707
2015-10-08,354859
2015-10-09,359764
2015-10-10,364660
2015-10-11,369733
2015-10-12,374881
2015-10-13,379989
2015-10-14,384923
2015-10-15,389849
2015-10-16,394732
2015-10-17,399788
2015-10-18,404733
2015-10-19,409708
2015-10-20,414698
2015-10-21,419688
2015-10-22,424523
2015-10-23,429786
2015-10-24,434957
2015-10-25,440053
2015-10-26,444961
2015-10-27,450181
2015-10-28,455148
2015-10-29,460306
2015-10-30,465538
2015-10-31,470667
2015-11-01,475825
2015-11-02,480849
2015-11-03,485934
2015-11-04,491059
2015-11-05,496162
2015-11-06,501304
2015-11-07,506226
2015-11-08,511247
2015-11-09,516271
2015-11-10,521324
2015-11-11,526352
2015-11-12,531431
2015-11-13,536550
2015-11-14,541677
2015-11-15,546872
2015-11-16,551911
2015-11-17,557074
2015-11-18,562149
2015-11-19,567126
2015-11-20,571847
2015-11-21,576882
2015-11-22,581931
2015-11-23,587020
2015-11-24,592021
2015-11-25,596961
2015-11-26,601901
2015-11-27,607075
2015-11-28,612083
2015-11-29,617133
2015-11-30,622213
2015-12-01,627291
2015-12-02,632115
2015-12-03,637320
2015-12-04,642328
2015-12-05,647334
2015-12-06,652247
2015-12-07,657218
2015-12-08,662129
2015-12-09,667337
2015-12-10,672481
2015-12-11,677543
2015-12-12,682619
2015-12-13,687899
2015-12-14,692898
2015-12-15,697968
2015-12-16,702950
2015-12-17,708010
2015-12-18,713030
2015-12-19,718068
2015-12-20,723015
2015-12-21,727991
2015-12-22,733120
2015-12-23,738232
2015-12-24,743250
2015-12-25,748330
2015-12-26,753334
2015-12-27,758352
2015-12-28,763433
2015-12-29,768414
2015-12-30,773442
2015-12-31,778482
2016-01-01,783367
2016-01-02,788462
2016-01-03,793596
2016-01-04,798692
2016-01-05,803818
2016-01-06,808908
2016-01-07,813889
2016-01-08,819065
2016-01-09,824164
2016-01-10,829257
2016-01-11,834364
2016-01-12,839294
2016-01-13,844296
2016-01-14,849386
2016-01-15,854470
2016-01-16,859516
2016-01-17,864552
2016-01-18,869624
2016-01-19,874596
2016-01-20,879634
2016-01-21,884597
2016-01-22,889604
2016-01-23,894532
2016-01-24,899700
2016-01-25,904581
2016-01-26,909733
2016-01-27,914716
2016-01-28,919775
2016-01-29,924756
2016-01-30,929773
2016-01-31,934645
2016-02-01,939660
2016-02-02,944615
2016-02-03,949814
2016-02-04,954876
2016-02-05,959922
2016-02-06,964909
2016-02-07,969996
2016-02-08,975067
2016-02-09,980122
2016-02-10,985083
2016-02-11,990102
2016-02-12,995135
2016-02-13,1000228
2016-02-14,1005218
2016-02-15,1010193
2016-02-16,1015218
2016-02-17,1020075
2016-02-18,1025074
2016-02-19,1030107
2016-02-20,1035158
2016-02-21,1040213
2016-02-22,1045316
2016-02-23,1050285
2016-02-24,1055314
2016-02-25,1060442
2016-02-26,1065497
2016-02-27,1070489
2016-02-28,1075518
2016-02-29,1080338
2016-03-01,1085390
2016-03-02,1090476
2016-03-03,1095490
2016-03-04,1100484
2016-03-05,1105622
2016-03-06,1110529
2016-03-07,1115555
2016-03-08,1120572
2016-03-09,1125561
2016-03-10,1130757
2016-03-11,1135822
2016-03-12,1140845
2016-03-13,1146031
2016-03-14,1151139
2016-03-15,1157118
2016-03-16,1163143
2016-03-17,1169225
2016-03-18,1175187
2016-03-19,1181269
2016-03-20,1187296
2016-03-21,1193290
2016-03-22,1199361
2016-03-23,1205335
2016-03-24,1211436
2016-03-25,1217502
2016-03-26,1223597
2016-03-27,1229643
2016-03-28,1235642
2016-03-29,1241652
2016-03-30,1247699
2016-03-31,1253720
2016-04-01,1259801
2016-04-02,1265737
2016-04-03,1271772
2016-04-04,1277858
2016-04-05,1283891
2016-04-06,1289895
2016-04-07,1295848
2016-04-08,1301950
2016-04-09,1307883
2016-04-10,1313948
2016-04-11,1319885
2016-04-12,1325900
2016-04-13,1331915
2016-04-14,1337936
2016-04-15,1343995
2016-04-16,1350014
2016-04-17,1356029
2016-04-18,1362084
2016-04-19,1368053
2016-04-20,1374103
2016-04-21,1380093
2016-04-22,1386124
2016-04-23,1392175
2016-04-24,1398156
2016-04-25,1404260
2016-04-26,1410212
2016-04-27,1416274
2016-04-28,1422304
2016-04-29,1428334
2016-04-30,1434392
2016-05-01,1440334
2016-05-02,1446414
2016-05-03,1452468
2016-05-04,1458448
2016-05-05,1464485
2016-05-06,1470507
2016-05-07,1476495
2016-05-08,1482546
2016-05-09,1488590
2016-05-10,1494602
2016-05-11,1500516
2016-05-12,1506615
2016-05-13,1512679
2016-05-14,1518637
