t,v
2015-07-30,4449897
2015-07-31,3994458
2015-08-01,3044344
2015-08-02,3112348
2015-08-03,3099953
2015-08-04,3150854
2015-08-05,3030780
2015-08-06,2986060
2015-08-07,3282693
2015-08-08,3508878
2015-08-09,3167541
2015-08-10,3316883
2015-08-11,3653834
2015-08-12,3348157
2015-08-13,3519008
2015-08-14,3832496
2015-08-15,3435520
2015-08-16,3287835
2015-08-17,3393782
2015-08-18,3208720
2015-08-19,3392043
2015-08-20,2615975
2015-08-21,3396674
2015-08-22,3415807
2015-08-23,3411809
2015-08-24,3486486
2015-08-25,3464583
2015-08-26,3345268
2015-08-27,3332930
2015-08-28,3214665
2015-08-29,2952536
2015-08-30,2862531
2015-08-31,3011745
2015-09-01,2919171
2015-09-02,2740989
2015-09-03,2555486
2015-09-04,3387151
2015-09-05,3704996
2015-09-06,3651161
2015-09-07,3638068
2015-09-08,3738463
2015-09-09,3849882
2015-09-10,3651888
2015-09-11,3783308
2015-09-12,3826914
2015-09-13,3795663
2015-09-14,3740946
2015-09-15,3657282
2015-09-16,3660494
2015-09-17,3622311
2015-09-18,3836279
2015-09-19,3730754
2015-09-20,4063431
2015-09-21,3952585
2015-09-22,4076071
2015-09-23,4049670
2015-09-24,3924670
2015-09-25,3931914
2015-09-26,3770114
2015-09-27,3459118
2015-09-28,3578200
2015-09-29,3536519
2015-09-30,3529196
2015-10-01,3860006
2015-10-02,3975887
2015-10-03,3902443
2015-10-04,3790759
2015-10-05,3863990
2015-10-06,3753597
2015-10-07,4043948
2015-10-08,4063481
2015-10-09,3822655
2015-10-10,3808059
2015-10-11,3795610
2015-10-12,4053860
2015-10-13,4178104
2015-10-14,3903622
2015-10-15,4059761
2015-10-16,4037655
2015-10-17,3983584
2015-10-18,4015728
2015-10-19,3989491
2015-10-20,3842397
2015-10-21,3862938
2015-10-22,3781867
2015-10-23,4302628
2015-10-24,3984632
2015-10-25,3825113
2015-10-26,3757017
2015-10-27,4253235
2015-10-28,4013532
2015-10-29,4200572
2015-10-30,4085921
2015-10-31,4164422
2015-11-01,4041277
2015-11-02,3914620
2015-11-03,4292035
2015-11-04,3906926
2015-11-05,4150754
2015-11-06,4175396
2015-11-07,4945717
2015-11-08,5096742
2015-11-09,3948544
2015-11-10,4213239
2015-11-11,5249976
2015-11-12,4439332
2015-11-13,4134803
2015-11-14,4806663
2015-11-15,4142543
2015-11-16,3940618
2015-11-17,3935388
2015-11-18,3926943
2015-11-19,4389232
2015-11-20,3843748
2015-11-21,4188016
2015-11-22,4117498
2015-11-23,4390402
2015-11-24,4142949
2015-11-25,3986495
2015-11-26,3873523
2015-11-27,4086725
2015-11-28,3875629
2015-11-29,3920100
2015-11-30,4387578
2015-12-01,4302400
2015-12-02,3951899
2015-12-03,4050622
2015-12-04,4024546
2015-12-05,4181847
2015-12-06,4307630
