t,v
2015-07-30,338279223318
2015-07-31,823192697153
2015-08-01,956650629556
2015-08-02,1102546374148
2015-08-03,1154731637775
2015-08-04,1292410800806
2015-08-05,1363540293481
2015-08-06,1444940803341
2015-08-07,1531935261642
2015-08-08,1606016380751
2015-08-09,1741399466631
2015-08-10,1948102094734
2015-08-11,2171897473895
2015-08-12,2248237602936
2015-08-13,2419921828013
2015-08-14,3177173581368
2015-08-15,3636757923666
2015-08-16,3884083612249
2015-08-17,4207278821566
2015-08-18,4329807603837
2015-08-19,4447080996921
2015-08-20,4358975163151
2015-08-21,4543159200971
2015-08-22,5127285198053
2015-08-23,5052173588916
2015-08-24,5270732444669
2015-08-25,5416196196676
2015-08-26,5821461040988
2015-08-27,6061793170675
2015-08-28,6309007190651
2015-08-29,6728846144873
2015-08-30,6969565602067
2015-08-31,7466284315477
2015-09-01,7744921922844
2015-09-02,9388467648838
2015-09-03,7073560351653
2015-09-04,6229957047055
2015-09-05,6333624444484
2015-09-06,6317516078127
2015-09-07,6215989018136
2015-09-08,6101115187404
2015-09-09,6275668103821
2015-09-10,6355160382386
2015-09-11,6817242565107
2015-09-12,6954324825068
2015-09-13,6933257412384
2015-09-14,6589374921913
2015-09-15,6265614006381
2015-09-16,6225329753414
2015-09-17,5771072493774
2015-09-18,5554883577537
2015-09-19,5789606409462
2015-09-20,6533964944180
2015-09-21,6668567418347
2015-09-22,6759595756571
2015-09-23,7055478507749
2015-09-24,6952113414449
2015-09-25,7168415486574
2015-09-26,7255735433571
2015-09-27,7059454584749
2015-09-28,6405284077299
2015-09-29,5766572950633
2015-09-30,5448599135063
2015-10-01,5922281950460
2015-10-02,6181529805617
2015-10-03,6345945017870
2015-10-04,6219579639704
2015-10-05,6428856045865
2015-10-06,6089175906202
2015-10-07,5973670381327
2015-10-08,6159510934256
2015-10-09,6255905784456
2015-10-10,6001003274861
2015-10-11,6178694969553
2015-10-12,6272144944853
2015-10-13,6354615181665
2015-10-14,6469817240920
2015-10-15,6127885182677
2015-10-16,5806888805954
2015-10-17,6046368510534
2015-10-18,5882682633080
2015-10-19,5922413457156
2015-10-20,5890061155249
2015-10-21,5996801348240
2015-10-22,5638480891519
2015-10-23,6209965033382
2015-10-24,6400016435480
2015-10-25,6484177295086
2015-10-26,6317914968583
2015-10-27,6793791413111
2015-10-28,6954179467569
2015-10-29,7198583101540
2015-10-30,7665556270422
2015-10-31,7702128773721
2015-11-01,7697394352697
2015-11-02,7419785552975
2015-11-03,7543104420309
2015-11-04,7683428365755
2015-11-05,7645085287936
2015-11-06,7829229401047
2015-11-07,7591307980985
2015-11-08,7816137603769
2015-11-09,7834376590330
2015-11-10,7802943052331
2015-11-11,7760282862653
2015-11-12,7812597894060
2015-11-13,8051746620579
2015-11-14,8042898894265
2015-11-15,8477308032117
2015-11-16,8344941438828
2015-11-17,8450483526511
2015-11-18,8743290890055
2015-11-19,8802339777810
2015-11-20,7580119726184
2015-11-21,7608935745293
2015-11-22,7468207589503
2015-11-23,7592327643841
2015-11-24,7726132886555
2015-11-25,7418526923454
2015-11-26,7242410704157
2015-11-27,7667223349130
2015-11-28,7610444708322
2015-11-29,7870324555962
2015-11-30,7888637366954
2015-12-01,7891566394061
2015-12-02,7525856198254
2015-12-03,7680773103616
2015-12-04,7989772468550
