t,v
2015-07-30,9203
2015-07-31,156
2015-08-01,115
2015-08-02,87
2015-08-03,76
2015-08-04,57
2015-08-05,53
2015-08-06,41
2015-08-07,500
2015-08-08,353
2015-08-09,253
2015-08-10,649
2015-08-11,1889
2015-08-12,312
2015-08-13,530
2015-08-14,536
2015-08-15,365
2015-08-16,275
2015-08-17,279
2015-08-18,276
2015-08-19,264
2015-08-20,190
2015-08-21,273
2015-08-22,228
2015-08-23,307
2015-08-24,170
2015-08-25,212
2015-08-26,168
2015-08-27,193
2015-08-28,144
2015-08-29,100
2015-08-30,177
2015-08-31,124
2015-09-01,151
2015-09-02,138
2015-09-03,121
2015-09-04,114
2015-09-05,123
2015-09-06,110
2015-09-07,173
2015-09-08,111
2015-09-09,163
2015-09-10,98
2015-09-11,175
2015-09-12,118
2015-09-13,185
2015-09-14,148
2015-09-15,159
2015-09-16,118
2015-09-17,97
2015-09-18,123
2015-09-19,75
2015-09-20,96
2015-09-21,78
2015-09-22,90
2015-09-23,121
2015-09-24,91
2015-09-25,73
2015-09-26,60
2015-09-27,59
2015-09-28,100
2015-09-29,106
2015-09-30,73
2015-10-01,83
2015-10-02,72
2015-10-03,117
2015-10-04,83
2015-10-05,80
2015-10-06,83
2015-10-07,85
2015-10-08,60
2015-10-09,64
2015-10-10,50
2015-10-11,44
2015-10-12,54
2015-10-13,153
2015-10-14,185
2015-10-15,180
2015-10-16,75
2015-10-17,50
2015-10-18,103
2015-10-19,194
2015-10-20,59
2015-10-21,247
2015-10-22,87
2015-10-23,91
2015-10-24,357
2015-10-25,185
2015-10-26,276
2015-10-27,122
2015-10-28,128
2015-10-29,243
2015-10-30,488
2015-10-31,348
2015-11-01,497
2015-11-02,267
2015-11-03,314
2015-11-04,253
2015-11-05,158
2015-11-06,128
2015-11-07,410
2015-11-08,573
2015-11-09,273
2015-11-10,102
2015-11-11,135
2015-11-12,89
2015-11-13,107
2015-11-14,83
2015-11-15,82
2015-11-16,86
2015-11-17,115
2015-11-18,81
2015-11-19,94
2015-11-20,99
2015-11-21,77
2015-11-22,422
2015-11-23,101
2015-11-24,178
2015-11-25,82
2015-11-26,152
2015-11-27,57
2015-11-28,58
2015-11-29,63
2015-11-30,97
2015-12-01,73
2015-12-02,73
2015-12-03,75
2015-12-04,112
2015-12-05,95
2015-12-06,121
2015-12-07,108
2015-12-08,86
2015-12-09,87
2015-12-10,103
2015-12-11,84
2015-12-12,394
2015-12-13,113
2015-12-14,103
2015-12-15,94
2015-12-16,115
2015-12-17,273
2015-12-18,173
2015-12-19,115
2015-12-20,133
2015-12-21,124
2015-12-22,107
2015-12-23,90
2015-12-24,97
2015-12-25,109
2015-12-26,120
2015-12-27,141
2015-12-28,152
2015-12-29,111
2015-12-30,105
2015-12-31,194
2016-01-01,115
2016-01-02,132
2016-01-03,144
2016-01-04,161
2016-01-05,147
2016-01-06,227
2016-01-07,181
2016-01-08,188
2016-01-09,244
2016-01-10,219
2016-01-11,286
2016-01-12,317
2016-01-13,202
2016-01-14,202
2016-01-15,377
2016-01-16,263
2016-01-17,267
2016-01-18,380
2016-01-19,297
2016-01-20,409
2016-01-21,341
2016-01-22,339
2016-01-23,531
2016-01-24,696
2016-01-25,783
2016-01-26,892
2016-01-27,727
2016-01-28,963
2016-01-29,924
2016-01-30,957
2016-01-31,862
2016-02-01,642
2016-02-02,552
2016-02-03,640
2016-02-04,532
2016-02-05,740
2016-02-06,490
2016-02-07,497
2016-02-08,576
2016-02-09,720
2016-02-10,1266
2016-02-11,1989
2016-02-12,1477
2016-02-13,1387
2016-02-14,1083
2016-02-15,959
2016-02-16,920
2016-02-17,916
2016-02-18,743
2016-02-19,779
2016-02-20,638
2016-02-21,1620
2016-02-22,857
2016-02-23,845
2016-02-24,782
2016-02-25,945
2016-02-26,716
2016-02-27,755
2016-02-28,1287
2016-02-29,1668
2016-03-01,1781
2016-03-02,2135
2016-03-03,2264
2016-03-04,2323
2016-03-05,3024
2016-03-06,2801
2016-03-07,1817
2016-03-08,2259
2016-03-09,2249
2016-03-10,2374
2016-03-11,1436
2016-03-12,1874
2016-03-13,1874
2016-03-14,2049
2016-03-15,1761
2016-03-16,1530
2016-03-17,1624
2016-03-18,1818
2016-03-19,1226
2016-03-20,1436
2016-03-21,1384
2016-03-22,1127
2016-03-23,1185
2016-03-24,1099
2016-03-25,1044
2016-03-26,977
2016-03-27,984
2016-03-28,1310
2016-03-29,1656
2016-03-30,1859
2016-03-31,1252
2016-04-01,1033
2016-04-02,1042
2016-04-03,892
2016-04-04,1149
2016-04-05,1152
2016-04-06,1069
2016-04-07,1057
2016-04-08,754
2016-04-09,909
2016-04-10,1192
2016-04-11,996
2016-04-12,1192
2016-04-13,1176
2016-04-14,952
2016-04-15,799
2016-04-16,763
2016-04-17,862
2016-04-18,888
2016-04-19,831
2016-04-20,961
2016-04-21,1002
2016-04-22,998
2016-04-23,953
2016-04-24,1025
2016-04-25,1048
2016-04-26,1137
2016-04-27,1209
2016-04-28,1029
2016-04-29,1032
2016-04-30,1968
2016-05-01,1444
2016-05-02,3921
2016-05-03,1505
2016-05-04,1583
2016-05-05,1477
2016-05-06,1268
2016-05-07,1279
2016-05-08,1603
2016-05-09,1682
2016-05-10,1510
2016-05-11,2388
2016-05-12,2956
2016-05-13,2434
2016-05-14,2218
2016-05-15,2383
2016-05-16,1514
2016-05-17,2245
2016-05-18,4882
2016-05-19,3771
2016-05-20,5117
2016-05-21,2772
2016-05-22,1988
2016-05-23,2653
2016-05-24,2446
2016-05-25,3290
2016-05-26,2608
2016-05-27,3858
2016-05-28,11023
2016-05-29,2629
2016-05-30,2287
2016-05-31,2599
2016-06-01,2216
2016-06-02,1840
2016-06-03,1938
2016-06-04,1757
2016-06-05,1638
2016-06-06,1731
2016-06-07,6115
2016-06-08,1985
2016-06-09,1831
2016-06-10,1738
2016-06-11,1604
2016-06-12,2037
2016-06-13,2741
2016-06-14,3228
2016-06-15,2607
2016-06-16,3080
2016-06-17,7279
2016-06-18,4437
2016-06-19,3571
2016-06-20,2735
2016-06-21,2823
2016-06-22,3206
2016-06-23,2109
2016-06-24,2024
2016-06-25,1615
2016-06-26,1560
2016-06-27,1759
2016-06-28,2273
2016-06-29,1890
2016-06-30,1661
2016-07-01,1683
2016-07-02,2111
2016-07-03,2135
2016-07-04,2188
2016-07-05,2709
2016-07-06,2246
2016-07-07,2372
2016-07-08,2198
2016-07-09,2117
2016-07-10,2124
2016-07-11,2141
2016-07-12,2284
2016-07-13,2094
2016-07-14,2211
2016-07-15,2182
2016-07-16,1631
2016-07-17,1226
2016-07-18,2092
2016-07-19,2123
2016-07-20,2010
2016-07-21,2564
2016-07-22,3004
2016-07-23,2775
2016-07-24,3621
2016-07-25,3761
2016-07-26,4566
2016-07-27,4155
2016-07-28,2937
2016-07-29,4550
2016-07-30,2208
2016-07-31,2503
2016-08-01,2472
2016-08-02,3606
2016-08-03,2952
2016-08-04,2699
2016-08-05,2138
2016-08-06,1825
2016-08-07,1757
2016-08-08,1836
2016-08-09,2851
2016-08-10,2284
2016-08-11,2316
2016-08-12,1913
2016-08-13,1548
2016-08-14,1656
2016-08-15,1652
2016-08-16,1739
2016-08-17,1642
2016-08-18,1711
2016-08-19,1626
2016-08-20,1695
2016-08-21,1841
2016-08-22,1513
2016-08-23,2107
2016-08-24,1796
2016-08-25,2129
2016-08-26,1924
2016-08-27,1444
2016-08-28,1621
2016-08-29,1813
2016-08-30,1820
2016-08-31,1956
2016-09-01,2079
2016-09-02,1902
2016-09-03,1778
2016-09-04,1696
2016-09-05,1516
2016-09-06,1766
2016-09-07,1702
2016-09-08,2169
2016-09-09,1812
2016-09-10,1739
2016-09-11,1755
2016-09-12,1729
2016-09-13,1967
2016-09-14,1782
2016-09-15,1800
2016-09-16,1692
2016-09-17,1833
2016-09-18,1532
2016-09-19,1003
2016-09-20,2384
2016-09-21,2796
2016-09-22,1741
2016-09-23,1618
2016-09-24,1524
2016-09-25,2066
2016-09-26,1779
2016-09-27,1791
2016-09-28,1744
2016-09-29,3551
2016-09-30,2090
2016-10-01,1856
2016-10-02,1972
2016-10-03,1726
2016-10-04,17544
2016-10-05,1600
2016-10-06,1758
2016-10-07,2150
2016-10-08,2532
2016-10-09,2072
2016-10-10,17761
2016-10-11,1750
2016-10-12,1317
2016-10-13,851
2016-10-14,1295
2016-10-15,1226
2016-10-16,1449
2016-10-17,1363
2016-10-18,1486
2016-10-19,1273
2016-10-20,1477
2016-10-21,1460
2016-10-22,1471
2016-10-23,1291
2016-10-24,1498
2016-10-25,2027
2016-10-26,1618
2016-10-27,1663
2016-10-28,1898
2016-10-29,1751
2016-10-30,1625
2016-10-31,1697
2016-11-01,1775
2016-11-02,4918
2016-11-03,1919
2016-11-04,1562
2016-11-05,1452
2016-11-06,1607
2016-11-07,1751
