t,v
2015-08-08,-0.7316412641603961
2015-08-09,-0.74912009246799
2015-08-10,-0.755785637355023
2015-08-11,-0.6206773061406461
2015-08-12,-0.5768639780024081
2015-08-13,-0.35756599270092804
2015-08-14,-0.36102469381516505
2015-08-15,-0.416407586173401
2015-08-16,-0.45284011011301406
2015-08-17,-0.5790199713106481
2015-08-18,-0.6017748211766141
2015-08-19,-0.56285066551881
2015-08-20,-0.49071367526165705
2015-08-21,-0.5160538586031801
2015-08-22,-0.5179098175428171
2015-08-23,-0.5297427092525321
2015-08-24,-0.5705489131953371
2015-08-25,-0.6005874555406491
2015-08-26,-0.591546962533792
2015-08-27,-0.5977389095612451
2015-08-28,-0.5901443060048891
2015-08-29,-0.5884434801477281
2015-08-30,-0.5397208056692551
2015-08-31,-0.5250432376492541
2015-09-01,-0.52920797983596
2015-09-02,-0.547491285694734
2015-09-03,-0.562463443761478
2015-09-04,-0.555979319661219
2015-09-05,-0.5351095936157511
2015-09-06,-0.548090196010047
2015-09-07,-0.565701822861391
2015-09-08,-0.5626794373844091
2015-09-09,-0.577137636209299
2015-09-10,-0.594719880559842
2015-09-11,-0.658609603132102
2015-09-12,-0.6386806869049331
2015-09-13,-0.6771792890802341
2015-09-14,-0.6963408427298231
2015-09-15,-0.671479716561393
2015-09-16,-0.685772615189564
2015-09-17,-0.6927222267231881
2015-09-18,-0.701956121836886
2015-09-19,-0.693898372005325
2015-09-20,-0.675342498575769
2015-09-21,-0.673345369782958
2015-09-22,-0.6868743508177101
2015-09-23,-0.689989278298011
2015-09-24,-0.717447539124621
2015-09-25,-0.742077525441312
2015-09-26,-0.7225029287544441
2015-09-27,-0.7459574022848311
2015-09-28,-0.7990728183786531
2015-09-29,-0.7698922973196871
2015-09-30,-0.741656274409888
2015-10-01,-0.7633820842704161
2015-10-02,-0.7626400141371811
2015-10-03,-0.7608958811280111
2015-10-04,-0.76473847362582
2015-10-05,-0.780578243778075
2015-10-06,-0.7725211416004231
2015-10-07,-0.7868827486119371
2015-10-08,-0.772444269810384
2015-10-09,-0.7734481010391021
2015-10-10,-0.779946165880063
2015-10-11,-0.7775591476610071
2015-10-12,-0.781202362378133
2015-10-13,-0.78646267810684
2015-10-14,-0.8165135081464481
2015-10-15,-0.8045581847665011
2015-10-16,-0.8140675273517151
2015-10-17,-0.808518618347962
2015-10-18,-0.818040319187137
2015-10-19,-0.8288474779136301
2015-10-20,-0.848152777747423
2015-10-21,-0.84200371551365
2015-10-22,-0.8018855524095391
2015-10-23,-0.810176522947579
2015-10-24,-0.8032592561778871
2015-10-25,-0.7841524593939071
2015-10-26,-0.7440675942111481
2015-10-27,-0.692020893775251
2015-10-28,-0.644362144455336
2015-10-29,-0.57447844343485
2015-10-30,-0.636676148406492
2015-10-31,-0.6845179935990221
2015-11-01,-0.62879472680637
2015-11-02,-0.6507192282034441
2015-11-03,-0.6468024307151781
2015-11-04,-0.6909798540031401
2015-11-05,-0.689380810491467
2015-11-06,-0.674047150980286
2015-11-07,-0.6758983739677801
2015-11-08,-0.6411101441240641
2015-11-09,-0.653221637126103
2015-11-10,-0.675789038720573
2015-11-11,-0.728047207349213
2015-11-12,-0.6866430036110841
2015-11-13,-0.683979900338967
2015-11-14,-0.6889366243157831
2015-11-15,-0.68272613690325
2015-11-16,-0.6758675182801801
2015-11-17,-0.648041278902846
2015-11-18,-0.6565143087635511
2015-11-19,-0.666723218163998
2015-11-20,-0.676197457134038
2015-11-21,-0.659708107556578
2015-11-22,-0.663352853067507
2015-11-23,-0.6698103544840871
2015-11-24,-0.6866322926350801
2015-11-25,-0.6990469808415211
2015-11-26,-0.6922297622730621
2015-11-27,-0.6957549228329161
2015-11-28,-0.683901801863114
2015-11-29,-0.696273646544396
2015-11-30,-0.69615998813279
2015-12-01,-0.6961665943271991
2015-12-02,-0.7140564843161451
2015-12-03,-0.717942660477761
2015-12-04,-0.7080678925096111
2015-12-05,-0.7027250178153991
2015-12-06,-0.710974995831104
2015-12-07,-0.72097527770736
2015-12-08,-0.7130940073902491
2015-12-09,-0.724723696989035
2015-12-10,-0.706480545823987
2015-12-11,-0.672101903901969
2015-12-12,-0.65976239277832
2015-12-13,-0.666662968184984
2015-12-14,-0.655193629704335
2015-12-15,-0.64860387044321
2015-12-16,-0.654226501969001
2015-12-17,-0.6704190258917051
2015-12-18,-0.6798732379587551
2015-12-19,-0.6862375412597781
2015-12-20,-0.687677997075914
2015-12-21,-0.6883637162407461
2015-12-22,-0.698282377995955
2015-12-23,-0.704590283246559
2015-12-24,-0.699843117755722
2015-12-25,-0.6962032290434711
2015-12-26,-0.7004103777821921
2015-12-27,-0.703324507417123
2015-12-28,-0.7060168697130671
2015-12-29,-0.6951681170759231
2015-12-30,-0.6813156704622241
2015-12-31,-0.6751352635130831
2016-01-01,-0.6715887016753911
2016-01-02,-0.6740471353728
2016-01-03,-0.660569963513989
2016-01-04,-0.670242265708864
2016-01-05,-0.6678299416027741
2016-01-06,-0.6676976818293171
2016-01-07,-0.6711292945989881
2016-01-08,-0.655234199400181
2016-01-09,-0.656030979486667
2016-01-10,-0.6505767310285631
2016-01-11,-0.6293241218327711
2016-01-12,-0.593128254547403
2016-01-13,-0.6084898737341531
2016-01-14,-0.5844906568420241
2016-01-15,-0.583021090589947
2016-01-16,-0.579438954505038
2016-01-17,-0.5397867998848901
2016-01-18,-0.505485748922903
2016-01-19,-0.526854080933675
