t,o
2015-08-08,"{'c': 0.7699807452931341, 'h': 2.8692218380151653, 'l': 0.760349447384231, 'o': 2.8692218380151653}"
2015-08-09,"{'c': 0.7198301094100671, 'h': 0.965568090116067, 'l': 0.63330016309097, 'o': 0.786413251678162}"
2015-08-10,"{'c': 0.70070518245792, 'h': 0.755127464447177, 'l': 0.5904705230546481, 'o': 0.706743618789471}"
2015-08-11,"{'c': 1.088360956875997, 'h': 1.150474450788289, 'l': 0.660943551022248, 'o': 0.701209915903638}"
2015-08-12,"{'c': 1.214071114766353, 'h': 1.301199885955692, 'l': 0.813777192943346, 'o': 1.094489251514992}"
2015-08-13,"{'c': 1.843285683226089, 'h': 2.062724410167116, 'l': 1.1398111185579771, 'o': 1.192519519143063}"
2015-08-14,"{'c': 1.8333619024579542, 'h': 2.348582845148732, 'l': 1.7532233206053922, 'o': 1.8199423845802951}"
2015-08-15,"{'c': 1.674456098251258, 'h': 1.8816384878455341, 'l': 1.555755913959194, 'o': 1.8032111246764}"
2015-08-16,"{'c': 1.569923104949712, 'h': 1.6902957290705771, 'l': 1.077234995460303, 'o': 1.668785292392426}"
2015-08-17,"{'c': 1.207885091683738, 'h': 1.5785575433000512, 'l': 1.1771855448342121, 'o': 1.5785575433000512}"
2015-08-18,"{'c': 1.14259637952755, 'h': 1.32889889443905, 'l': 1.093944491298901, 'o': 1.210994349768806}"
2015-08-19,"{'c': 1.254278416967224, 'h': 1.316313336327429, 'l': 1.167912159897016, 'o': 1.167912159897016}"
2015-08-20,"{'c': 1.461255444741735, 'h': 1.544022172824285, 'l': 1.223992063990891, 'o': 1.254465129709411}"
2015-08-21,"{'c': 1.38854883731893, 'h': 1.580164666869732, 'l': 1.35565011435635, 'o': 1.473429225847553}"
2015-08-22,"{'c': 1.383223679398864, 'h': 1.482684687210907, 'l': 1.358630721162468, 'o': 1.389743399246784}"
2015-08-23,"{'c': 1.349272488098481, 'h': 1.423832543586658, 'l': 1.307594859376723, 'o': 1.374216152279728}"
2015-08-24,"{'c': 1.232190436619285, 'h': 1.373331259219359, 'l': 1.232190436619285, 'o': 1.365671166296561}"
2015-08-25,"{'c': 1.146003194939971, 'h': 1.251138476964543, 'l': 1.118078602203691, 'o': 1.229036283576154}"
2015-08-26,"{'c': 1.17194237490167, 'h': 1.206531517271114, 'l': 1.058399116055078, 'o': 1.139092471291836}"
2015-08-27,"{'c': 1.154176305270667, 'h': 1.197233429851083, 'l': 1.133245625389238, 'o': 1.185508862990742}"
2015-08-28,"{'c': 1.17596690764563, 'h': 1.202898864041389, 'l': 1.127825081517805, 'o': 1.151199907089123}"
2015-08-29,"{'c': 1.180846954337659, 'h': 1.204260971239921, 'l': 1.147462947114612, 'o': 1.179997132626233}"
2015-08-30,"{'c': 1.320643115957798, 'h': 1.376685137800047, 'l': 1.166444452233837, 'o': 1.185527114208249}"
2015-08-31,"{'c': 1.362756314649738, 'h': 1.4220480157654412, 'l': 1.195758371039605, 'o': 1.318902598688541}"
2015-09-01,"{'c': 1.350806745417937, 'h': 1.40096478719338, 'l': 1.334267216394817, 'o': 1.354326711855678}"
2015-09-02,"{'c': 1.298347884976834, 'h': 1.3596847019653842, 'l': 1.262096774810739, 'o': 1.350806745417937}"
2015-09-03,"{'c': 1.255389442089516, 'h': 1.316890897786331, 'l': 1.195225936359855, 'o': 1.300802156404292}"
2015-09-04,"{'c': 1.27399383255838, 'h': 1.3047216070674361, 'l': 1.231727544265514, 'o': 1.250745701026714}"
2015-09-05,"{'c': 1.333873706281429, 'h': 1.350436656345695, 'l': 1.268119993740017, 'o': 1.2824941432886159}"
2015-09-06,"{'c': 1.296629478421124, 'h': 1.381223012500155, 'l': 1.295306827715262, 'o': 1.33390595665995}"
2015-09-07,"{'c': 1.246097814056274, 'h': 1.316673148541605, 'l': 1.234372253233069, 'o': 1.297184595617746}"
2015-09-08,"{'c': 1.25476970846973, 'h': 1.282262710920183, 'l': 1.231603736605246, 'o': 1.246781450932475}"
2015-09-09,"{'c': 1.2132859286629891, 'h': 1.264765720736904, 'l': 1.202447496399909, 'o': 1.25476970846973}"
2015-09-10,"{'c': 1.162838569211094, 'h': 1.219742748901725, 'l': 1.137549316984206, 'o': 1.213669966473018}"
2015-09-11,"{'c': 0.9795247819820341, 'h': 1.171596342682184, 'l': 0.920404503668907, 'o': 1.161270517969085}"
2015-09-12,"{'c': 1.036705263629002, 'h': 1.112102693312624, 'l': 0.9669964162169, 'o': 0.9855538022668191}"
