t,v
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,606
2015-08-08,439
2015-08-09,489
2015-08-10,749
2015-08-11,2106
2015-08-12,673
2015-08-13,989
2015-08-14,1172
2015-08-15,1050
2015-08-16,976
2015-08-17,989
2015-08-18,1046
2015-08-19,1140
2015-08-20,975
2015-08-21,1225
2015-08-22,1233
2015-08-23,1402
2015-08-24,1284
2015-08-25,1389
2015-08-26,1376
2015-08-27,1420
2015-08-28,1367
2015-08-29,1234
2015-08-30,1479
2015-08-31,1374
2015-09-01,1411
2015-09-02,1385
2015-09-03,1321
2015-09-04,1330
2015-09-05,1354
2015-09-06,1397
2015-09-07,1476
2015-09-08,1400
2015-09-09,1420
2015-09-10,1400
2015-09-11,1571
2015-09-12,1425
2015-09-13,1471
2015-09-14,1511
2015-09-15,1364
2015-09-16,1369
2015-09-17,1373
2015-09-18,1326
2015-09-19,1248
2015-09-20,1349
2015-09-21,1380
2015-09-22,1389
2015-09-23,1632
2015-09-24,1459
2015-09-25,1409
2015-09-26,1336
2015-09-27,1320
2015-09-28,1426
2015-09-29,1370
2015-09-30,1352
2015-10-01,1316
2015-10-02,1279
2015-10-03,1283
2015-10-04,1286
2015-10-05,1304
2015-10-06,1308
2015-10-07,1288
2015-10-08,1235
2015-10-09,1275
2015-10-10,1200
2015-10-11,1206
2015-10-12,1218
2015-10-13,1360
2015-10-14,1429
2015-10-15,1365
2015-10-16,1258
2015-10-17,1210
2015-10-18,1221
2015-10-19,1326
2015-10-20,1199
2015-10-21,1411
2015-10-22,1233
2015-10-23,1318
2015-10-24,1520
2015-10-25,1367
2015-10-26,1540
2015-10-27,1493
2015-10-28,1536
2015-10-29,1780
2015-10-30,2052
2015-10-31,1854
2015-11-01,2027
2015-11-02,1869
2015-11-03,1935
2015-11-04,1889
2015-11-05,1736
2015-11-06,1654
2015-11-07,1913
2015-11-08,2143
2015-11-09,1880
2015-11-10,1686
2015-11-11,1905
2015-11-12,1689
2015-11-13,1692
2015-11-14,1683
2015-11-15,1672
2015-11-16,1743
2015-11-17,1786
2015-11-18,1744
2015-11-19,1742
2015-11-20,1674
2015-11-21,1585
2015-11-22,1909
2015-11-23,1615
2015-11-24,1707
2015-11-25,1608
2015-11-26,1718
2015-11-27,1579
2015-11-28,1572
2015-11-29,1589
2015-11-30,1683
2015-12-01,1665
2015-12-02,1594
2015-12-03,1645
2015-12-04,1597
2015-12-05,1612
2015-12-06,1687
2015-12-07,1692
2015-12-08,1638
2015-12-09,1632
2015-12-10,1657
2015-12-11,1674
2015-12-12,2018
2015-12-13,1722
2015-12-14,1734
2015-12-15,1713
2015-12-16,1722
2015-12-17,1989
2015-12-18,2018
2015-12-19,1803
2015-12-20,1822
2015-12-21,1874
2015-12-22,1853
2015-12-23,1832
2015-12-24,1850
2015-12-25,1788
2015-12-26,1947
2015-12-27,1841
2015-12-28,1967
2015-12-29,1911
2015-12-30,1891
2015-12-31,2034
2016-01-01,1950
2016-01-02,1957
2016-01-03,2018
2016-01-04,2080
2016-01-05,2075
2016-01-06,2172
2016-01-07,2358
2016-01-08,2285
2016-01-09,2185
2016-01-10,2268
2016-01-11,2469
2016-01-12,2512
2016-01-13,2352
2016-01-14,2330
2016-01-15,2610
2016-01-16,2470
2016-01-17,2435
2016-01-18,2833
2016-01-19,2628
2016-01-20,2798
2016-01-21,2720
2016-01-22,2809
2016-01-23,3150
2016-01-24,3439
2016-01-25,3700
2016-01-26,3976
2016-01-27,3730
2016-01-28,4150
2016-01-29,4044
2016-01-30,4091
2016-01-31,4128
2016-02-01,3894
