t,v
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,778
2015-08-08,582
2015-08-09,457
2015-08-10,804
2015-08-11,2119
2015-08-12,565
2015-08-13,858
2015-08-14,1098
2015-08-15,845
2015-08-16,748
2015-08-17,800
2015-08-18,824
2015-08-19,815
2015-08-20,643
2015-08-21,910
2015-08-22,833
2015-08-23,877
2015-08-24,868
2015-08-25,928
2015-08-26,872
2015-08-27,922
2015-08-28,906
2015-08-29,832
2015-08-30,919
2015-08-31,937
2015-09-01,908
2015-09-02,868
2015-09-03,771
2015-09-04,752
2015-09-05,824
2015-09-06,961
2015-09-07,959
2015-09-08,987
2015-09-09,973
2015-09-10,981
2015-09-11,1076
2015-09-12,932
2015-09-13,946
2015-09-14,1006
2015-09-15,892
2015-09-16,909
2015-09-17,967
2015-09-18,883
2015-09-19,824
2015-09-20,891
2015-09-21,983
2015-09-22,992
2015-09-23,961
2015-09-24,991
2015-09-25,959
2015-09-26,885
2015-09-27,903
2015-09-28,991
2015-09-29,926
2015-09-30,912
2015-10-01,931
2015-10-02,835
2015-10-03,874
2015-10-04,862
2015-10-05,854
2015-10-06,885
2015-10-07,874
2015-10-08,853
2015-10-09,854
2015-10-10,785
2015-10-11,832
2015-10-12,824
2015-10-13,823
2015-10-14,938
2015-10-15,862
2015-10-16,865
2015-10-17,855
2015-10-18,805
2015-10-19,831
2015-10-20,819
2015-10-21,855
2015-10-22,829
2015-10-23,933
2015-10-24,856
2015-10-25,891
2015-10-26,971
2015-10-27,1132
2015-10-28,1139
2015-10-29,1239
2015-10-30,1285
2015-10-31,1204
2015-11-01,1139
2015-11-02,1306
2015-11-03,1221
2015-11-04,1214
2015-11-05,1247
2015-11-06,1221
2015-11-07,1146
2015-11-08,1165
2015-11-09,1309
2015-11-10,1251
2015-11-11,1226
2015-11-12,1192
2015-11-13,1164
2015-11-14,1224
2015-11-15,1204
2015-11-16,1243
2015-11-17,1286
2015-11-18,1281
2015-11-19,1263
2015-11-20,1053
2015-11-21,1082
2015-11-22,1012
2015-11-23,1118
2015-11-24,1110
2015-11-25,1109
2015-11-26,1128
2015-11-27,1016
2015-11-28,1032
2015-11-29,1064
2015-11-30,987
2015-12-01,959
2015-12-02,916
2015-12-03,968
2015-12-04,925
2015-12-05,958
2015-12-06,1277
2015-12-07,1260
2015-12-08,1096
2015-12-09,1084
2015-12-10,1066
2015-12-11,1113
2015-12-12,1484
2015-12-13,1256
2015-12-14,1478
2015-12-15,1455
2015-12-16,1470
2015-12-17,1645
2015-12-18,1447
2015-12-19,1514
2015-12-20,1473
2015-12-21,1527
2015-12-22,1563
2015-12-23,1470
2015-12-24,1468
2015-12-25,1420
2015-12-26,1475
2015-12-27,1428
2015-12-28,1598
2015-12-29,1538
2015-12-30,1444
2015-12-31,1694
2016-01-01,1521
2016-01-02,1601
2016-01-03,1603
2016-01-04,1610
2016-01-05,1609
2016-01-06,1650
2016-01-07,1689
2016-01-08,1620
2016-01-09,1656
2016-01-10,1814
2016-01-11,1843
2016-01-12,1962
2016-01-13,1747
2016-01-14,1690
2016-01-15,1914
2016-01-16,1499
2016-01-17,1407
2016-01-18,1630
2016-01-19,1515
2016-01-20,1994
2016-01-21,1500
2016-01-22,1562
2016-01-23,1836
2016-01-24,2050
2016-01-25,2181
2016-01-26,2302
2016-01-27,2027
2016-01-28,2019
2016-01-29,1965
2016-01-30,1944
2016-01-31,2038
2016-02-01,1992
2016-02-02,1958
2016-02-03,1968
2016-02-04,1944
2016-02-05,2005
2016-02-06,1903
2016-02-07,2089
2016-02-08,2251
