t,v
2015-07-30,9203
2015-07-31,9359
2015-08-01,9474
2015-08-02,9561
2015-08-03,9637
2015-08-04,9694
2015-08-05,9747
2015-08-06,9788
2015-08-07,10288
2015-08-08,10641
2015-08-09,10894
2015-08-10,11543
2015-08-11,13432
2015-08-12,13744
2015-08-13,14274
2015-08-14,14810
2015-08-15,15175
2015-08-16,15450
2015-08-17,15729
2015-08-18,16005
2015-08-19,16269
2015-08-20,16459
2015-08-21,16732
2015-08-22,16960
2015-08-23,17267
2015-08-24,17437
2015-08-25,17649
2015-08-26,17817
2015-08-27,18010
2015-08-28,18154
2015-08-29,18254
2015-08-30,18431
2015-08-31,18555
2015-09-01,18706
2015-09-02,18844
2015-09-03,18965
2015-09-04,19079
2015-09-05,19202
2015-09-06,19312
2015-09-07,19485
2015-09-08,19596
2015-09-09,19759
2015-09-10,19857
2015-09-11,20032
2015-09-12,20150
2015-09-13,20335
2015-09-14,20483
2015-09-15,20642
2015-09-16,20760
2015-09-17,20857
2015-09-18,20980
2015-09-19,21055
2015-09-20,21151
2015-09-21,21229
2015-09-22,21319
2015-09-23,21440
2015-09-24,21531
2015-09-25,21604
2015-09-26,21664
2015-09-27,21723
2015-09-28,21823
2015-09-29,21929
2015-09-30,22002
2015-10-01,22085
2015-10-02,22157
2015-10-03,22274
2015-10-04,22357
2015-10-05,22437
2015-10-06,22520
2015-10-07,22605
2015-10-08,22665
2015-10-09,22729
2015-10-10,22779
2015-10-11,22823
2015-10-12,22877
2015-10-13,23030
2015-10-14,23215
2015-10-15,23395
2015-10-16,23470
2015-10-17,23520
2015-10-18,23623
2015-10-19,23817
2015-10-20,23876
2015-10-21,24123
2015-10-22,24210
2015-10-23,24301
2015-10-24,24658
2015-10-25,24843
2015-10-26,25119
2015-10-27,25241
2015-10-28,25369
2015-10-29,25612
2015-10-30,26100
2015-10-31,26448
2015-11-01,26945
2015-11-02,27212
2015-11-03,27526
2015-11-04,27779
2015-11-05,27937
2015-11-06,28065
2015-11-07,28475
2015-11-08,29048
2015-11-09,29321
2015-11-10,29423
2015-11-11,29558
2015-11-12,29647
2015-11-13,29754
2015-11-14,29837
2015-11-15,29919
2015-11-16,30005
2015-11-17,30120
2015-11-18,30201
2015-11-19,30295
2015-11-20,30394
2015-11-21,30471
2015-11-22,30893
2015-11-23,30994
2015-11-24,31172
2015-11-25,31254
2015-11-26,31406
2015-11-27,31463
2015-11-28,31521
2015-11-29,31584
2015-11-30,31681
2015-12-01,31754
2015-12-02,31827
2015-12-03,31902
2015-12-04,32014
2015-12-05,32109
2015-12-06,32230
2015-12-07,32338
2015-12-08,32424
2015-12-09,32511
2015-12-10,32614
2015-12-11,32698
2015-12-12,33092
2015-12-13,33205
2015-12-14,33308
2015-12-15,33402
2015-12-16,33517
2015-12-17,33790
2015-12-18,33963
2015-12-19,34078
2015-12-20,34211
2015-12-21,34335
2015-12-22,34442
2015-12-23,34532
2015-12-24,34629
2015-12-25,34738
2015-12-26,34858
2015-12-27,34999
2015-12-28,35151
2015-12-29,35262
2015-12-30,35367
2015-12-31,35561
2016-01-01,35676
2016-01-02,35808
2016-01-03,35952
2016-01-04,36113
2016-01-05,36260
2016-01-06,36487
2016-01-07,36668
2016-01-08,36856
2016-01-09,37100
2016-01-10,37319
2016-01-11,37605
2016-01-12,37922
2016-01-13,38124
2016-01-14,38326
2016-01-15,38703
2016-01-16,38966
2016-01-17,39233
2016-01-18,39613
2016-01-19,39910
2016-01-20,40319
2016-01-21,40660
2016-01-22,40999
2016-01-23,41530
2016-01-24,42226
2016-01-25,43009
2016-01-26,43901
2016-01-27,44628
2016-01-28,45591
2016-01-29,46515
2016-01-30,47472
2016-01-31,48334
2016-02-01,48976
2016-02-02,49528
2016-02-03,50168
2016-02-04,50700
2016-02-05,51440
2016-02-06,51930
2016-02-07,52427
2016-02-08,53003
2016-02-09,53723
2016-02-10,54989
2016-02-11,56978
2016-02-12,58455
2016-02-13,59842
2016-02-14,60925
2016-02-15,61884
2016-02-16,62804
2016-02-17,63720
2016-02-18,64463
2016-02-19,65242
2016-02-20,65880
2016-02-21,67500
2016-02-22,68357
2016-02-23,69202
2016-02-24,69984
2016-02-25,70929
2016-02-26,71645
2016-02-27,72400
2016-02-28,73687
2016-02-29,75355
2016-03-01,77136
2016-03-02,79271
2016-03-03,81535
2016-03-04,83858
2016-03-05,86882
2016-03-06,89683
2016-03-07,91500
2016-03-08,93759
2016-03-09,96008
2016-03-10,98382
2016-03-11,99818
2016-03-12,101692
2016-03-13,103566
2016-03-14,105615
2016-03-15,107376
2016-03-16,108906
2016-03-17,110530
2016-03-18,112348
2016-03-19,113574
2016-03-20,115010
2016-03-21,116394
2016-03-22,117521
2016-03-23,118706
2016-03-24,119805
2016-03-25,120849
2016-03-26,121826
2016-03-27,122810
2016-03-28,124120
2016-03-29,125776
2016-03-30,127635
2016-03-31,128887
2016-04-01,129920
2016-04-02,130962
2016-04-03,131854
2016-04-04,133003
2016-04-05,134155
2016-04-06,135224
2016-04-07,136281
2016-04-08,137035
2016-04-09,137944
2016-04-10,139136
2016-04-11,140132
2016-04-12,141324
2016-04-13,142500
2016-04-14,143452
2016-04-15,144251
2016-04-16,145014
2016-04-17,145876
2016-04-18,146764
2016-04-19,147595
2016-04-20,148556
2016-04-21,149558
2016-04-22,150556
2016-04-23,151509
2016-04-24,152534
2016-04-25,153582
2016-04-26,154719
2016-04-27,155928
2016-04-28,156957
2016-04-29,157989
2016-04-30,159957
2016-05-01,161401
2016-05-02,165322
2016-05-03,166827
2016-05-04,168410
2016-05-05,169887
2016-05-06,171155
2016-05-07,172434
2016-05-08,174037
2016-05-09,175719
2016-05-10,177229
2016-05-11,179617
2016-05-12,182573
2016-05-13,185007
2016-05-14,187225
2016-05-15,189608
2016-05-16,191122
2016-05-17,193367
2016-05-18,198249
2016-05-19,202020
2016-05-20,207137
2016-05-21,209909
2016-05-22,211897
2016-05-23,214550
2016-05-24,216996
2016-05-25,220286
2016-05-26,222894
2016-05-27,226752
2016-05-28,237775
2016-05-29,240404
2016-05-30,242691
2016-05-31,245290
2016-06-01,247506
2016-06-02,249346
2016-06-03,251284
2016-06-04,253041
2016-06-05,254679
2016-06-06,256410
2016-06-07,262525
2016-06-08,264510
2016-06-09,266341
2016-06-10,268079
2016-06-11,269683
2016-06-12,271720
2016-06-13,274461
2016-06-14,277689
2016-06-15,280296
2016-06-16,283376
2016-06-17,290655
2016-06-18,295092
2016-06-19,298663
2016-06-20,301398
2016-06-21,304221
2016-06-22,307427
2016-06-23,309536
2016-06-24,311560
2016-06-25,313175
2016-06-26,314735
2016-06-27,316494
2016-06-28,318767
2016-06-29,320657
2016-06-30,322318
2016-07-01,324001
2016-07-02,326112
2016-07-03,328247
2016-07-04,330435
2016-07-05,333144
2016-07-06,335390
2016-07-07,337762
2016-07-08,339960
2016-07-09,342077
2016-07-10,344201
2016-07-11,346342
2016-07-12,348626
2016-07-13,350720
2016-07-14,352931
2016-07-15,355113
2016-07-16,356744
2016-07-17,357970
2016-07-18,360062
2016-07-19,362185
2016-07-20,364195
2016-07-21,366759
2016-07-22,369763
2016-07-23,372538
2016-07-24,376159
2016-07-25,379920
2016-07-26,384486
2016-07-27,388641
2016-07-28,391578
2016-07-29,396128
2016-07-30,398336
2016-07-31,400839
2016-08-01,403311
2016-08-02,406917
2016-08-03,409869
2016-08-04,412568
2016-08-05,414706
2016-08-06,416531
2016-08-07,418288
2016-08-08,420124
2016-08-09,422975
2016-08-10,425259
2016-08-11,427575
2016-08-12,429488
2016-08-13,431036
2016-08-14,432692
2016-08-15,434344
2016-08-16,436083
2016-08-17,437725
2016-08-18,439436
2016-08-19,441062
2016-08-20,442757
2016-08-21,444598
2016-08-22,446111
2016-08-23,448218
2016-08-24,450014
2016-08-25,452143
2016-08-26,454067
2016-08-27,455511
2016-08-28,457132
2016-08-29,458945
2016-08-30,460765
2016-08-31,462721
2016-09-01,464800
2016-09-02,466702
2016-09-03,468480
2016-09-04,470176
2016-09-05,471692
2016-09-06,473458
2016-09-07,475160
2016-09-08,477329
2016-09-09,479141
2016-09-10,480880
2016-09-11,482635
2016-09-12,484364
2016-09-13,486331
2016-09-14,488113
2016-09-15,489913
2016-09-16,491605
2016-09-17,493438
2016-09-18,494970
2016-09-19,495973
2016-09-20,498357
2016-09-21,501153
2016-09-22,502894
2016-09-23,504512
2016-09-24,506036
2016-09-25,508102
2016-09-26,509881
2016-09-27,511672
2016-09-28,513416
2016-09-29,516967
2016-09-30,519057
2016-10-01,520913
2016-10-02,522885
2016-10-03,524611
2016-10-04,542155
2016-10-05,543755
2016-10-06,545513
2016-10-07,547663
2016-10-08,550195
2016-10-09,552267
2016-10-10,570028
2016-10-11,571778
2016-10-12,573095
2016-10-13,573946
2016-10-14,575241
2016-10-15,576467
2016-10-16,577916
2016-10-17,579279
2016-10-18,580765
2016-10-19,582038
2016-10-20,583515
2016-10-21,584975
2016-10-22,586446
2016-10-23,587737
2016-10-24,589235
2016-10-25,591262
2016-10-26,592880
2016-10-27,594543
2016-10-28,596441
2016-10-29,598192
2016-10-30,599817
2016-10-31,601514
2016-11-01,603289
2016-11-02,608207
2016-11-03,610126
2016-11-04,611688
2016-11-05,613140
2016-11-06,614747
2016-11-07,616498
2016-11-08,618390
2016-11-09,620694
2016-11-10,622222
2016-11-11,624313
2016-11-12,626049
2016-11-13,628310
2016-11-14,629898
2016-11-15,631860
2016-11-16,633457
2016-11-17,635174
2016-11-18,637024
2016-11-19,638529
2016-11-20,639974
2016-11-21,641577
2016-11-22,643077
2016-11-23,644654
2016-11-24,645775
2016-11-25,653291
2016-11-26,654825
2016-11-27,656470
2016-11-28,658082
2016-11-29,659711
2016-11-30,661459
2016-12-01,662970
2016-12-02,665484
2016-12-03,668213
2016-12-04,671069
2016-12-05,674522
2016-12-06,676671
2016-12-07,678344
2016-12-08,679886
2016-12-09,681429
2016-12-10,683448
2016-12-11,684965
2016-12-12,686440
2016-12-13,687866
2016-12-14,689395
2016-12-15,691139
2016-12-16,692598
2016-12-17,694309
2016-12-18,695726
2016-12-19,697227
2016-12-20,699342
2016-12-21,701084
2016-12-22,709591
2016-12-23,713655
2016-12-24,715198
2016-12-25,716453
2016-12-26,717765
2016-12-27,719202
2016-12-28,721059
2016-12-29,723337
2016-12-30,725500
2016-12-31,727714
2017-01-01,729071
2017-01-02,730972
2017-01-03,733490
2017-01-04,736735
2017-01-05,739858
2017-01-06,742654
2017-01-07,744863
2017-01-08,746847
2017-01-09,749013
2017-01-10,751151
2017-01-11,753229
2017-01-12,755513
2017-01-13,757334
2017-01-14,759560
2017-01-15,761750
2017-01-16,764080
2017-01-17,766594
2017-01-18,768876
2017-01-19,771189
2017-01-20,773537
2017-01-21,775826
2017-01-22,778368
2017-01-23,780559
2017-01-24,782802
2017-01-25,785035
2017-01-26,787333
2017-01-27,789434
2017-01-28,791365
2017-01-29,793271
2017-01-30,795192
2017-01-31,796860
2017-02-01,798545
2017-02-02,800277
2017-02-03,801912
2017-02-04,803714
2017-02-05,805367
2017-02-06,806959
2017-02-07,808803
2017-02-08,810676
2017-02-09,812459
2017-02-10,814370
2017-02-11,815935
2017-02-12,817686
2017-02-13,819649
2017-02-14,822239
2017-02-15,824744
2017-02-16,826745
2017-02-17,828662
2017-02-18,830697
2017-02-19,832529
2017-02-20,834752
2017-02-21,836821
2017-02-22,838712
2017-02-23,840755
2017-02-24,843253
2017-02-25,845511
2017-02-26,847937
2017-02-27,850944
2017-02-28,855305
2017-03-01,859818
2017-03-02,865503
2017-03-03,871290
2017-03-04,875562
2017-03-05,879137
2017-03-06,883734
2017-03-07,887504
2017-03-08,891697
2017-03-09,896725
2017-03-10,901389
2017-03-11,907215
2017-03-12,914497
2017-03-13,926161
2017-03-14,935109
2017-03-15,944619
2017-03-16,960947
2017-03-17,976397
2017-03-18,988230
2017-03-19,996736
2017-03-20,1005638
2017-03-21,1015369
2017-03-22,1023033
2017-03-23,1030589
2017-03-24,1041104
2017-03-25,1050509
2017-03-26,1057687
2017-03-27,1066538
2017-03-28,1075126
2017-03-29,1083780
2017-03-30,1097406
2017-03-31,1111118
2017-04-01,1118303
2017-04-02,1128027
2017-04-03,1140195
2017-04-04,1149522
2017-04-05,1158364
2017-04-06,1171158
2017-04-07,1178513
2017-04-08,1184323
2017-04-09,1189718
2017-04-10,1196177
2017-04-11,1202095
2017-04-12,1209124
2017-04-13,1217254
2017-04-14,1223708
2017-04-15,1230017
2017-04-16,1234430
2017-04-17,1240236
2017-04-18,1247544
2017-04-19,1255372
2017-04-20,1263869
2017-04-21,1270144
2017-04-22,1276037
2017-04-23,1282188
2017-04-24,1290245
2017-04-25,1297327
2017-04-26,1311245
2017-04-27,1323489
2017-04-28,1334763
2017-04-29,1344846
2017-04-30,1355837
2017-05-01,1369231
2017-05-02,1381230
2017-05-03,1392271
2017-05-04,1408461
2017-05-05,1423292
2017-05-06,1436093
2017-05-07,1451282
2017-05-08,1468925
2017-05-09,1486734
2017-05-10,1503233
2017-05-11,1521262
2017-05-12,1536737
2017-05-13,1550048
2017-05-14,1563621
2017-05-15,1580403
2017-05-16,1598935
2017-05-17,1620443
2017-05-18,1640678
2017-05-19,1668218
2017-05-20,1689927
2017-05-21,1713630
2017-05-22,1744016
2017-05-23,1781347
2017-05-24,1815925
2017-05-25,1850280
2017-05-26,1881155
2017-05-27,1904613
2017-05-28,1927118
2017-05-29,1952618
2017-05-30,1984586
2017-05-31,2025497
2017-06-01,2060224
2017-06-02,2091312
2017-06-03,2121459
2017-06-04,2150093
2017-06-05,2184641
2017-06-06,2221091
2017-06-07,2255948
2017-06-08,2288432
2017-06-09,2324073
2017-06-10,2363752
2017-06-11,2408624
2017-06-12,2461779
2017-06-13,2515632
2017-06-14,2564118
2017-06-15,2611524
2017-06-16,2655036
