t,v
2015-08-07,2035
2015-08-08,2344
2015-08-09,1312
2015-08-10,2027
2015-08-11,4955
2015-08-12,2009
2015-08-13,2834
2015-08-14,3166
2015-08-15,2269
2015-08-16,2438
2015-08-17,2512
2015-08-18,2493
2015-08-19,3215
2015-08-20,2301
2015-08-21,3906
2015-08-22,3574
2015-08-23,4187
2015-08-24,4432
2015-08-25,4470
2015-08-26,4153
2015-08-27,5550
2015-08-28,4757
2015-08-29,4138
2015-08-30,4571
2015-08-31,5194
2015-09-01,5141
2015-09-02,5189
2015-09-03,4766
2015-09-04,5624
2015-09-05,5509
2015-09-06,5516
2015-09-07,5696
2015-09-08,5611
2015-09-09,5599
2015-09-10,5331
2015-09-11,6456
2015-09-12,5582
2015-09-13,6044
2015-09-14,5570
2015-09-15,5406
2015-09-16,5866
2015-09-17,5365
2015-09-18,5782
2015-09-19,5199
2015-09-20,6380
2015-09-21,6303
2015-09-22,6802
2015-09-23,7376
2015-09-24,6218
2015-09-25,5846
2015-09-26,5904
2015-09-27,5747
2015-09-28,6115
2015-09-29,5737
2015-09-30,5866
2015-10-01,6419
2015-10-02,6052
2015-10-03,6112
2015-10-04,6624
2015-10-05,6240
2015-10-06,6456
2015-10-07,7113
2015-10-08,6926
2015-10-09,6761
2015-10-10,6529
2015-10-11,6023
2015-10-12,6571
2015-10-13,6815
2015-10-14,6818
2015-10-15,6472
2015-10-16,6769
2015-10-17,6564
2015-10-18,6462
2015-10-19,6597
2015-10-20,5894
2015-10-21,6174
2015-10-22,5962
2015-10-23,6861
2015-10-24,6354
2015-10-25,5813
2015-10-26,5910
2015-10-27,6750
2015-10-28,7340
2015-10-29,7780
2015-10-30,7909
2015-10-31,7522
2015-11-01,6893
2015-11-02,6543
2015-11-03,7393
2015-11-04,7033
2015-11-05,7488
2015-11-06,7874
2015-11-07,10975
2015-11-08,12394
2015-11-09,7688
2015-11-10,8142
2015-11-11,10217
2015-11-12,9368
2015-11-13,7886
2015-11-14,7206
2015-11-15,7166
2015-11-16,7436
2015-11-17,7145
2015-11-18,7363
2015-11-19,8872
2015-11-20,6347
2015-11-21,6820
2015-11-22,7083
2015-11-23,8260
2015-11-24,7149
2015-11-25,7097
2015-11-26,7278
2015-11-27,6639
2015-11-28,6792
2015-11-29,6849
2015-11-30,8957
2015-12-01,6782
2015-12-02,6496
2015-12-03,6946
2015-12-04,6878
2015-12-05,6772
2015-12-06,9080
2015-12-07,7138
2015-12-08,6690
2015-12-09,7000
2015-12-10,7416
2015-12-11,8097
2015-12-12,8202
2015-12-13,7411
2015-12-14,15525
2015-12-15,20359
2015-12-16,10294
2015-12-17,9599
2015-12-18,9029
2015-12-19,9273
2015-12-20,9591
2015-12-21,12061
2015-12-22,21023
2015-12-23,22737
2015-12-24,13492
2015-12-25,9519
2015-12-26,10722
2015-12-27,21864
2015-12-28,12362
2015-12-29,11349
2015-12-30,21672
2015-12-31,10301
2016-01-01,8232
2016-01-02,9164
2016-01-03,9258
2016-01-04,9469
2016-01-05,16424
2016-01-06,17059
2016-01-07,22063
2016-01-08,10916
2016-01-09,11774
2016-01-10,10320
2016-01-11,10890
2016-01-12,10860
2016-01-13,16158
2016-01-14,10648
2016-01-15,9868
2016-01-16,10660
2016-01-17,9743
2016-01-18,12916
2016-01-19,13416
2016-01-20,10609
2016-01-21,10728
2016-01-22,13845
2016-01-23,11020
2016-01-24,12793
2016-01-25,17111
2016-01-26,16508
2016-01-27,18727
2016-01-28,16754
2016-01-29,16381
2016-01-30,14648
2016-01-31,14163
