t,o
2014-01-01,"{'c': 753.405480556, 'h': 753.981553104, 'l': 731.903411882, 'o': 731.903411882}"
2014-01-02,"{'c': 784.280603894, 'h': 798.2436427300001, 'l': 742.8400064780001, 'o': 751.161970052}"
2014-01-03,"{'c': 807.915916232, 'h': 816.864470154, 'l': 768.6465619940001, 'o': 782.968261172}"
2014-01-04,"{'c': 828.7459845879999, 'h': 828.7459845879999, 'l': 792.146836872, 'o': 807.8165956619999}"
2014-01-05,"{'c': 904.7600750739999, 'h': 933.1198898659999, 'l': 828.061490758, 'o': 829.028304986}"
2014-01-06,"{'c': 917.382725522, 'h': 993.012671154, 'l': 887.2568697, 'o': 906.6701119080001}"
2014-01-07,"{'c': 789.593524042, 'h': 941.8773635560001, 'l': 789.593524042, 'o': 915.7937051659999}"
2014-01-08,"{'c': 822.864923038, 'h': 846.5568567119999, 'l': 768.3688510260001, 'o': 778.222934732}"
2014-01-09,"{'c': 825.8665006040001, 'h': 844.7333391100001, 'l': 785.913197922, 'o': 830.2687184719998}"
2014-01-10,"{'c': 854.445450584, 'h': 858.6030641519999, 'l': 805.451087872, 'o': 823.741218994}"
2014-01-11,"{'c': 893.6831232820001, 'h': 906.1289698759999, 'l': 850.8371714479999, 'o': 852.296409132}"
2014-01-12,"{'c': 843.286613774, 'h': 904.04404794, 'l': 827.508603914, 'o': 895.333941246}"
2014-01-13,"{'c': 822.530427934, 'h': 843.535720248, 'l': 789.213772588, 'o': 840.97690943}"
2014-01-14,"{'c': 815.996819406, 'h': 836.1150065940001, 'l': 804.482518704, 'o': 824.566519444}"
2014-01-15,"{'c': 840.1151583520001, 'h': 848.86299475, 'l': 812.45745192, 'o': 815.30019049}"
2014-01-16,"{'c': 814.4962523859999, 'h': 847.73468916, 'l': 814.4962523859999, 'o': 841.164428006}"
2014-01-17,"{'c': 794.5266687980001, 'h': 818.887922492, 'l': 770.6144133939999, 'o': 812.330405534}"
2014-01-18,"{'c': 811.37762176, 'h': 816.204482146, 'l': 796.84108194, 'o': 796.84108194}"
2014-01-19,"{'c': 841.4564324119999, 'h': 841.4564324119999, 'l': 795.5558779239999, 'o': 810.983856048}"
2014-01-20,"{'c': 826.696425026, 'h': 844.599717634, 'l': 817.145194882, 'o': 842.1750903239999}"
2014-01-21,"{'c': 824.875769878, 'h': 833.821904742, 'l': 815.0225156139999, 'o': 825.9990557020001}"
2014-01-22,"{'c': 818.534270204, 'h': 824.4221674339999, 'l': 805.899371318, 'o': 824.4221674339999}"
2014-01-23,"{'c': 810.869203164, 'h': 823.168, 'l': 803.330035602, 'o': 819.138}"
2014-01-24,"{'c': 779.3849452420001, 'h': 810.1754649999999, 'l': 768.594530864, 'o': 810.14861073}"
2014-01-25,"{'c': 805.652675222, 'h': 816.8241085200001, 'l': 775.011168556, 'o': 779.633616724}"
2014-01-26,"{'c': 814.847146534, 'h': 831.98114621, 'l': 796.9776483459999, 'o': 805.635530356}"
2014-01-27,"{'c': 746.678657078, 'h': 822.597016814, 'l': 729.2448187480001, 'o': 814.609057004}"
2014-01-28,"{'c': 785.9504199859999, 'h': 811.5336222520001, 'l': 742.2571064240001, 'o': 749.5395848119999}"
2014-01-29,"{'c': 794.098192396, 'h': 804.5652399560001, 'l': 783.3840817280001, 'o': 785.2093090000001}"
2014-01-30,"{'c': 799.5229998400001, 'h': 810.0969831919999, 'l': 772.8600955020001, 'o': 794.1089188020001}"
2014-01-31,"{'c': 802.998525562, 'h': 808.890884554, 'l': 792.377236548, 'o': 799.801687688}"
2014-02-01,"{'c': 813.159890274, 'h': 825.783272108, 'l': 803.08897018, 'o': 803.08897018}"
2014-02-02,"{'c': 814.932732602, 'h': 824.9589929800001, 'l': 810.5421420179999, 'o': 813.4994616839999}"
2014-02-03,"{'c': 808.5, 'h': 814.99, 'l': 801.323850846, 'o': 813.4936793459999}"
2014-02-04,"{'c': 801.39173376, 'h': 811.6554764059999, 'l': 797.4866546340002, 'o': 807.01483199}"
2014-02-05,"{'c': 780.917515036, 'h': 807.651740264, 'l': 779.9879977940001, 'o': 801.999143152}"
2014-02-06,"{'c': 762.981093598, 'h': 794.9143906840001, 'l': 756.181896196, 'o': 783.182313112}"
2014-02-07,"{'c': 708.3660443880001, 'h': 762.9350615340002, 'l': 630.0281968, 'o': 761.805554048}"
2014-02-08,"{'c': 679.578138862, 'h': 722.541836424, 'l': 670.81265697, 'o': 704.179225556}"
