t,v
2014-01-01,21346662
2014-01-02,28405765
2014-01-03,31500478
2014-01-04,26004448
2014-01-05,31874485
2014-01-06,37645579
2014-01-07,31114343
2014-01-08,30314966
2014-01-09,29248412
2014-01-10,27201658
2014-01-11,29282110
2014-01-12,25944444
2014-01-13,27996437
2014-01-14,28151350
2014-01-15,29682359
2014-01-16,29399740
2014-01-17,28793316
2014-01-18,25078955
2014-01-19,24042099
2014-01-20,35802980
2014-01-21,36367413
2014-01-22,32799113
2014-01-23,32741727
2014-01-24,32166736
2014-01-25,27300623
2014-01-26,26973237
2014-01-27,32509480
2014-01-28,33077520
2014-01-29,29120650
2014-01-30,30577764
2014-01-31,30709345
2014-02-01,28516723
2014-02-02,29308575
2014-02-03,32590491
2014-02-04,37912409
2014-02-05,36921241
2014-02-06,38079205
2014-02-07,37881922
2014-02-08,33844708
2014-02-09,28893017
2014-02-10,32729300
2014-02-11,32530109
2014-02-12,44538280
2014-02-13,38591034
2014-02-14,42772642
2014-02-15,33582483
2014-02-16,28233729
2014-02-17,33458043
2014-02-18,36625200
2014-02-19,40987860
2014-02-20,39955502
2014-02-21,38752782
2014-02-22,33138951
2014-02-23,35225557
2014-02-24,43026454
2014-02-25,45251437
2014-02-26,42731286
2014-02-27,38921735
2014-02-28,42727357
2014-03-01,37538801
2014-03-02,33391277
2014-03-03,49066024
2014-03-04,53152537
2014-03-05,44132262
2014-03-06,42315435
2014-03-07,41256070
2014-03-08,35382582
2014-03-09,35695230
2014-03-10,41404478
2014-03-11,42126267
2014-03-12,43512495
2014-03-13,41514023
2014-03-14,40638981
2014-03-15,30647994
2014-03-16,28565917
2014-03-17,33956909
2014-03-18,25501463
2014-03-19,35546798
2014-03-20,38255814
2014-03-21,43447584
2014-03-22,41234354
2014-03-23,30901543
2014-03-24,40783506
2014-03-25,38640675
2014-03-26,38663729
2014-03-27,41216139
2014-03-28,38200384
2014-03-29,30154520
2014-03-30,32473002
2014-03-31,37632330
2014-04-01,37200286
2014-04-02,38576951
2014-04-03,35671819
2014-04-04,38526253
2014-04-05,32730179
2014-04-06,32028578
2014-04-07,36759452
2014-04-08,39166222
2014-04-09,39146843
2014-04-10,39309624
2014-04-11,37664201
2014-04-12,27289819
2014-04-13,30240193
2014-04-14,41611032
2014-04-15,43874647
2014-04-16,43029291
2014-04-17,37730834
2014-04-18,32787783
2014-04-19,30667018
2014-04-20,30110034
2014-04-21,32518676
2014-04-22,44282860
2014-04-23,39844551
2014-04-24,42178781
2014-04-25,41167392
2014-04-26,29262015
2014-04-27,31985996
2014-04-28,36241404
2014-04-29,38764310
2014-04-30,36967589
2014-05-01,33675414
2014-05-02,33993108
2014-05-03,28818067
2014-05-04,30345139
2014-05-05,37323102
2014-05-06,42449583
2014-05-07,38761763
2014-05-08,38583365
2014-05-09,36837417
2014-05-10,30478722
2014-05-11,33024353
2014-05-12,41992393
2014-05-13,37412985
2014-05-14,39399144
2014-05-15,42196202
2014-05-16,37901523
2014-05-17,32608423
2014-05-18,31798816
2014-05-19,40351522
2014-05-20,43970655
2014-05-21,41331190
2014-05-22,41998651
2014-05-23,41302760
2014-05-24,29637851
2014-05-25,35234020
2014-05-26,39373787
2014-05-27,40289562
2014-05-28,42011710
2014-05-29,38277708
2014-05-30,36690215
2014-05-31,30589061
2014-06-01,35800466
2014-06-02,38416575
2014-06-03,41694413
2014-06-04,36856504
2014-06-05,39865361
2014-06-06,37909642
2014-06-07,28500883
2014-06-08,30991976
2014-06-09,36208577
2014-06-10,39821396
2014-06-11,36645992
2014-06-12,39548470
2014-06-13,37609145
2014-06-14,31168166
2014-06-15,32543463
2014-06-16,40600261
2014-06-17,39417628
2014-06-18,36980642
2014-06-19,37717196
2014-06-20,33102434
2014-06-21,31179129
2014-06-22,31728071
2014-06-23,35909893
2014-06-24,37899677
2014-06-25,37945121
2014-06-26,35094534
2014-06-27,36141188
2014-06-28,32346529
2014-06-29,30834822
2014-06-30,42938826
2014-07-01,43762266
2014-07-02,39875821
2014-07-03,37069975
2014-07-04,32749520
2014-07-05,27930757
2014-07-06,32932671
2014-07-07,38065627
2014-07-08,42749930
2014-07-09,42511326
2014-07-10,37736406
2014-07-11,36343787
2014-07-12,30388880
2014-07-13,33980656
2014-07-14,35431227
2014-07-15,40995869
2014-07-16,37259825
2014-07-17,38771133
2014-07-18,38504268
2014-07-19,33778383
2014-07-20,33044212
2014-07-21,37695027
2014-07-22,38496311
